Username,Trial,Condition.Number,Condition.Notes,Stimuli.Cue,Procedure.Item,Response.RT,Response.RTfirst,Response.RTlast,affordance,affordance_corrected,POS,Lemma
10012878_CL,11,2,List 2,undergarment,59,46282,2552,29816,wearing,wearing,VBG,wear
10012878_CL,11,2,List 2,undergarment,59,46282,2552,29816,throwing,throwing,VBG,throw
10012878_CL,11,2,List 2,undergarment,59,46282,2552,29816,fashion,fashion,NN,fashion
10012878_CL,11,2,List 2,undergarment,59,46282,2552,29816,coverage,coverage,NN,coverage
10012878_CL,11,2,List 2,undergarment,59,46282,2552,29816,attention,attention,NN,attention
10012878_CL,12,2,List 2,assemblyman,60,36999,3300,22327,construction,construction,NN,construction
10012878_CL,12,2,List 2,assemblyman,60,36999,3300,22327,assistance,assistance,NN,assistance
10012878_CL,12,2,List 2,assemblyman,60,36999,3300,22327,work,work,NN,work
10012878_CL,13,2,List 2,trap,58,26276,5017,10520,opening,opening,VBG,open
10012878_CL,13,2,List 2,trap,58,26276,5017,10520,closing,closing,VBG,close
10012878_CL,13,2,List 2,trap,58,26276,5017,10520,tricking,tricking,VBG,trick
10012878_CL,14,2,List 2,lettuce,34,24155,2118,22202,salad,salad,JJ,salad
10012878_CL,14,2,List 2,lettuce,34,24155,2118,22202,food,food,NN,food
10012878_CL,14,2,List 2,lettuce,34,24155,2118,22202,cooking,cooking,VBG,cook
10012878_CL,14,2,List 2,lettuce,34,24155,2118,22202,feed,feed,NN,feed
10012878_CL,14,2,List 2,lettuce,34,24155,2118,22202,tossing,tossing,VBG,toss
10012878_CL,15,2,List 2,courtyard,32,45778,2611,11453,viewing,viewing,VBG,view
10012878_CL,15,2,List 2,courtyard,32,45778,2611,11453,relaxing,relaxing,VBG,relax
10012878_CL,16,2,List 2,godmother,47,15972,1974,14738,talking,talking,VBG,talk
10012878_CL,16,2,List 2,godmother,47,15972,1974,14738,asking,asking,VBG,ask
10012878_CL,16,2,List 2,godmother,47,15972,1974,14738,cooking,cooking,VBG,cook
10012878_CL,16,2,List 2,godmother,47,15972,1974,14738,parenting,parenting,VBG,parent
10012878_CL,17,2,List 2,skittles,39,20662,2281,19370,eating,eating,VBG,eat
10012878_CL,17,2,List 2,skittles,39,20662,2281,19370,art,art,JJ,art
10012878_CL,17,2,List 2,skittles,39,20662,2281,19370,satisfaction,satisfaction,NN,satisfaction
10012878_CL,18,2,List 2,mice,48,27840,1581,26627,experiments,experiments,NNS,experiment
10012878_CL,18,2,List 2,mice,48,27840,1581,26627,feed,feed,VBP,fee
10012878_CL,18,2,List 2,mice,48,27840,1581,26627,entertainment,entertainment,NN,entertainment
10012878_CL,19,2,List 2,barman,40,11157,1690,10027,drinks,drinks,NNS,drink
10012878_CL,19,2,List 2,barman,40,11157,1690,10027,mixing,mixing,VBG,mix
10012878_CL,19,2,List 2,barman,40,11157,1690,10027,conversation,conversation,NN,conversation
10012878_CL,20,2,List 2,coverall,51,17503,5015,16482,coverage,coverage,NN,coverage
10012878_CL,20,2,List 2,coverall,51,17503,5015,16482,fashion,fashion,NN,fashion
10012878_CL,20,2,List 2,coverall,51,17503,5015,16482,clothing,clothing,NN,clothing
10012878_CL,21,2,List 2,satchel,37,13891,1962,12488,fashion,fashion,NN,fashion
10012878_CL,21,2,List 2,satchel,37,13891,1962,12488,carrying,carrying,VBG,carry
10012878_CL,21,2,List 2,satchel,37,13891,1962,12488,holding,holding,VBG,hold
10012878_CL,22,2,List 2,goalpost,38,11187,3386,10224,scoring,scoring,VBG,score
10012878_CL,22,2,List 2,goalpost,38,11187,3386,10224,sports,sports,NNS,sport
10012878_CL,22,2,List 2,goalpost,38,11187,3386,10224,catching,catching,VBG,catch
10012878_CL,23,2,List 2,hotplate,46,17529,2273,4699,warming,warming,VBG,warm
10012878_CL,23,2,List 2,hotplate,46,17529,2273,4699,food,food,NN,food
10012878_CL,24,2,List 2,blower,54,19770,2976,18475,blowing,blowing,VBG,blow
10012878_CL,24,2,List 2,blower,54,19770,2976,18475,assistance,assistance,NN,assistance
10012878_CL,25,2,List 2,yogurt,50,10184,1620,9089,consumption,consumption,NN,consumption
10012878_CL,25,2,List 2,yogurt,50,10184,1620,9089,food,food,NN,food
10012878_CL,25,2,List 2,yogurt,50,10184,1620,9089,hunger,hunger,NN,hunger
10012878_CL,26,2,List 2,teabag,43,14432,1777,13346,mixing,mixing,VBG,mix
10012878_CL,26,2,List 2,teabag,43,14432,1777,13346,making,making,VBG,make
10012878_CL,26,2,List 2,teabag,43,14432,1777,13346,tea,tea,JJ,tea
10012878_CL,26,2,List 2,teabag,43,14432,1777,13346,drink,drink,NN,drink
10012878_CL,27,2,List 2,gondola,53,30249,6148,29227,viewing,viewing,VBG,view
10012878_CL,27,2,List 2,gondola,53,30249,6148,29227,entertainment,entertainment,NN,entertainment
10012878_CL,27,2,List 2,gondola,53,30249,6148,29227,privacy,privacy,NN,privacy
10012878_CL,27,2,List 2,gondola,53,30249,6148,29227,relaxing,relaxing,VBG,relax
10012878_CL,27,2,List 2,gondola,53,30249,6148,29227,fun,fun,JJ,fun
10012878_CL,27,2,List 2,gondola,53,30249,6148,29227,vacation,vacation,NN,vacation
10012878_CL,28,2,List 2,antibiotics,56,16197,1627,15134,medicine,medicine,NN,medicine
10012878_CL,28,2,List 2,antibiotics,56,16197,1627,15134,treatment,treatment,NN,treatment
10012878_CL,28,2,List 2,antibiotics,56,16197,1627,15134,illnesses,illnesses,VBZ,illnesses
10012878_CL,28,2,List 2,antibiotics,56,16197,1627,15134,curing,curing,VBG,cure
10012878_CL,29,2,List 2,tripe,57,47141,40718,46054,consuming,consuming,VBG,consume
10012878_CL,29,2,List 2,tripe,57,47141,40718,46054,eating,eating,VBG,eat
10012878_CL,30,2,List 2,dolphin,49,14868,1307,13808,swimming,swimming,VBG,swim
10012878_CL,30,2,List 2,dolphin,49,14868,1307,13808,talking,talking,VBG,talk
10012878_CL,30,2,List 2,dolphin,49,14868,1307,13808,entertainment,entertainment,NN,entertainment
10012878_CL,31,2,List 2,bottle,36,16548,1263,15582,drinking,drinking,VBG,drink
10012878_CL,31,2,List 2,bottle,36,16548,1263,15582,holding,holding,VBG,hold
10012878_CL,31,2,List 2,bottle,36,16548,1263,15582,filling,filling,VBG,fill
10012878_CL,31,2,List 2,bottle,36,16548,1263,15582,preserving,preserving,VBG,preserve
10012878_CL,32,2,List 2,turban,41,23563,1751,22148,holding,holding,VBG,hold
10012878_CL,32,2,List 2,turban,41,23563,1751,22148,fashion,fashion,NN,fashion
10012878_CL,32,2,List 2,turban,41,23563,1751,22148,religion,religion,NN,religion
10012878_CL,33,2,List 2,gunpowder,55,16301,1761,11694,shooting,shooting,VBG,shoot
10012878_CL,33,2,List 2,gunpowder,55,16301,1761,11694,crafting,crafting,VBG,craft
10012878_CL,33,2,List 2,gunpowder,55,16301,1761,11694,making,making,VBG,make
10012878_CL,33,2,List 2,gunpowder,55,16301,1761,11694,bullets,bullets,NNS,bullet
10012878_CL,34,2,List 2,prankster,52,14664,1444,13641,jokes,jokes,JJ,jokes
10012878_CL,34,2,List 2,prankster,52,14664,1444,13641,views,views,NNS,view
10012878_CL,34,2,List 2,prankster,52,14664,1444,13641,laughter,laughter,RBR,laughter
