Username,Condition.Description,Stimuli.Cue,Procedure.Trial.Type,affordance_parsed,word,lemma,POS,Source
000719536rln,Version 32,fan,BOI,use,use,use,VERB,USA
000719536rln,Version 32,fan,BOI,turn on,turn,turn,VERB,USA
000719536rln,Version 32,fan,BOI,turn off,turn,turn,VERB,USA
000719536rln,Version 32,fan,BOI,buy,buy,buy,VERB,USA
000719536rln,Version 32,fan,BOI,sale,sale,sell,VERB,USA
000719536rln,Version 32,fan,BOI,borrow,borrow,borrow,VERB,USA
000719536rln,Version 32,ash,BOI,dump,dump,dump,VERB,USA
000719536rln,Version 32,ash,BOI,blow,blow,blow,VERB,USA
000719536rln,Version 32,ash,BOI,store,store,store,VERB,USA
000719536rln,Version 32,pocketknife,BOI,use,use,use,VERB,USA
000719536rln,Version 32,pocketknife,BOI,fold,fold,fold,VERB,USA
000719536rln,Version 32,pocketknife,BOI,sale,sale,sell,VERB,USA
000719536rln,Version 32,pocketknife,BOI,give,give,give,VERB,USA
000719536rln,Version 32,pocketknife,BOI,sharpen,sharpen,sharpen,VERB,USA
000719536rln,Version 32,pocketknife,BOI,gift,gift,gift,VERB,USA
000719536rln,Version 32,pocketknife,BOI,buy,buy,buy,VERB,USA
000719536rln,Version 32,tin,BOI,buy,buy,buy,VERB,USA
000719536rln,Version 32,tin,BOI,store,store,store,VERB,USA
000719536rln,Version 32,tin,BOI,sale,sale,sell,VERB,USA
000719536rln,Version 32,tin,BOI,use,use,use,VERB,USA
000719536rln,Version 32,tin,BOI,storage,storage,store,VERB,USA
000719536rln,Version 32,songbook,BOI,buy,buy,buy,VERB,USA
000719536rln,Version 32,songbook,BOI,sale,sale,sell,VERB,USA
000719536rln,Version 32,songbook,BOI,use,use,use,VERB,USA
000719536rln,Version 32,songbook,BOI,read,read,read,VERB,USA
000719536rln,Version 32,songbook,BOI,play,play,play,VERB,USA
000719536rln,Version 32,songbook,BOI,borrow,borrow,borrow,VERB,USA
000719536rln,Version 32,skillet,BOI,cook,cook,cake,VERB,USA
000719536rln,Version 32,skillet,BOI,grill,grill,grill,VERB,USA
000719536rln,Version 32,skillet,BOI,bake,bake,bake,VERB,USA
000719536rln,Version 32,skillet,BOI,fry,fry,fry,VERB,USA
000719536rln,Version 32,skillet,BOI,buy,buy,buy,VERB,USA
000719536rln,Version 32,skillet,BOI,sale ,sale,sell,VERB,USA
000719536rln,Version 32,glassblower,BOI,create,create,create,VERB,USA
000719536rln,Version 32,glassblower,BOI,sale,sale,sale,NOUN,USA
000719536rln,Version 32,glassblower,BOI,buy,buy,buy,VERB,USA
000719536rln,Version 32,cloverleaf,BOI,wish,wish,wish,VERB,USA
000719536rln,Version 32,cloverleaf,BOI,find,find,find,VERB,USA
000719536rln,Version 32,cloverleaf,BOI,feed animals,feed,feed,VERB,USA
000719536rln,Version 32,cloverleaf,BOI,feed animals,animals,animal,NOUN,USA
000719536rln,Version 32,hairnet,BOI,use,use,use,VERB,USA
000719536rln,Version 32,hairnet,BOI,control hair,control,control,VERB,USA
000719536rln,Version 32,hairnet,BOI,control hair,hair,hair,NOUN,USA
000719536rln,Version 32,tinplate,BOI,to make cans for food,make,make,VERB,USA
000719536rln,Version 32,tinplate,BOI,to make cans for food,cans,can,NOUN,USA
000719536rln,Version 32,tinplate,BOI,to make cans for food,food,food,NOUN,USA
000719536rln,Version 32,tinplate,BOI,drink,drink,drink,NOUN,USA
000719536rln,Version 32,tinplate,BOI,machines,machines,machine,NOUN,USA
000719536rln,Version 32,bead,BOI,creating jewelry,creating,create,VERB,USA
000719536rln,Version 32,bead,BOI,creating jewelry,jewelry,jewelry,NOUN,USA
000719536rln,Version 32,bead,BOI,making decorations,making,make,VERB,USA
000719536rln,Version 32,bead,BOI,making decorations,decorations,decorate,VERB,USA
000719536rln,Version 32,sprinter,BOI,run,run,run,VERB,USA
000719536rln,Version 32,sprinter,BOI,racing,racing,race,VERB,USA
000719536rln,Version 32,bible,BOI,study,study,study,VERB,USA
000719536rln,Version 32,bible,BOI,read,read,read,VERB,USA
000719536rln,Version 32,bible,BOI,worship,worship,worship,VERB,USA
000719536rln,Version 32,machinery,BOI,make cars,make,make,VERB,USA
000719536rln,Version 32,machinery,BOI,make cars,cars,cars,NOUN,USA
000719536rln,Version 32,machinery,BOI,operate,operate,operate,VERB,USA
000719536rln,Version 32,machinery,BOI,make merchandise,make,make,VERB,USA
000719536rln,Version 32,machinery,BOI,make merchandise,merchandise,merchandise,NOUN,USA
000719536rln,Version 32,artifact,BOI,study,study,study,VERB,USA
000719536rln,Version 32,artifact,BOI,buy,buy,buy,VERB,USA
000719536rln,Version 32,artifact,BOI,sale,sale,sale,NOUN,USA
000719536rln,Version 32,summerhouse,BOI,vacation,vacation,vacation,VERB,USA
000719536rln,Version 32,summerhouse,BOI,retreat,retreat,retreat,NOUN,USA
000719536rln,Version 32,summerhouse,BOI,sale,sale,sell,VERB,USA
000719536rln,Version 32,summerhouse,BOI,buy,buy,buy,VERB,USA
000719536rln,Version 32,powerboat,BOI,use,use,use,VERB,USA
000719536rln,Version 32,powerboat,BOI,buy,buy,buy,VERB,USA
000719536rln,Version 32,powerboat,BOI,sale,sale,sell,VERB,USA
