Stimuli.Cue,affordance_parsed,word,lemma,POS,Source
bootlace,tied,tied,tie,VERB,Hope
bootlace,strung,strung,string,VERB,Hope
fossil,dug up,dug,dug,X,Hope
fossil,hidden,hidden,hide,VERB,Hope
fossil,treasure,treasure,treasure,NOUN,Hope
hairbrush,brush hair,brush,brush,VERB,Hope
hairbrush,brush hair,hair,hair,NOUN,Hope
hairbrush,detangle,detangle,detangle,VERB,Hope
tightrope,walked across,walked,walk,VERB,Hope
tightrope,walked across,across,across,ADP,Hope
tightrope,tied to something,tied,tie,VERB,Hope
tightrope,tied to something,something,something,PRON,Hope
tree,climbing,climbing,climb,VERB,Hope
tree,wood,wood,wood,NOUN,Hope
tree,house making,house,house,NOUN,Hope
tree,house making,making,make,NOUN,Hope
tree,fire starter,fire,fire,VERB,Hope
tree,fire starter,starter,starter,NOUN,Hope
cornfield,corn maze,corn,corn,NOUN,Hope
cornfield,corn maze,maze,maze,NOUN,Hope
cornfield,corn,corn,corn,NOUN,Hope
cornfield,harvest ,harvest,harvest,VERB,Hope
tooth,chewing,chewing,chew,VERB,Hope
tooth,grinding,grinding,grind,VERB,Hope
tomb,dead body,dead,dead,ADJ,Hope
tomb,dead body,body,body,NOUN,Hope
tomb,away,away,away,ADV,Hope
grandparent,care taker,care,care,VERB,Hope
grandparent,care taker,taker,taker,NOUN,Hope
grandparent,gifts,gifts,gift,NOUN,Hope
flashlight,light in the dark,light,light,VERB,Hope
flashlight,light in the dark,dark,dark,ADJ,Hope
flashlight,hit someone ,hit,hit,VERB,Hope
flashlight,hit someone ,someone,someone,PRON,Hope
deerskin,warmth,warmth,warm,VERB,Hope
deerskin,coats,coats,coat,NOUN,Hope
deerskin,hats,hats,hat,NOUN,Hope
deerskin,bed,bed,bed,VERB,Hope
carnival,fun,fun,fun,NOUN,Hope
carnival,kids,kids,kid,NOUN,Hope
antihistamine,suppress illness,suppress,suppress,VERB,Hope
antihistamine,suppress illness,illness,illness,NOUN,Hope
woman,care taker,care,care,VERB,Hope
woman,care taker,taker,taker,NOUN,Hope
woman,have kids,kids,kid,NOUN,Hope
Donut,eaten,eaten,eat,VERB,Hope
ramp,moving,moving,move,VERB,Hope
ramp,walk up ,walk,walk,VERB,Hope
beefcake,eaten,eaten,eat,VERB,Hope
envelope,sent,sent,send,VERB,Hope
envelope,sealed,sealed,seal,VERB,Hope
envelope,package,package,package,NOUN,Hope
vendor,parties,parties,party,VERB,Hope
vendor,supplies ,supplies,supplies,NOUN,Hope
fluid,drank,drank,drink,VERB,Hope
fluid,wet,wet,wet,VERB,Hope
portfolio,showcase,showcase,showcase,NOUN,Hope
portfolio,work,work,work,VERB,Hope
stallion,ride,ride,ride,VERB,Hope
moneybags,hold something,hold,hold,VERB,Hope
moneybags,hold something,something,something,PRON,Hope
cracker,eaten,eaten,eat,VERB,Hope
cracker,broken,broken,break,VERB,Hope
cracker,meal,meal,meal,NOUN,Hope
label,make sense of something ,make,make,VERB,Hope
label,make sense of something ,sense,make sense,VERB,Hope
label,make sense of something ,something,something,PRON,Hope
catfish,seen,seen,see,VERB,Hope
catfish,touched,touched,touch,VERB,Hope
catfish,sniffed,sniffed,sniff,VERB,Hope
catfish,eaten,eaten,eat,VERB,Hope
catfish,asked for,asked,ask,VERB,Hope
catfish,fished,fished,fish,VERB,Hope
catfish,ordered,ordered,order,VERB,Hope
catfish,complained about,complained,complain,VERB,Hope
catfish,touched by,touched,touch,VERB,Hope
catfish,eaten by,eaten,eat,VERB,Hope
catfish,swam next to,swam,swim,VERB,Hope
catfish,swam next to,next,next,ADV,Hope
catfish,talked about,talked,talk,VERB,Hope
pinwheel,blown on,blown,blow,VERB,Hope
pinwheel,looked at,looked,look,VERB,Hope
pinwheel,touched,touched,touch,VERB,Hope
pinwheel,thought about,thought,thing,VERB,Hope
pinwheel,played with,played,play,VERB,Hope
pinwheel,spun,spun,spin,NOUN,Hope
pinwheel,argued over,argued,argue,VERB,Hope
pinwheel,broken,broken,break,VERB,Hope
pinwheel,stolen,stolen,steal,VERB,Hope
bellflower,looked at,looked,look,VERB,Hope
bellflower,talked about,talked,talk,VERB,Hope
bellflower,seen,seen,see,VERB,Hope
bellflower,smelled,smelled,smell,VERB,Hope
bellflower,touched,touched,touch,VERB,Hope
bellflower,drawn,drawn,draw,VERB,Hope
bellflower,painted of,painted,paint,VERB,Hope
bellflower,heard about,heard,hear,VERB,Hope
bellflower,picked,picked,pick,VERB,Hope
bellflower,stepped on,stepped,step,VERB,Hope
bellflower,thought about,thought,thing,VERB,Hope
bellflower,talked about,talked,talk,VERB,Hope
bellflower,watered,watered,watere,VERB,Hope
bellflower,torn,torn,tear,VERB,Hope
bellflower,give to someone,give,give,VERB,Hope
bellflower,give to someone,someone,someone,PRON,Hope
bellflower,picked,picked,pick,VERB,Hope
bellflower,received ,received,receive,VERB,Hope
shower,taken,taken,take,VERB,Hope
shower,fixed,fixed,fix,VERB,Hope
shower,touched,touched,touch,VERB,Hope
shower,sung in,sung,sing,VERB,Hope
shower,gotten clean in,gotten,get,VERB,Hope
shower,gotten clean in,clean,clean,VERB,Hope
shower,slipped on,slipped,slip,VERB,Hope
shower,made soapy,made,make,VERB,Hope
shower,made soapy,soapy,soapy,NOUN,Hope
shower,sung in,sung,sing,VERB,Hope
shower,clog it,clog,clog,VERB,Hope
gold,sell it,sell,sell,VERB,Hope
gold,buy it,buy,buy,VERB,Hope
gold,look at it,look,look,VERB,Hope
gold,think about it,think,think,VERB,Hope
gold,throw it,throw,throw,VERB,Hope
gold,step on it,step,step on,VERB,Hope
gold,mold it into something else,mold,mold,VERB,Hope
gold,mold it into something else,something,something,PRON,Hope
gold,mold it into something else,else,else,ADJ,Hope
gold,steal,steal,steal,VERB,Hope
gold,brag about having it,brag,brag,VERB,Hope
throat,swallow spit,swallow,swallow,VERB,Hope
throat,swallow spit,spit,spit,VERB,Hope
throat,choke,choke,choke,VERB,Hope
throat,touch,touch,touch,VERB,Hope
throat,talk with it,talk,talk,VERB,Hope
throat,throw up out of it,throw,throw up,VERB,Hope
throat,cough out of it,cough,cough,VERB,Hope
throat,breath out of it,breath,breathe,VERB,Hope
throat,tighten it,tighten,tighten,VERB,Hope
throat,loosen it,loosen,loosen,VERB,Hope
popcorn,eat it,eat,eat,VERB,Hope
popcorn,smell it,smell,smell,VERB,Hope
popcorn,look at it,look,look,VERB,Hope
popcorn,buy it,buy,buy,VERB,Hope
popcorn,sell it,sell,sell,VERB,Hope
popcorn,clean it up,clean,clean,VERB,Hope
popcorn,look for it,look,look,VERB,Hope
popcorn,ask for it,ask,ask,VERB,Hope
popcorn,choke on it,choke,choke,VERB,Hope
popcorn,look at it,look,look,VERB,Hope
popcorn,taste it,taste,taste,VERB,Hope
popcorn,ask for it,ask,ask,VERB,Hope
popcorn,think about it,think,think,VERB,Hope
popcorn,try it,try,try,VERB,Hope
popcorn,step on it,step,step on,VERB,Hope
popcorn,break it,break,break,VERB,Hope
popcorn,chew it,chew,chew,VERB,Hope
popcorn,put it in a bowl,put,put,VERB,Hope
popcorn,put it in a bowl,bowl,bowl,NOUN,Hope
popcorn,season it,season,season,VERB,Hope
popcorn,throw it,throw,throw,VERB,Hope
popcorn,catch it in my mouth,catch,catch,VERB,Hope
popcorn,catch it in my mouth,mouth,mouth,NOUN,Hope
tortilla,eat it,eat,eat,VERB,Hope
tortilla,smell it,smell,smell,VERB,Hope
tortilla,talk about it,talk,talk,VERB,Hope
tortilla,step on it,step,step on,VERB,Hope
tortilla,look for it,look,look,VERB,Hope
tortilla,ask for it,ask,ask,VERB,Hope
tortilla,order it,order,order,NOUN,Hope
tortilla,receive it,receive,receive,VERB,Hope
tortilla,fold it,fold,fold,VERB,Hope
tortilla,chew it,chew,chew,VERB,Hope
tortilla,spit it out,spit,spit,VERB,Hope
tortilla,swallow it,swallow,swallow,VERB,Hope
tortilla,throw it away,throw,throw away,VERB,Hope
tortilla,throw it away,away,away,ADV,Hope
hammock,lay in it,lay,lay,VERB,Hope
hammock,sleep in it,sleep,sleep,VERB,Hope
hammock,nap in it,nap,nap,VERB,Hope
hammock,swing in it,swing,swing,VERB,Hope
hammock,set it up,set,set,VERB,Hope
hammock,take it down,take,take,VERB,Hope
hammock,buy it,buy,buy,VERB,Hope
hammock,sell it,sell,sell,VERB,Hope
hammock,order it online,order,order,VERB,Hope
hammock,order it online,online,online,ADV,Hope
hammock,look for it at the store,look,look,VERB,Hope
hammock,look for it at the store,store,store,NOUN,Hope
hammock,show it off,show,show,VERB,Hope
hammock,hurt yourself in it,hurt,hurt,VERB,Hope
nectar,eat it,eat,eat,VERB,Hope
nectar,smell it,smell,smell,VERB,Hope
nectar,smear it,smear,smear,VERB,Hope
nectar,look for it,look,look,VERB,Hope
nectar,taste it,taste,taste,VERB,Hope
nectar,clean it up,clean,clean,VERB,Hope
mandolin,play it,play,play,VERB,Hope
mandolin,buy it,buy,buy,VERB,Hope
mandolin,sell it,sell,sell,VERB,Hope
mandolin,practice on it,practice,practice,VERB,Hope
mandolin,learn it,learn,learn,VERB,Hope
mandolin,teach it/with it,teach,teach,VERB,Hope
mandolin,throw it,throw,throw,VERB,Hope
mandolin,break it,break,break,VERB,Hope
mandolin,fix it,fix,fix,VERB,Hope
mandolin,re-tie the strings,re,re-string,VERB,Hope
mandolin,tune it,tune,tune,VERB,Hope
mandolin,finger it,finger,finger,VERB,Hope
mandolin,play super loudly,play,play,VERB,Hope
mandolin,play super loudly,super,super,ADV,Hope
mandolin,play super loudly,loudly,loudly,ADV,Hope
mandolin,play really quietly with it,play,play,VERB,Hope
mandolin,play really quietly with it,really,really,ADV,Hope
mandolin,play really quietly with it,quietly,quietly,ADV,Hope
gravy,eat it,eat,eat,VERB,Hope
gravy,watch it pour,watch,watch,VERB,Hope
gravy,watch it pour,pour,pour,VERB,Hope
gravy,smell it,smell,smell,VERB,Hope
gravy,taste it,taste,taste,VERB,Hope
gravy,put it on stuff,put,put,VERB,Hope
gravy,put it on stuff,stuff,stuff,NOUN,Hope
gravy,savor it,savor,savor,VERB,Hope
gravy,give it,give,give,VERB,Hope
gravy,make it,make,make,VERB,Hope
gravy,heat it up,heat,heat,VERB,Hope
griddle,heat it up,heat,heat,VERB,Hope
griddle,put food on it,put,put,VERB,Hope
griddle,put food on it,food,food,NOUN,Hope
griddle,make food on it,make,make,VERB,Hope
griddle,make food on it,food,food,VERB,Hope
griddle,carry it,carry,carry,VERB,Hope
griddle,give it,give,give,VERB,Hope
griddle,receive it,receive,receive,VERB,Hope
griddle,throw it,throw,throw,VERB,Hope
griddle,bang it,bang,bang,VERB,Hope
griddle,drop it,drop,drop,VERB,Hope
griddle,pick it up,pick,pick,VERB,Hope
terrier,train it,train,train,VERB,Hope
terrier,pet it,pet,pet,VERB,Hope
terrier,look at it,look,look,VERB,Hope
terrier,speak to it,speak,speak,VERB,Hope
terrier,smell it,smell,smell,VERB,Hope
terrier,clean it,clean,clean,VERB,Hope
terrier,walk it,walk,walk,VERB,Hope
terrier,run with it,run,run,VERB,Hope
terrier,enter in competitions,enter,enter,VERB,Hope
terrier,enter in competitions,competitions,compete,VERB,Hope
terrier,feed it,feed,feed,VERB,Hope
mutt,teach it,teach,teach,VERB,Hope
mutt,feed it,feed,feed,VERB,Hope
mutt,sell it,sell,sell,VERB,Hope
mutt,train it,train,train,VERB,Hope
mutt,pet it,pet,pet,VERB,Hope
mutt,listen to it,listen,listen,VERB,Hope
mutt,yell at it,yell,yell,VERB,Hope
mutt,walk with it,walk,walk,VERB,Hope
mutt,run with it,run,run,VERB,Hope
mutt,swim with it,swim,swim,VERB,Hope
shelf,put things on it,put,put,VERB,Hope
shelf,put things on it,things,thing,NOUN,Hope
shelf,build it,build,build,VERB,Hope
shelf,break it,break,break,VERB,Hope
shelf,fix it,fix,fix,VERB,Hope
shelf,touch it,touch,touch,VERB,Hope
shelf,bump your head on it,bump,bump,VERB,Hope
shelf,bump your head on it,head,head,NOUN,Hope
wafer,eat it,eat,eat,VERB,Hope
wafer,taste it,taste,taste,VERB,Hope
wafer,smell it,smell,smell,VERB,Hope
wafer,throw it up,throw,throw,VERB,Hope
wafer,break it,break,break,VERB,Hope
wafer,touch it,touch,touch,VERB,Hope
wafer,give it to someone else,give,give,VERB,Hope
wafer,give it to someone else,someone,someone,PRON,Hope
wafer,give it to someone else,else,else,ADJ,Hope
wafer,buy it,buy,buy,VERB,Hope
wafer,sell it,sell,sell,VERB,Hope
scoop,get ice cream with it,get,get,VERB,Hope
scoop,get ice cream with it,ice,ice cream,NOUN,Hope
scoop,wash it,wash,wash,VERB,Hope
scoop,throw it,throw,throw,VERB,Hope
scoop,dry it,dry,dry,VERB,Hope
scoop,scoop up cookie dough,scoop,scoop,VERB,Hope
scoop,scoop up cookie dough,cookie,cookie dough,NOUN,Hope
phonograph,listen to it,listen,listen,VERB,Hope
phonograph,clean it,clean,clean,VERB,Hope
phonograph,buy it,buy,buy,VERB,Hope
phonograph,sell it,sell,sell,VERB,Hope
phonograph,break it,break,break,VERB,Hope
phonograph,fix it,fix,fix,VERB,Hope
macaroon,eat it,eat,eat,VERB,Hope
macaroon,smell it,smell,smell,VERB,Hope
macaroon,crumble it,crumble,crumble,VERB,Hope
