"Username","Condition.Description","Stimuli.Cue","Procedure.Item","affordance_parsed","word","lemma","POS"
"M20266953V.S","Version 78","cigarette",2327,"smoke","smoke","smoke","NOUN"
"M20266953V.S","Version 78","tavern",2338,"explore","explore","explore","VERB"
"M20266953V.S","Version 78","sugarcane",2336,"pie","pie","pie","NOUN"
"M20266953V.S","Version 78","windsock",2331,"air","air","air","NOUN"
"M20266953V.S","Version 78","rug",2319,"decoration","decoration","decoration","NOUN"
"M20266953V.S","Version 78","mousse",2335,"rotten","rotten","rote","ADJ"
"M20266953V.S","Version 78","silverware",2316,"eat","eat","eat","VERB"
"M20266953V.S","Version 78","bully",2325,"school","school","school","NOUN"
"M20266953V.S","Version 78","gymnast",2321,"excersies ","exercise","exercise","NOUN"
"M20266953V.S","Version 78","pretzel",2322,"eat","eat","eat","VERB"
"M20266953V.S","Version 78","drawstring",2315,"art","art","art","NOUN"
"M20266953V.S","Version 78","kiss",2312,"connectin","connection","connection","NOUN"
"M20266953V.S","Version 78","limeade",2332,"drink","drink","drink","NOUN"
"M20266953V.S","Version 78","colleague",2326,"work place","work","work","NOUN"
"M20266953V.S","Version 78","colleague",2326,"work place","place","place","NOUN"
"M20266953V.S","Version 78","bookbinder",2313,"diver","diver","diver","NOUN"
"M20266953V.S","Version 78","ribbon",2334,"decoration","decoration","decoration","NOUN"
"M20266953V.S","Version 78","mirror",2329,"reflection","reflection","reflection","NOUN"
"M20266953V.S","Version 78","butcher",2337,"meat","meat","meat","NOUN"
"M20266953V.S","Version 78","roadster",2330,"list","list","list","NOUN"
"M20266953V.S","Version 78","turkey",2340,"food celebration","food","food","NOUN"
"M20266953V.S","Version 78","turkey",2340,"food celebration","celebration","celebration","NOUN"
"M20266953V.S","Version 78","goddaughter",2341,"catholic church ","catholic","catholic","NOUN"
"M20266953V.S","Version 78","goddaughter",2341,"catholic church ","church","church","NOUN"
"M20266953V.S","Version 78","dresser",2333,"wedding ","wedding","wedding","NOUN"
"M20266953V.S","Version 78","cop",2320,"ticket","ticket","ticket","NOUN"
"M20266953V.S","Version 78","friend",2314,"outside family","outside","outside","ADV"
"M20266953V.S","Version 78","friend",2314,"outside family","family","family","NOUN"
"M20266953V.S","Version 78","plantain",2317,"fruit","fruit","fruit","NOUN"
"M20268581_mns","Version 88","me",2628,"work","work","work","NOUN"
"M20268581_mns","Version 88","cornmeal",2620,"eat","eat","eat","VERB"
"M20268581_mns","Version 88","cornmeal",2620,"make","make","make","VERB"
"M20268581_mns","Version 88","cornmeal",2620,"serve","serve","serve","VERB"
"M20268581_mns","Version 88","grandfather",2612,"help","help","help","VERB"
"M20268581_mns","Version 88","grandfather",2612,"work","work","work","NOUN"
"M20268581_mns","Version 88","grandfather",2612,"family","family","family","NOUN"
"M20268581_mns","Version 88","Sailboat",2627,"sail","sail","sail","NOUN"
"M20268581_mns","Version 88","spout",2624,"water","water","water","NOUN"
"M20268581_mns","Version 88","spout",2624,"rinse ","rinse","rinse","NOUN"
"M20268581_mns","Version 88","balloonist",2640,"party","party","party","NOUN"
"M20268581_mns","Version 88","balloonist",2640,"blow","blow","blow","VERB"
"M20268581_mns","Version 88","balloonist",2640,"entertain","entertain","entertain","ADJ"
"M20268581_mns","Version 88","bus",2614,"ride","ride","ride","NOUN"
"M20268581_mns","Version 88","bus",2614,"travel","travel","travel","NOUN"
"M20268581_mns","Version 88","bus",2614,"transfer","transfer","transfer","NOUN"
"M20268581_mns","Version 88","skirt",2639,"wear","wear","wear","VERB"
"M20268581_mns","Version 88","skirt",2639,"use","use","use","VERB"
"M20268581_mns","Version 88","treat",2635,"eat","eat","eat","VERB"
"M20268581_mns","Version 88","treat",2635,"give","give","give","VERB"
"M20268581_mns","Version 88","treat",2635,"make","make","make","VERB"
"M20268581_mns","Version 88","donkey",2636,"eat","eat","eat","VERB"
"M20268581_mns","Version 88","donkey",2636,"ride","ride","ride","NOUN"
"M20268581_mns","Version 88","donkey",2636,"kill","kill","kill","VERB"
"M20268581_mns","Version 88","donkey",2636,"pet","pet","pet","NOUN"
"M20268581_mns","Version 88","paintbrush",2631,"paint","paint","paint","VERB"
"M20268581_mns","Version 88","paintbrush",2631,"use","use","use","VERB"
"M20268581_mns","Version 88","paintbrush",2631,"buy","buy","buy","VERB"
"M20268581_mns","Version 88","paintbrush",2631,"sell","sell","sell","VERB"
"M20268581_mns","Version 88","scooter",2638,"ride","ride","ride","NOUN"
"M20268581_mns","Version 88","scooter",2638,"buy","buy","buy","VERB"
"M20268581_mns","Version 88","scooter",2638,"sell","sell","sell","VERB"
"M20268581_mns","Version 88","scooter",2638,"make","make","make","VERB"
"M20268581_mns","Version 88","scooter",2638,"push","push","push","INTJ"
"M20268581_mns","Version 88","supermarket",2613,"shop","shop","shop","NOUN"
"M20268581_mns","Version 88","supermarket",2613,"buy","buy","buy","VERB"
"M20268581_mns","Version 88","supermarket",2613,"go","go","go","VERB"
"M20268581_mns","Version 88","stenographer",2626,"write","write","write","X"
"M20268581_mns","Version 88","crib",2632,"rock","rock","rock","NOUN"
"M20268581_mns","Version 88","crib",2632,"make","make","make","VERB"
"M20268581_mns","Version 88","crib",2632,"sleep","sleep","sleep","NOUN"
"M20268581_mns","Version 88","bedclothes",2618,"wear","wear","wear","VERB"
"M20268581_mns","Version 88","bedclothes",2618,"wash","wash","wash","INTJ"
"M20268581_mns","Version 88","bedclothes",2618,"clean","clean","clean","ADJ"
"M20268581_mns","Version 88","bedclothes",2618,"give","give","give","VERB"
