CUE,RESPONSE,RESPONSE TOKEN,RESPONSE LEMMA,POS
abacus,accounting,accounting,accounting,VERB
abacus,business,business,business,NOUN
abacus,calculus,calculus,calculus,NOUN
abacus,change,change,change,NOUN
abacus,chemistry,chemistry,chemistry,NOUN
abacus,count,count,count,VERB
abacus,counting,counting,count,VERB
abacus,homework,homework,homework,NOUN
abacus,math,math,math,NOUN
abacus,move,move,move,VERB
abacus,physics,physics,physics,NOUN
abacus,thrown,thrown,throw,VERB
abacus,to help to understand math,help,help,VERB
abacus,to help to understand math,understand,understand,VERB
abacus,to help to understand math,math,math,NOUN
abdomen,breath,breath,breathe,VERB
abdomen,cut,cut,cut,VERB
abdomen,exercise,exercise,exercise,VERB
abdomen,flex,flex,flex,VERB
abdomen,housing organs,housing,house,VERB
abdomen,housing organs,organs,organ,NOUN
abdomen,housing organs,housing,housing,NOUN
abdomen,keeps us living,keeps,keep,VERB
abdomen,keeps us living,living,live,VERB
abdomen,part of body,part,part,NOUN
abdomen,part of body,body,body,NOUN
abdomen,stomach,stomach,stomach,NOUN
abdomen,surgery,surgery,surgery,NOUN
absinthe,drank,drank,drink,VERB
absinthe,drink,drink,drink,VERB
absinthe,look,look,look,VERB
absinthe,looked at,looked,look,VERB
absinthe,picked up,picked,pick,VERB
absinthe,smelled,smelled,smell,VERB
absinthe,taste,taste,taste,VERB
absinthe,touched,touched,touch,VERB
absinthe,use,use,use,VERB
accessory,activity,activity,activity,NOUN
accessory,and for show,show,show,NOUN
accessory,as decoration,decoration,decorate,VERB
accessory,as jewelry,jewelry,jewelry,NOUN
accessory,assist,assist,assist,VERB
accessory,bracelet,bracelet,bracelet,NOUN
accessory,buy,buy,buy,VERB
accessory,charge,charge,charge,NOUN
accessory,decor,decor,decorate,VERB
accessory,draw,draw,draw,VERB
accessory,earring,earring,ear,NOUN
accessory,fashion,fashion,fashion,NOUN
accessory,give,give,give,VERB
accessory,help,help,help,VERB
accessory,look nice,look,look,VERB
accessory,look nice,nice,nice,ADJ
accessory,make.,make,make,VERB
accessory,necklace,necklace,necklace,NOUN
accessory,sell,sell,sell,VERB
accessory,to decorate,decorate,decorate,VERB
accessory,to modity,modity,modify,VERB
accessory,to wear,wear,wear,VERB
accessory,wear,wear,wear,VERB
accordion,learn how to play,learn,learn,VERB
accordion,learn how to play,play,play,VERB
accordion,play,play,play,VERB
accordion,play music,play,play,NOUN
accordion,play music,music,music,NOUN
accordion,played,played,play,VERB
accordion,playing music,playing,play,VERB
accordion,playing music,music,music,NOUN
accordion,practice,practice,practice,VERB
accordion,teach how to play,teach,teach,VERB
accordion,teach how to play,play,play,VERB
accordion,tune,tune,tune,VERB
accountant,call,call,call,VERB
accountant,consult with,consult,consult,VERB
accountant,go see,go,go,VERB
accountant,go see,see,see,VERB
accountant,manage,manage,manage,VERB
accountant,money,money,money,NOUN
accountant,money bank finances taxs debts,money,money,NOUN
accountant,money bank finances taxs debts,bank,bank,NOUN
accountant,money bank finances taxs debts,finances,finances,NOUN
accountant,money bank finances taxs debts,taxs,tax,VERB
accountant,money bank finances taxs debts,debts,debt,NOUN
accountant,organize,organize,organize,VERB
accountant,see,see,see,VERB
accountant,speak to,speak,speak,VERB
accountant,study with,study,study,VERB
accountant,work,work,work,NOUN
acne,blotchy,blotchy,blotchy,ADJ
acne,break out,break,break,VERB
acne,bumps,bumps,bump,VERB
acne,clear up,clear,clear,VERB
acne,clear up,up,up,NOUN
acne,cleared,cleared,clear,VERB
acne,covered up,covered,cover,VERB
acne,irritated,irritated,irritate,VERB
acne,pick at it,pick,pick,VERB
acne,picked at,picked,pick,VERB
acne,pimples,pimples,pimple,NOUN
acne,popped,popped,pop,VERB
acne,scars,scars,scar,VERB
acne,self care,self,self,NOUN
acne,self care,care,care,VERB
acne,treat,treat,treat,VERB
acorn,collecting,collecting,collect,VERB
acorn,cook,cook,cook,VERB
acorn,crack,crack,crack,VERB
acorn,decoration,decoration,decorate,VERB
acorn,decorations,decorations,decorate,VERB
acorn,dodge ball,dodge,dodge ball,VERB
acorn,eat,eat,eat,VERB
acorn,eating,eating,eat,VERB
acorn,fed to squirrels,fed,feed,VERB
acorn,fed to squirrels,squirrels,squirrel,NOUN
acorn,feed to squirrel,feed,feed,VERB
acorn,feed to squirrel,squirrel,squirrel,VERB
acorn,food,food,food,NOUN
acorn,picking up,picking,pick,VERB
acorn,planted,planted,plan,VERB
acorn,smash,smash,smash,VERB
acorn,squirrel,squirrel,squirrel,NOUN
acorn,squirrels eat,squirrels,squirrel,NOUN
acorn,squirrels eat,eat,eat,VERB
acorn,step on,step,step,NOUN
acorn,stepping on,stepping,step,VERB
acorn,throw,throw,throw,VERB
acorn,throwing,throwing,throw,VERB
acorn,trees,trees,tree,NOUN
acrobat,cartwheel,cartwheel,cartwheel,VERB
