"Username","Trial","Condition.Description","Stimuli.Cue","Procedure.Trial.Type","affordance_parsed","affordance_corrected"
"M10248901KMM",11,"Version 8","excavator","BOI","move things","move things"
"M10248901KMM",11,"Version 8","excavator","BOI","create holes","create holes"
"M10248901KMM",11,"Version 8","excavator","BOI","dig","dig"
"M10248901KMM",11,"Version 8","excavator","BOI","ride in","ride in"
"M10248901KMM",11,"Version 8","excavator","BOI","drive ","drive "
"M10248901KMM",13,"Version 8","strongbox","BOI","store personal items","store personal items"
"M10248901KMM",13,"Version 8","strongbox","BOI","sit on","sit on"
"M10248901KMM",13,"Version 8","strongbox","BOI","kick","kick"
"M10248901KMM",13,"Version 8","strongbox","BOI","carry","carry"
"M10248901KMM",14,"Version 8","paperback","BOI","tear","tear"
"M10248901KMM",14,"Version 8","paperback","BOI","bend","bend"
"M10248901KMM",14,"Version 8","paperback","BOI","write on","write on"
"M10248901KMM",14,"Version 8","paperback","BOI","sit on","sit on"
"M10248901KMM",14,"Version 8","paperback","BOI","throw","throw"
"M10248901KMM",14,"Version 8","paperback","BOI","read","read"
"M10248901KMM",14,"Version 8","paperback","BOI","rip","rip"
"M10248901KMM",14,"Version 8","paperback","BOI","brand","brand"
"M10248901KMM",14,"Version 8","paperback","BOI","set on fire","set on fire"
"M10248901KMM",15,"Version 8","plum","BOI","eat","eat"
"M10248901KMM",15,"Version 8","plum","BOI","slice","slice"
"M10248901KMM",15,"Version 8","plum","BOI","dice","dice"
"M10248901KMM",15,"Version 8","plum","BOI","crush","crush"
"M10248901KMM",15,"Version 8","plum","BOI","hit","hit"
"M10248901KMM",15,"Version 8","plum","BOI","dehydrate","dehydrate"
"M10248901KMM",15,"Version 8","plum","BOI","bake","bake"
"M10248901KMM",15,"Version 8","plum","BOI","pick","pick"
"M10248901KMM",15,"Version 8","plum","BOI","eat","eat"
"M10248901KMM",16,"Version 8","body","BOI","run","run"
"M10248901KMM",16,"Version 8","body","BOI","jump","jump"
"M10248901KMM",16,"Version 8","body","BOI","sit","sit"
"M10248901KMM",16,"Version 8","body","BOI","walk","walk"
"M10248901KMM",16,"Version 8","body","BOI","move","move"
"M10248901KMM",16,"Version 8","body","BOI","twist","twist"
"M10248901KMM",16,"Version 8","body","BOI","bend","bend"
"M10248901KMM",16,"Version 8","body","BOI","break","break"
"M10248901KMM",16,"Version 8","body","BOI","nourish","nourish"
"M10248901KMM",16,"Version 8","body","BOI","feed","feed"
"M10248901KMM",16,"Version 8","body","BOI","love","love"
"M10248901KMM",16,"Version 8","body","BOI","to have sex","to have sex"
"M10248901KMM",16,"Version 8","body","BOI","give hugs","give hugs"
"M10248901KMM",16,"Version 8","body","BOI","pump up","pump up"
"M10248901KMM",16,"Version 8","body","BOI","excite ","excite "
"M10248901KMM",17,"Version 8","tailcoat","BOI","sew","sew"
