Stimuli.Cue,affordance_parsed,word,lemma,POS,Source
alcohol,driving,driving,drive,VERB,USA
alcohol,partying,partying,party,VERB,USA
wrench,tightening,tightening,tightene,VERB,USA
wrench,loosening,loosening,loose,VERB,USA
glitter,decorating,decorating,decorate,VERB,USA
wax,burning,burning,burn,VERB,USA
riverboat,riding,riding,ride,VERB,USA
riverboat,living,living,live,VERB,USA
assassin,killing,killing,kill,VERB,USA
forearm,extending,extending,extend,VERB,USA
chip,eating,eating,eat,VERB,USA
chip,playing,playing,play,VERB,USA
boutique,shopping,shopping,shop,VERB,USA
searchlight,searching,searching,search,VERB,USA
searchlight,illumination,illumination,illuminate,VERB,USA
barn,hiding,hiding,hi,VERB,USA
barn,sleeping,sleeping,sleep,VERB,USA
barn,storing,storing,store,VERB,USA
soldier,killing,killing,kill,VERB,USA
gumbo,eating,eating,eat,VERB,USA
fillet,eating,eating,eat,VERB,USA
toastmaster,toasting,toasting,toast,VERB,USA
snowman,fun,fun,fun,VERB,USA
football,throwing,throwing,throw,VERB,USA
football,kicking,kicking,kick,VERB,USA
football,sitting,sitting,sit,VERB,USA
taxpayer,paying,paying,pay,VERB,USA
taxpayer,dying,dying,die,VERB,USA
sapling,growing,growing,grow,VERB,USA
crate,storing,storing,store,VERB,USA
gravestone,marking,marking,mark,VERB,USA
gravestone,remebering,remembering,remember,VERB,USA
rainfall,watering,watering,wate,VERB,USA
ground,walk on ,walk,walk,VERB,USA
jersey,wear,wear,wear,VERB,USA
mullet,style hair,style,style,VERB,USA
mullet,style hair,hair,hair,NOUN,USA
shutter,open,open,open,VERB,USA
shutter,close,close,close,VERB,USA
robber,steal,steal,steal,VERB,USA
tickler,make someone laugh,make,make,VERB,USA
tickler,make someone laugh,someone,someone,PRON,USA
tickler,make someone laugh,laugh,laugh,VERB,USA
tulip,make flower arrangment,make,make,VERB,USA
tulip,make flower arrangment,flower,flower,NOUN,USA
tulip,make flower arrangment,arrangement,arrangement,NOUN,USA
tulip,give as gift,give,give,VERB,USA
tulip,give as gift,gift,gift,VERB,USA
door,open,open,open,VERB,USA
door,close,close,close,VERB,USA
door,slam,slam,slam,VERB,USA
door,shut,shut,shut,VERB,USA
spices,add flavor,add,add,VERB,USA
spices,add flavor,flavor,flavor,VERB,USA
tampon,retain liquid,retain,retain,NOUN,USA
tampon,retain liquid,liquid,liquid,AUX,USA
tampon,plug ,plug,plug,VERB,USA
supervisor,in charge,charge,charge,NOUN,USA
postcard,send,send,send,VERB,USA
postcard,mail,mail,mail,VERB,USA
sketch,drawing,drawing,drawe,VERB,USA
Wheelchair,aid handicap,aid,aid,VERB,USA
Wheelchair,aid handicap,handicap,handicap,NOUN,USA
lozenge,suck,suck,suck,VERB,USA
lozenge,chew,chew,chew,VERB,USA
starch,thicken,thicken,thicken,VERB,USA
