Username,Stimuli.Cue,affordance_parsed,word,lemma,POS,Source
10117172LL,kid,happiness,happiness,warm,VERB,USM
10117172LL,feline,cat,cat,cat,NOUN,USM
10117172LL,doorknob,open,open,open,VERB,USM
10117172LL,headphones,music,music,music,NOUN,USM
10117172LL,bubble,pop,pop,pop,VERB,USM
10117172LL,memorabilia,memorize,memorize,memorize,VERB,USM
10117172LL,parka,eat,eat,eat,VERB,USM
10117172LL,mincemeat,feed,feed,feed,VERB,USM
10117172LL,chapel,pray,pray,pray,VERB,USM
10117172LL,wastebasket,away,away,away,ADV,USM
10117172LL,washerwoman,clean,clean,clean,VERB,USM
10117172LL,rum,drink,drink,drink,VERB,USM
10117172LL,kitten,save,save,save,VERB,USM
10117172LL,nutshell,crack,crack,crack,VERB,USM
10117172LL,jacket,put on,put,wear,VERB,USM
10117172LL,sleigh,ride,ride,ride,VERB,USM
10117172LL,groom,bride,bride,bride,NOUN,USM
10117172LL,leech,take off,take,remove,VERB,USM
10117172LL,wart,fall off,fall,fall,VERB,USM
10117172LL,caddy,catch,catch,catch,VERB,USM
10117172LL,drill,a hole,hole,hole,VERB,USM
10117172LL,fingerboard,ride,ride,ride,VERB,USM
10117172LL,handbook,read,read,read,VERB,USM
10117172LL,spice,food,food,food,NOUN,USM
10117172LL,frame,open,open,open,VERB,USM
10117172LL,gearbox,use,use,use,AUX,USM
10117172LL,gingersnap,eat,eat,eat,VERB,USM
10117172LL,aftershave,use,use,use,AUX,USM
10117172LL,colander,smell,smell,smell,VERB,USM
10117172LL,bookseller,sell,sell,sell,VERB,USM
10128215BC,raft,float,float,float,VERB,USM
10128215BC,raft,steer,steer,steer,VERB,USM
10128215BC,vulva,please,please,please,VERB,USM
10128215BC,cookie,eat,eat,eat,VERB,USM
10128215BC,cookie,give,give,give,VERB,USM
10128215BC,couch,sit,sit,sit,VERB,USM
10128215BC,couch,lounge,lounge,lounge,VERB,USM
10128215BC,couch,sleep,sleep,sleep,VERB,USM
10128215BC,goose,pet,pet,pet,NOUN,USM
10128215BC,woodcutter,use,use,use,AUX,USM
10128215BC,woodcutter,cut,cut,cut,VERB,USM
10128215BC,bagpipes,play,play,play,VERB,USM
10128215BC,bagpipes,listen,listen,listen,VERB,USM
10128215BC,bagpipes,see,see,see,VERB,USM
10128215BC,letterbox,place,place,place,VERB,USM
10128215BC,letterbox,opem,open,open,VERB,USM
10128215BC,silkworm,watch,watch,watch,VERB,USM
10128215BC,tear,cry,cry,cry,VERB,USM
10128215BC,tear,wipe,wipe,wipe,VERB,USM
10128215BC,kitchen,use,use,use,AUX,USM
10128215BC,kitchen,clean,clean,clean,ADJ,USM
10128215BC,backpack,wear,wear,wear,VERB,USM
