Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6461114704341e654e5c518e,597a2ec999bd880001771cb3,APPROVED,2023-05-14T16:50:21.756000Z,2023-05-14T17:06:58.007000Z,2023-05-14T17:06:58.484000Z,2023-05-14T17:06:58.419789Z,997,C14GZM6A,364,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,Full-Time
6461115ef21a91aa87006cca,5de60b4085529d580ced0bf1,APPROVED,2023-05-14T16:50:49.955000Z,2023-05-14T17:03:58.120000Z,2023-05-14T17:03:58.802000Z,2023-05-14T17:03:58.744562Z,789,C14GZM6A,82,28,Female,Asian,Saudi Arabia,United States,United States,English,Yes,DATA_EXPIRED
646112055cd277f93f080852,61105c6c72b1d0193eaaacf5,APPROVED,2023-05-14T16:53:31.789000Z,2023-05-14T17:03:21.050000Z,2023-05-14T17:03:21.532000Z,2023-05-14T17:03:21.461713Z,590,C14GZM6A,346,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Part-Time
646112463096c2492a157be9,60b296b907e5c81c0ea774fb,APPROVED,2023-05-14T16:54:51.053000Z,2023-05-14T17:13:26.895000Z,2023-05-14T17:13:27.421000Z,2023-05-14T17:13:27.603629Z,1116,C14GZM6A,641,47,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6461125e4f3c80181520fd97,5b0b08941e55760001b94b98,APPROVED,2023-05-14T16:55:00.413000Z,2023-05-14T17:19:04.871000Z,2023-05-14T17:19:05.327000Z,2023-05-14T17:19:05.267582Z,1445,C14GZM6A,311,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Other
646112b3ad300fffb902c879,5b95a66ba2980c0001c481a6,APPROVED,2023-05-14T16:56:19.157000Z,2023-05-14T17:38:34.398000Z,2023-05-14T17:38:34.871000Z,2023-05-14T17:38:34.799479Z,2536,C14GZM6A,785,25,Male,White,Ireland,United Kingdom,Ireland,English,No,Full-Time
646112ec94150949d1c1ad83,63d7cc4eb8da8c54d07bf822,APPROVED,2023-05-14T16:57:26.715000Z,2023-05-14T17:09:13.856000Z,2023-05-14T17:09:14.304000Z,2023-05-14T17:09:14.242252Z,708,C14GZM6A,4,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,DATA_EXPIRED
646112fae9f8d8d0dc9e7e47,571a82d06a1c6300094c6a19,APPROVED,2023-05-14T16:58:10.376000Z,2023-05-14T17:43:37.073000Z,2023-05-14T17:43:37.579000Z,2023-05-14T17:43:37.492703Z,2727,C14GZM6A,841,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6461131e15a703d0115c6ab3,5516e759fdf99b17c37119d5,APPROVED,2023-05-14T16:58:11.220000Z,2023-05-14T17:05:56.821000Z,2023-05-14T17:05:57.332000Z,2023-05-14T17:05:57.266938Z,466,C14GZM6A,623,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
646113352b30b73e7ee14c38,5cd31d79ad473b00152ea71c,APPROVED,2023-05-14T16:58:44.081000Z,2023-05-14T17:29:04.113000Z,2023-05-14T17:29:04.642000Z,2023-05-14T17:29:04.580491Z,1821,C14GZM6A,191,25,Male,Asian,India,United Kingdom,India,English,DATA_EXPIRED,DATA_EXPIRED
