Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63dacd58beb93ce7414664a2,63d7a7c2e9bdb20fe10bf652,APPROVED,2023-02-01T20:42:23.754000Z,2023-02-01T20:52:45.836000Z,2023-02-01T20:52:46.261000Z,2023-02-01T20:52:46.196531Z,623,C14GZM6A,0,40,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
63dacd9ea6b0254d45bfa60f,60b346569670ffa9c825751d,APPROVED,2023-02-01T20:37:50.621000Z,2023-02-01T20:52:42.030000Z,2023-02-01T20:52:44.902000Z,2023-02-01T20:52:44.839951Z,892,C14GZM6A,325,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63dace5b8c4d92f6cfce7180,55b770e3fdf99b0416ce53da,RETURNED,2023-02-01T20:41:07.170000Z,,,2024-02-23T16:40:51.147427Z,,,555,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63dace71107e1fe1a8557a83,5eb689102f6b360162363e02,APPROVED,2023-02-01T20:41:37.798000Z,2023-02-01T20:56:19.418000Z,2023-02-01T20:56:19.896000Z,2023-02-01T20:56:19.843255Z,882,C14GZM6A,67,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63dace74c1626dc60571fdba,5a986ad11eda4100013655a1,RETURNED,2023-02-01T20:41:28.858000Z,,,2024-02-23T16:40:51.147250Z,,,691,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63dacee6d75678e52d5edf5c,5d49ac72c23d930001dd9c36,APPROVED,2023-02-01T20:43:23.175000Z,2023-02-01T21:13:03.942000Z,2023-02-01T21:14:10.862000Z,2023-02-01T21:13:04.511638Z,1781,https://app.prolific.co/submissions/complete?cc=C14GZM6A,328,61,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63dacf67c571925d8ea790b4,63d79f5acb27df24ca5787e3,RETURNED,2023-02-01T20:46:17.416000Z,,,2024-02-23T16:40:51.151351Z,,,868,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63dacfdc911b80dfe0d309c4,63cef3094a9d10db29a077f7,APPROVED,2023-02-01T20:48:04.110000Z,2023-02-01T20:57:21.064000Z,2023-02-01T20:57:22.495000Z,2023-02-01T20:57:22.424895Z,557,C14GZM6A,0,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
63dad6466a07d147a5d44c70,604c00d2b7b5f4d3e08b067f,APPROVED,2023-02-01T21:14:48.442000Z,2023-02-01T21:30:34.328000Z,2023-02-01T21:30:34.805000Z,2023-02-01T21:30:34.752253Z,946,C14GZM6A,667,33,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
63dad648d0c4b50181511f87,607071f1035f1d4ecb830e21,APPROVED,2023-02-01T21:15:03.873000Z,2023-02-01T21:31:49.054000Z,2023-02-01T21:31:49.501000Z,2023-02-01T21:31:49.429441Z,1006,C14GZM6A,212,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
