Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64bfdf7ab2799f79f7c74212,5a50e16cf6c5170001947461,APPROVED,2023-07-25T14:43:15.453000Z,2023-07-25T14:57:47.285000Z,2023-07-25T14:58:05.948000Z,2023-07-25T14:58:22.071890Z,872,C14GZM6A,263,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64bfdfdabdc2a3a86715d7e5,64136a99292ec1c92b9c39ad,REJECTED,2023-07-25T14:44:44.112000Z,2023-07-25T14:45:15.876000Z,2023-07-25T15:04:33.418000Z,2024-02-23T16:37:15.667351Z,32,NOCODE,136,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64bfdffc623494b502ae3ba3,55cf5cc434e9060005e56c39,APPROVED,2023-07-25T14:45:38.373000Z,2023-07-25T15:03:13.702000Z,2023-07-25T15:03:14.262000Z,2023-07-25T15:03:15.606422Z,1056,C14GZM6A,2034,62,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
64bfe01052b8b3b8a1c6dfe0,60e9bf5e0f34a7240c9955a8,APPROVED,2023-07-25T14:45:38.121000Z,2023-07-25T14:55:52.077000Z,2023-07-25T14:56:12.474000Z,2023-07-25T14:56:22.564404Z,614,C14GZM6A,451,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64bfe01e1e5454b9fe0913a9,575d94abef120200067e5e5a,APPROVED,2023-07-25T14:45:53.449000Z,2023-07-25T15:04:00.804000Z,2023-07-25T15:04:01.997000Z,2023-07-25T15:04:01.924395Z,1088,C14GZM6A,1164,51,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64bfe4a2cf4e56bc5c28a9f7,5d77eb3007e8770001acdef8,APPROVED,2023-07-25T15:05:13.095000Z,2023-07-25T15:12:26.059000Z,2023-07-25T15:12:26.699000Z,2023-07-25T15:12:26.636421Z,433,C14GZM6A,540,25,Male,White,Canada,Canada,Canada,English,Yes,Due to start a new job within the next month
64bfe4a4476c0cdf1a9abec8,59edc2c816ecc200016ff9cc,APPROVED,2023-07-25T15:05:10.239000Z,2023-07-25T15:15:29.996000Z,2023-07-25T15:15:30.529000Z,2023-07-25T15:15:30.464412Z,620,C14GZM6A,486,28,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
64bfe4a79ada39f3404c020c,5cd2f861ad27b40016acd64e,APPROVED,2023-07-25T15:05:15.032000Z,2023-07-25T15:22:28.814000Z,2023-07-25T15:22:29.593000Z,2023-07-25T15:22:29.544153Z,1034,C14GZM6A,663,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64bfe4aa7371443ad98482f4,5a11b458ab721b0001ef8884,APPROVED,2023-07-25T15:05:20.213000Z,2023-07-25T15:16:31.520000Z,2023-07-25T15:16:36.158000Z,2023-07-25T15:16:36.891279Z,672,C14GZM6A,1178,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64bfe4abf60d872097aea67b,6154ea62a48afeb4f2527582,APPROVED,2023-07-25T15:05:20.527000Z,2023-07-25T15:21:48.961000Z,2023-07-25T15:21:50.621000Z,2023-07-25T15:21:50.546842Z,989,C14GZM6A,599,22,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
64bfe4adfc7cc4c007f79ec6,611ffe84a8214760847fc4de,APPROVED,2023-07-25T15:05:21.292000Z,2023-07-25T15:19:03.365000Z,2023-07-25T15:19:03.961000Z,2023-07-25T15:19:03.884515Z,823,C14GZM6A,841,36,Male,White,Canada,Canada,Canada,English,No,Full-Time
64bfe9b9dd9079d475f2134e,5f66cd05ac166d1a77c917af,TIMED-OUT,2023-07-25T15:26:49.177000Z,,,2024-02-23T16:37:15.670799Z,18407427,,1369,27,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64bfe9bfe208d732b7e89cbe,61728eb7ccdcd56534a1c7ae,APPROVED,2023-07-25T15:26:57.376000Z,2023-07-25T15:43:54.931000Z,2023-07-25T15:43:56.260000Z,2023-07-25T15:43:56.429580Z,1018,C14GZM6A,391,34,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64bfe9c4b30201128baf0907,63468b3bd07050877a6beb11,APPROVED,2023-07-25T15:27:08.338000Z,2023-07-25T15:36:34.406000Z,2023-07-25T16:53:12.243000Z,2023-07-25T15:37:01.190385Z,567,NOCODE,415,64,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64bfe9dc45266a40f51ccabc,5ebfabc7676c2502837188cf,APPROVED,2023-07-25T15:27:26.755000Z,2023-07-25T15:54:04.553000Z,2023-07-25T15:54:05.159000Z,2023-07-25T15:54:05.088994Z,1598,C14GZM6A,1134,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
