Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64bacb8ccc260e7b477e406b,5dcbf42ed210e48942221d08,RETURNED,2023-07-21T18:26:44.187000Z,,,2024-02-23T16:36:54.817760Z,,,128,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64bacc33bdd1008f7a6d42d6,63ec09ac720eb204a9522771,APPROVED,2023-07-21T18:19:36.001000Z,2023-07-21T18:29:13.340000Z,2023-07-21T18:29:13.900000Z,2023-07-21T18:29:13.844109Z,578,C14GZM6A,17,31,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64baccbcd48dd8152fb7d2c2,60782c4efacc881eec2f696d,APPROVED,2023-07-21T18:21:52.802000Z,2023-07-21T18:28:37.433000Z,2023-07-21T18:28:37.989000Z,2023-07-21T18:28:41.326589Z,405,C14GZM6A,215,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64baccc94de91aed37628db3,5fd663588215d7567e027d5b,APPROVED,2023-07-21T18:22:05.643000Z,2023-07-21T18:41:21.060000Z,2023-07-21T18:41:21.648000Z,2023-07-21T18:41:21.572112Z,1156,C14GZM6A,111,52,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64bacce41d8957db11ea9911,5edbb0a767bf0083cc63bd5c,APPROVED,2023-07-21T18:22:34.925000Z,2023-07-21T18:32:31.523000Z,2023-07-21T18:32:32.412000Z,2023-07-21T18:32:32.348700Z,597,C14GZM6A,59,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64baccf38340b1f8229a4d52,5adc532809eae2000112bfb7,APPROVED,2023-07-21T18:22:43.571000Z,2023-07-21T18:50:18.976000Z,2023-07-21T18:50:19.617000Z,2023-07-21T18:50:19.546711Z,1656,C14GZM6A,295,26,Male,White,Canada,Canada,Greece,English,No,Other
64bacfa6db02474b170a2a4b,5eebb8b7011d13119025dcf0,RETURNED,2023-07-21T18:34:16.904000Z,,,2024-02-23T16:36:54.816594Z,,,900,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64bacfac98f5d38ed9091151,55b0ecccfdf99b2116e4123f,APPROVED,2023-07-21T18:34:24.522000Z,2023-07-21T18:49:56.871000Z,2023-07-21T18:49:57.749000Z,2023-07-21T18:49:57.683393Z,933,C14GZM6A,1833,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
64bacfc1401877a90ce69919,62c8945a3d4a6825d4996a2f,APPROVED,2023-07-21T18:35:58.902000Z,2023-07-21T19:04:05.171000Z,2023-07-21T19:04:05.797000Z,2023-07-21T19:04:05.733831Z,1687,C14GZM6A,120,39,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64bacfcf2e8bfb47e3a673c0,58df90cecc6d9800018c5d58,APPROVED,2023-07-21T18:34:58.923000Z,2023-07-21T18:51:02.139000Z,2023-07-21T18:51:02.686000Z,2023-07-21T18:51:03.252841Z,964,C14GZM6A,1575,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64bacfd1d96c7228c68a562c,6460acda8cb3ecc66d20fd5e,APPROVED,2023-07-21T18:35:06.236000Z,2023-07-21T18:53:32.750000Z,2023-07-21T19:08:37.537000Z,2023-07-21T18:53:34.855192Z,1107,NOCODE,75,53,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64bad0dc996e734d7e183f80,63d95313b31ba96b668888e2,APPROVED,2023-07-21T18:39:27.829000Z,2023-07-21T18:52:56.880000Z,2023-07-21T18:52:57.582000Z,2023-07-21T18:52:57.503988Z,810,C14GZM6A,162,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64bad3b68f995da2686d67b4,6413583674dc07fa392a4785,APPROVED,2023-07-21T18:51:38.450000Z,2023-07-21T19:01:28.942000Z,2023-07-21T19:01:30.981000Z,2023-07-21T19:01:30.911765Z,591,C14GZM6A,72,35,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64bad3b761c69f363b2f8a9d,5f8b3e6c7c5ba90f8e59fa4c,APPROVED,2023-07-21T18:52:45.267000Z,2023-07-21T19:16:03.574000Z,2023-07-21T19:16:04.264000Z,2023-07-21T19:16:04.196345Z,1399,C14GZM6A,75,22,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
64bad3bf456fd8dc41b243a5,5d04f91d0b54cc0017dad1b7,APPROVED,2023-07-21T18:52:53.430000Z,2023-07-21T19:10:21.441000Z,2023-07-21T19:10:22.200000Z,2023-07-21T19:10:22.137115Z,1049,C14GZM6A,294,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
64bad3bf4a7254a5d07fff15,5c99d104490924000111bfcc,APPROVED,2023-07-21T18:51:55.052000Z,2023-07-21T19:14:11.503000Z,2023-07-21T19:14:12.248000Z,2023-07-21T19:14:12.181129Z,1337,C14GZM6A,984,43,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64bad3c64452d8d1697ee741,5e8381eccec7700be5fda040,APPROVED,2023-07-21T18:52:01.352000Z,2023-07-21T19:06:41.438000Z,2023-07-21T19:06:42.547000Z,2023-07-21T19:06:42.479239Z,881,C14GZM6A,337,47,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64bad8f22b4b8e4484e317d8,62d9be690206e1b4f007eacb,APPROVED,2023-07-21T19:14:01.649000Z,2023-07-21T19:39:40.643000Z,2023-07-21T19:39:41.998000Z,2023-07-21T19:39:41.986810Z,1539,C14GZM6A,737,48,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64bad8f3d5a1990325b7d2df,5bec91e66cb00e00015b8a7b,APPROVED,2023-07-21T19:14:04.195000Z,2023-07-21T19:38:27.416000Z,2023-07-21T19:38:28.204000Z,2023-07-21T19:38:29.532912Z,1464,C14GZM6A,1268,34,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64bad8f59f1c9a5921fa4e0a,5d651665cad1a9001839839d,APPROVED,2023-07-21T19:14:02.554000Z,2023-07-21T19:22:45.226000Z,2023-07-21T19:22:45.794000Z,2023-07-21T19:22:45.730168Z,523,C14GZM6A,596,36,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
