Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
64ba942fb217810d96318976,5e5667b3e5cbf4018c99991a,RETURNED,2023-07-21T14:20:41.774000Z,,,2024-02-23T16:36:38.069278Z,,,614,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64ba9434389f367034269fa7,5e21a6ee80e02e4722a3233f,APPROVED,2023-07-21T14:20:48.374000Z,2023-07-21T14:41:29.681000Z,2023-07-21T14:41:30.231000Z,2023-07-21T14:41:30.167293Z,1242,C14GZM6A,1127,27,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ba9465f0128b5911cbcc61,6123cab48440a3b6bd99effc,APPROVED,2023-07-21T14:22:12.691000Z,2023-07-21T14:38:06.058000Z,2023-07-21T14:38:06.615000Z,2023-07-21T14:38:06.553092Z,954,C14GZM6A,538,26,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
64ba948fcc26a9a6c6a673d6,5deae12ff4c5e12050a1acb5,APPROVED,2023-07-21T14:22:13.251000Z,2023-07-21T14:46:12.407000Z,2023-07-21T14:47:01.093000Z,2023-07-21T14:46:26.570876Z,1440,https://app.prolific.co/submissions/complete?cc=C14GZM6A,191,48,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
64ba94be8170fdedb7257c04,5d4fedfac088850017ec5bff,APPROVED,2023-07-21T14:31:15.180000Z,2023-07-21T14:51:17.957000Z,2023-07-21T14:51:18.728000Z,2023-07-21T14:51:18.665144Z,1203,C14GZM6A,586,28,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ba954e7d03e625fae698f3,63d79bf10d736e870e993b78,APPROVED,2023-07-21T14:25:27.702000Z,2023-07-21T14:30:12.981000Z,2023-07-21T14:31:09.615000Z,2023-07-21T14:31:50.653450Z,286,C14GZM6A,19,24,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
64ba9ad207ed09dd51229565,5eea5e42b5656515491be1b4,APPROVED,2023-07-21T14:48:58.979000Z,2023-07-21T15:24:11.722000Z,2023-07-21T15:24:16.101000Z,2023-07-21T15:24:17.422006Z,2113,C14GZM6A,49,25,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ba9ad8a9c0c6c2c5ea9905,6483605a0d0e43c659c92801,APPROVED,2023-07-21T14:49:00.910000Z,2023-07-21T15:06:25.893000Z,2023-07-21T15:06:27.290000Z,2023-07-21T15:06:27.249989Z,1045,C14GZM6A,7,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
64ba9ad8f96785aa072a7d08,5b72cb4e9e2e420001c005ac,RETURNED,2023-07-21T14:49:04.856000Z,,,2024-02-23T16:36:38.071337Z,,,548,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64ba9adf8f4c7652520911b1,63ee09a8b6db0d49e7c72de4,RETURNED,2023-07-21T14:49:28.235000Z,,,2024-02-23T16:36:38.071017Z,,,402,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64ba9ae2274bbeb73a94467a,5ff9c5d0dcae1e2fa872a40b,APPROVED,2023-07-21T14:49:11.390000Z,2023-07-21T14:58:41.339000Z,2023-07-21T14:58:42.106000Z,2023-07-21T14:58:42.033083Z,570,C14GZM6A,63,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64ba9af8dd84db8109d8f926,5d7eae44272871001bf42e21,APPROVED,2023-07-21T14:49:32.446000Z,2023-07-21T15:00:41.884000Z,2023-07-21T15:00:44.564000Z,2023-07-21T15:00:45.568722Z,670,C14GZM6A,297,30,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
64ba9b9dac3c05b4b2257c13,5c7093155ba5060001ce5f1a,APPROVED,2023-07-21T14:52:34.213000Z,2023-07-21T15:10:00.913000Z,2023-07-21T15:10:01.430000Z,2023-07-21T15:10:01.360872Z,1047,C14GZM6A,1052,37,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
