Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
63bc46b9b5cd9639dca7cfeb,5cead73185712e00190bcf17,RETURNED,2023-01-09T16:54:30.002000Z,,,2024-02-23T16:39:20.555781Z,,,471,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63bc46edad221e8ba4ce5a1f,597f27b630b1d90001f5f42b,APPROVED,2023-01-09T16:55:14.038000Z,2023-01-09T17:09:32.358000Z,2023-01-09T17:09:33.582000Z,2023-01-09T17:09:33.490144Z,859,C14GZM6A,990,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63bc4711591a14baf3a6feaa,5f847dd8347e210d1acd5802,RETURNED,2023-01-09T16:56:10.346000Z,,,2024-02-23T16:39:20.556339Z,,,947,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63bc4746ced54c2c885fe474,56a8bccb7f24720006942472,APPROVED,2023-01-09T16:56:42.282000Z,2023-01-09T17:23:38.639000Z,2023-01-09T17:23:39.125000Z,2023-01-09T17:23:39.053305Z,1617,C14GZM6A,783,56,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
63bc47755a9af2170546b0b6,63468e200f7743e3b654373c,APPROVED,2023-01-09T16:57:28.457000Z,2023-01-09T17:33:26.829000Z,2023-01-09T17:33:27.274000Z,2023-01-09T17:33:27.213232Z,2159,C14GZM6A,1,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,DATA_EXPIRED
63bc478bbff7f26d9c55a903,6150a8f964702cace3a58ec6,APPROVED,2023-01-09T16:57:47.713000Z,2023-01-09T17:24:07.364000Z,2023-01-09T17:24:07.774000Z,2023-01-09T17:24:07.713241Z,1580,C14GZM6A,18,21,Male,Asian,Canada,Canada,Canada,English,Yes,Full-Time
63bc56afbef5d6f3dc092642,606dfa7094567e608e95135f,APPROVED,2023-01-09T18:02:26.933000Z,2023-01-09T18:11:51.759000Z,2023-01-09T18:11:52.442000Z,2023-01-09T18:11:52.493549Z,565,C14GZM6A,473,40,Female,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
63bc59e2f29da6a5816cf375,5f9b77d9ecb7a43adeb1a1e6,APPROVED,2023-01-09T18:16:04.854000Z,2023-01-09T18:36:09.698000Z,2023-01-09T18:36:10.194000Z,2023-01-09T18:36:10.111828Z,1205,C14GZM6A,674,30,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
63bc5a10fbdbe9f86ac93780,61549a2caa92d84f392000e9,RETURNED,2023-01-09T18:16:51.742000Z,,,2024-02-23T16:39:20.560039Z,,,2784,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63bc5a668f82c17ad86e0e1e,5ee3a34e16ad19048aef74f6,RETURNED,2023-01-09T18:18:16.382000Z,,,2024-02-23T16:39:20.572245Z,,,4663,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63bc5a668bc7e567985ebacc,5cf62554ba314a001b11b8c4,APPROVED,2023-01-09T18:18:19.011000Z,2023-01-09T18:31:35.085000Z,2023-01-09T18:31:35.481000Z,2023-01-09T18:31:35.417250Z,797,C14GZM6A,201,50,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
63bc5a6776cdfc0504d4e804,5dd05d80b2204f1487f7812c,APPROVED,2023-01-09T18:18:25.392000Z,2023-01-09T18:48:17.254000Z,2023-01-09T18:48:18.408000Z,2023-01-09T18:48:18.346163Z,1792,C14GZM6A,1402,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking)
63bc5a6886aa826cf128243e,554bfda7fdf99b14da73ce54,RETURNED,2023-01-09T18:18:16.218000Z,,,2024-02-23T16:39:20.562461Z,,,1047,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
