Username,Trial,Condition.Number,Condition.Notes,Stimuli.Cue,Procedure.Item,Procedure.Max.Time,Procedure.Min.Time,Response.RT,Response.RTfirst,Response.RTlast,affordance,affordance_corrected,affordance_lemma,POS,Lemma
10012878_CL,11,2,List 2,undergarment,59,-,-,46282,2552,29816,wearing,wearing,wear,VBG,wear
10012878_CL,11,2,List 2,undergarment,59,-,-,46282,2552,29816,throwing,throwing,throw,VBG,throw
10012878_CL,11,2,List 2,undergarment,59,-,-,46282,2552,29816,fashion,fashion,fashion,NN,fashion
10012878_CL,11,2,List 2,undergarment,59,-,-,46282,2552,29816,coverage,coverage,coverage,NN,coverage
10012878_CL,11,2,List 2,undergarment,59,-,-,46282,2552,29816,attention,attention,attention,NN,attention
10012878_CL,12,2,List 2,assemblyman,60,-,-,36999,3300,22327,construction,construction,construction,NN,construction
10012878_CL,12,2,List 2,assemblyman,60,-,-,36999,3300,22327,assistance,assistance,assistance,NN,assistance
10012878_CL,12,2,List 2,assemblyman,60,-,-,36999,3300,22327,work,work,work,NN,work
10012878_CL,13,2,List 2,trap,58,-,-,26276,5017,10520,opening,opening,open,VBG,open
10012878_CL,13,2,List 2,trap,58,-,-,26276,5017,10520,closing,closing,close,VBG,close
10012878_CL,13,2,List 2,trap,58,-,-,26276,5017,10520,tricking,tricking,trick,VBG,trick
10012878_CL,14,2,List 2,lettuce,34,-,-,24155,2118,22202,salad,salad,salad,JJ,salad
10012878_CL,14,2,List 2,lettuce,34,-,-,24155,2118,22202,food,food,food,NN,food
10012878_CL,14,2,List 2,lettuce,34,-,-,24155,2118,22202,cooking,cooking,cook,VBG,cook
10012878_CL,14,2,List 2,lettuce,34,-,-,24155,2118,22202,feed,feed,fee,NN,feed
10012878_CL,14,2,List 2,lettuce,34,-,-,24155,2118,22202,tossing,tossing,toss,VBG,toss
10012878_CL,15,2,List 2,courtyard,32,-,-,45778,2611,11453,viewing,viewing,view,VBG,view
10012878_CL,15,2,List 2,courtyard,32,-,-,45778,2611,11453,relaxing,relaxing,relax,VBG,relax
10012878_CL,16,2,List 2,godmother,47,-,-,15972,1974,14738,talking,talking,talk,VBG,talk
10012878_CL,16,2,List 2,godmother,47,-,-,15972,1974,14738,asking,asking,ask,VBG,ask
10012878_CL,16,2,List 2,godmother,47,-,-,15972,1974,14738,cooking,cooking,cook,VBG,cook
10012878_CL,16,2,List 2,godmother,47,-,-,15972,1974,14738,parenting,parenting,parenting,VBG,parent
10012878_CL,17,2,List 2,skittles,39,-,-,20662,2281,19370,eating,eating,eat,VBG,eat
10012878_CL,17,2,List 2,skittles,39,-,-,20662,2281,19370,art,art,art,JJ,art
10012878_CL,17,2,List 2,skittles,39,-,-,20662,2281,19370,satisfaction,satisfaction,satisfaction,NN,satisfaction
10012878_CL,18,2,List 2,mice,48,-,-,27840,1581,26627,experiments,experiments,experiment,NNS,experiment
10012878_CL,18,2,List 2,mice,48,-,-,27840,1581,26627,feed,feed,fee,VBP,fee
10012878_CL,18,2,List 2,mice,48,-,-,27840,1581,26627,entertainment,entertainment,entertainment,NN,entertainment
10012878_CL,19,2,List 2,barman,40,-,-,11157,1690,10027,drinks,drinks,drink,NNS,drink
10012878_CL,19,2,List 2,barman,40,-,-,11157,1690,10027,mixing,mixing,mix,VBG,mix
10012878_CL,19,2,List 2,barman,40,-,-,11157,1690,10027,conversation,conversation,conversation,NN,conversation
10012878_CL,20,2,List 2,coverall,51,-,-,17503,5015,16482,coverage,coverage,coverage,NN,coverage
10012878_CL,20,2,List 2,coverall,51,-,-,17503,5015,16482,fashion,fashion,fashion,NN,fashion
10012878_CL,20,2,List 2,coverall,51,-,-,17503,5015,16482,clothing,clothing,clothe,NN,clothing
10012878_CL,21,2,List 2,satchel,37,-,-,13891,1962,12488,fashion,fashion,fashion,NN,fashion
10012878_CL,21,2,List 2,satchel,37,-,-,13891,1962,12488,carrying,carrying,carry,VBG,carry
10012878_CL,21,2,List 2,satchel,37,-,-,13891,1962,12488,holding,holding,hold,VBG,hold
10012878_CL,22,2,List 2,goalpost,38,-,-,11187,3386,10224,scoring,scoring,score,VBG,score
10012878_CL,22,2,List 2,goalpost,38,-,-,11187,3386,10224,sports,sports,sport,NNS,sport
10012878_CL,22,2,List 2,goalpost,38,-,-,11187,3386,10224,catching,catching,catch,VBG,catch
10012878_CL,23,2,List 2,hotplate,46,-,-,17529,2273,4699,warming,warming,warm,VBG,warm
10012878_CL,23,2,List 2,hotplate,46,-,-,17529,2273,4699,food,food,food,NN,food
10012878_CL,24,2,List 2,blower,54,-,-,19770,2976,18475,blowing,blowing,blow,VBG,blow
10012878_CL,24,2,List 2,blower,54,-,-,19770,2976,18475,assistance,assistance,assistance,NN,assistance
10012878_CL,25,2,List 2,yogurt,50,-,-,10184,1620,9089,consumption,consumption,consumption,NN,consumption
10012878_CL,25,2,List 2,yogurt,50,-,-,10184,1620,9089,food,food,food,NN,food
10012878_CL,25,2,List 2,yogurt,50,-,-,10184,1620,9089,hunger,hunger,hunger,NN,hunger
10012878_CL,26,2,List 2,teabag,43,-,-,14432,1777,13346,mixing,mixing,mix,VBG,mix
10012878_CL,26,2,List 2,teabag,43,-,-,14432,1777,13346,making,making,make,VBG,make
10012878_CL,26,2,List 2,teabag,43,-,-,14432,1777,13346,tea,tea,tea,JJ,tea
10012878_CL,26,2,List 2,teabag,43,-,-,14432,1777,13346,drink,drink,drink,NN,drink
