Username,Stimuli.Cue,affordance_parsed,word,lemma,POS,Group
20302302bw,cookie,eat,eat,eat,VERB,MSU-TEXAS
20302302bw,cookie,crumbled,crumbled,crumble,VERB,MSU-TEXAS
20302302bw,cookie,thrown,thrown,throw,VERB,MSU-TEXAS
20302302bw,cookie,stepped on,stepped,step on,VERB,MSU-TEXAS
20302302bw,cookie,baked,baked,bake,VERB,MSU-TEXAS
20302302bw,cookie,frozen,frozen,freeze,VERB,MSU-TEXAS
20302302bw,cookie,refrigerated,refrigerated,refrigerate,VERB,MSU-TEXAS
20302302bw,cage,trapped,trapped,trap,VERB,MSU-TEXAS
20302302bw,cage,punishment,punishment,punish,VERB,MSU-TEXAS
20302302bw,couch,lay,lay,lay,VERB,MSU-TEXAS
20302302bw,couch,sleep,sleep,sleep,VERB,MSU-TEXAS
20302302bw,couch,sit,sit,sit,VERB,MSU-TEXAS
20302302bw,toe,stubbed,stubbed,stub,VERB,MSU-TEXAS
20302302bw,toe,walking,walking,walk,VERB,MSU-TEXAS
20302302bw,toe,running,running,run,VERB,MSU-TEXAS
20302302bw,toe,squating,skating,skate,VERB,MSU-TEXAS
20302302bw,letterbox,storage,storage,store,VERB,MSU-TEXAS
20302302bw,saltwater,weapon,weapon,weapon,VERB,MSU-TEXAS
20302302bw,saltwater,boiled,boiled,boil,VERB,MSU-TEXAS
20302302bw,saltwater,cooking pasta(when not from ocean),cooking,cook,VERB,MSU-TEXAS
20302302bw,saltwater,cooking pasta(when not from ocean),pasta,pasta,NOUN,MSU-TEXAS
20302302bw,saltwater,cooking pasta(when not from ocean),ocean,ocean,NOUN,MSU-TEXAS
20302302bw,raft,sail,sail,sail,VERB,MSU-TEXAS
20302302bw,raft,paddled,paddled,paddle,VERB,MSU-TEXAS
20302302bw,raft,building,building,build,VERB,MSU-TEXAS
20302302bw,raft,storage,storage,store,VERB,MSU-TEXAS
20302302bw,raft,float,float,float,NOUN,MSU-TEXAS
20302302bw,tray,thrown,thrown,throw,VERB,MSU-TEXAS
20302302bw,tray,spun,spun,spin,VERB,MSU-TEXAS
20302302bw,tray,weapon,weapon,weapon,VERB,MSU-TEXAS
20302302bw,tray,storage,storage,store,VERB,MSU-TEXAS
20302302bw,backpack,storage,storage,store,VERB,MSU-TEXAS
20302302bw,goggles,swimming,swimming,swimm,VERB,MSU-TEXAS
20302302bw,goggles,snowboarding,snowboarding,snowboard,VERB,MSU-TEXAS
20302302bw,goggles,driving,driving,drive,VERB,MSU-TEXAS
20302302bw,goggles,flying,flying,flie,VERB,MSU-TEXAS
20302302bw,goggles,skydiving,skydiving,skydive,VERB,MSU-TEXAS
20302302bw,kerchief,cleaning,cleaning,clean,VERB,MSU-TEXAS
20302302bw,kitchen,cooking,cooking,cook,VERB,MSU-TEXAS
20302302bw,kitchen,storage,storage,store,VERB,MSU-TEXAS
20302302bw,kitchen,baking,baking,bake,VERB,MSU-TEXAS
20302302bw,vulva,pleasure,pleasure,pleasure,VERB,MSU-TEXAS
20302302bw,splinter,removal,removal,remove,VERB,MSU-TEXAS
20302302bw,splinter,pain,pain,pain,NOUN,MSU-TEXAS
20302302bw,treadmill,exercise,exercise,exercise,VERB,MSU-TEXAS
20302302bw,treadmill,physical therapy ,physical,physical,ADJ,MSU-TEXAS
20302302bw,treadmill,physical therapy ,therapy,therapy,VERB,MSU-TEXAS
20302302bw,goose,eating,eating,eat,VERB,MSU-TEXAS
20302302bw,goose,fertilizer ,fertilizer,fertilizer,NOUN,MSU-TEXAS
20302302bw,godparent,teaching,teaching,teach,VERB,MSU-TEXAS
20302302bw,godparent,guardian ,guardian,guardian,NOUN,MSU-TEXAS
20302302bw,tear,crying,crying,cry,VERB,MSU-TEXAS
20302302bw,bagpipes,music,music,music,NOUN,MSU-TEXAS
20302302bw,bagpipes,annoy people,annoy,annoy,VERB,MSU-TEXAS
20302302bw,bagpipes,annoy people,people,people,NOUN,MSU-TEXAS
20302302bw,bagpipes,stepped on,stepped,step,VERB,MSU-TEXAS
20302302bw,silkworm,cocoons,cocoons,cocoon,NOUN,MSU-TEXAS
20302302bw,silkworm,eating,eating,eat,VERB,MSU-TEXAS
20302302bw,silkworm,clothing,clothing,clothes,NOUN,MSU-TEXAS
20302302bw,yardstick,measuring,measuring,measure,VERB,MSU-TEXAS
20302302bw,yardstick,building,building,build,VERB,MSU-TEXAS
20302302bw,yardstick,science,science,science,NOUN,MSU-TEXAS
20302302bw,barley,cooking,cooking,cook,VERB,MSU-TEXAS
20302302bw,barley,baking,baking,bake,VERB,MSU-TEXAS
20302302bw,barley,grinding,grinding,grind,VERB,MSU-TEXAS
20302302bw,enamel,remove,remove,remove,VERB,MSU-TEXAS
20302302bw,switchblade,stabbing,stabbing,stab,VERB,MSU-TEXAS
20302302bw,switchblade,cutting,cutting,cut,VERB,MSU-TEXAS
20302302bw,switchblade,slicing,slicing,slice,VERB,MSU-TEXAS
20302302bw,switchblade,fighting,fighting,fight,VERB,MSU-TEXAS
20302302bw,woodcutter,log splitting,log,log,VERB,MSU-TEXAS
20302302bw,woodcutter,log splitting,splitting,split,VERB,MSU-TEXAS
20302302bw,lantern,light,light,light,VERB,MSU-TEXAS
20302302bw,lantern,fire,fire,fire,NOUN,MSU-TEXAS
20302302bw,lubrication,sex,sex,sex,VERB,MSU-TEXAS
20302302bw,lubrication,machines,machines,machine,NOUN,MSU-TEXAS
20302302bw,steak,braising,braising,braise,VERB,MSU-TEXAS
20302302bw,steak,slicing,slicing,slice,VERB,MSU-TEXAS
20302302bw,steak,grinding,grinding,grind,VERB,MSU-TEXAS
20302302bw,steak,baking,baking,bake,VERB,MSU-TEXAS
20302302bw,steak,pan fry,pan,pan,NOUN,MSU-TEXAS
20302302bw,steak,pan fry,fry,fry,VERB,MSU-TEXAS
20302302bw,steak,grilling,grilling,grill,VERB,MSU-TEXAS
20302302bw,plaster,cast,cast,cast,VERB,MSU-TEXAS
20302302bw,plaster,building,building,build,VERB,MSU-TEXAS
20304703CW,scythe,death ,death,death,NOUN,MSU-TEXAS
20304703CW,scythe,decoration ,decoration,decorate,VERB,MSU-TEXAS
20304703CW,marshmallow,hot chocolate,hot,hot,ADJ,MSU-TEXAS
