Stimuli.Cue,affordance_parsed,word,lemma,POS,School
scarecrow,protect fields,protect,protect,VERB,UCONN
scarecrow,protect fields,fields,field,NOUN,UCONN
scarecrow,halloween decor,halloween,halloween,AUX,UCONN
scarecrow,halloween decor,decor,decorate,VERB,UCONN
wineglass,drink,drink,drink,VERB,UCONN
wineglass,centerpiece,centerpiece,centerpiece,NOUN,UCONN
cauliflower,cook,cook,cake,VERB,UCONN
cauliflower,eat,eat,eat,VERB,UCONN
cauliflower,buy,buy,buy,VERB,UCONN
cauliflower,sell,sell,sell,VERB,UCONN
cauliflower,grow,grow,grow,VERB,UCONN
pebble,throw,throw,throw,VERB,UCONN
pebble,paperweight,paperweight,paperweight,NOUN,UCONN
pebble,indoor decor,indoor,indoor,ADJ,UCONN
pebble,indoor decor,decor,decorate,VERB,UCONN
page,write,write,write,VERB,UCONN
page,draw,draw,dree,VERB,UCONN
wench,talk,talk,talk,VERB,UCONN
wench,greet,greet,greet,VERB,UCONN
sledgehammer,breaking,breaking,break,VERB,UCONN
sledgehammer,mining,mining,mine,VERB,UCONN
storybook,read,read,read,VERB,UCONN
storybook,learn,learn,learn,VERB,UCONN
firearm,defend,defend,defend,VERB,UCONN
firearm,protect,protect,protect,VERB,UCONN
firearm,kill,kill,kill,VERB,UCONN
firearm,scare,scare,scare,VERB,UCONN
parent,love,love,love,VERB,UCONN
parent,care,care,care,VERB,UCONN
parent,support,support,support,VERB,UCONN
parent,blessing,blessing,bless,VERB,UCONN
headlight,see,see,see,VERB,UCONN
headlight,visibility for others,visibility,visibility,NOUN,UCONN
headlight,visibility for others,others,other,NOUN,UCONN
headlight,safety,safety,safety,NOUN,UCONN
grandnephew,play,play,play,VERB,UCONN
grandnephew,quality time,quality,quality,NOUN,UCONN
grandnephew,quality time,time,time,NOUN,UCONN
headpiece,support jaw,support,support,VERB,UCONN
headpiece,support jaw,jaw,jaw,NOUN,UCONN
headpiece,correct bite,correct,correct,VERB,UCONN
headpiece,correct bite,bite,bite,VERB,UCONN
margarine,buy,buy,buy,VERB,UCONN
margarine,sell,sell,sell,VERB,UCONN
margarine,eat,eat,eat,VERB,UCONN
calculator,add,add,add,VERB,UCONN
calculator,subtract,subtract,subtract,VERB,UCONN
calculator,divide,divide,divide,VERB,UCONN
calculator,multiply,multiply,multiply,VERB,UCONN
dandelion,grow,grow,grow,VERB,UCONN
dandelion,decorate,decorate,decorate,VERB,UCONN
underclothes,wear,wear,wear,VERB,UCONN
underclothes,wash,wash,wash,VERB,UCONN
underclothes,buy,buy,buy,VERB,UCONN
fiancee,marry,marry,marry,VERB,UCONN
fiancee,have kids,kids,kid,NOUN,UCONN
vomit,clean,clean,clean,VERB,UCONN
vomit,see dr,see,see,VERB,UCONN
hardwood,flooring ,flooring,flooring,NOUN,UCONN
hardwood,fencing,fencing,fence,NOUN,UCONN
hamper,carring,carry,carry,VERB,UCONN
hamper,decoration,decoration,decorate,VERB,UCONN
hamper,gift giving,gift,gift,NOUN,UCONN
hamper,gift giving,giving,give,VERB,UCONN
pilot,fly,fly,fly,VERB,UCONN
pilot,work,work,work,NOUN,UCONN
trainee,learn,learn,learn,VERB,UCONN
trainee,train,train,train,VERB,UCONN
trainee,work,work,work,NOUN,UCONN
him,greet,greet,greet,VERB,UCONN
him,meet,meet,meet,VERB,UCONN
him,talk,talk,talk,VERB,UCONN
flag,wave ,wave,wave,VERB,UCONN
flag,warfare,warfare,warfare,NOUN,UCONN
flag,peace,peace,peace,NOUN,UCONN
dough,pizza,pizza,pizza,NOUN,UCONN
dough,cake,cake,cake,NOUN,UCONN
dough,bake,bake,bake,VERB,UCONN
dough,eat,eat,eat,VERB,UCONN
pepperoni,make,make,make,VERB,UCONN
pepperoni,eat sell,eat,eat,VERB,UCONN
pepperoni,eat sell,sell,sell,VERB,UCONN
pepperoni,buy,buy,buy,VERB,UCONN
chevy,buy,buy,buy,VERB,UCONN
chevy,drive,drive,drive,VERB,UCONN
chevy,sell,sell,sell,VERB,UCONN
noodle,buy,buy,buy,VERB,UCONN
noodle,cook,cook,cake,VERB,UCONN
noodle,eat,eat,eat,VERB,UCONN
sheepdog,buy,buy,buy,VERB,UCONN
sheepdog,pet,pet,pet,VERB,UCONN
sheepdog,play,play,play,VERB,UCONN
motorbike,ride,ride,ride,VERB,UCONN
motorbike,drive,drive,drive,VERB,UCONN
motorbike,park,park,park,VERB,UCONN
whisk,to cook,cook,cake,VERB,UCONN
whisk,to bake,bake,bake,VERB,UCONN
whisk,spin it,spin,spin,VERB,UCONN
ingredients,combine,combine,combine,VERB,UCONN
ingredients,cook,cook,cake,VERB,UCONN
ingredients,produce,produce,produce,VERB,UCONN
ingredients,manufacture products,manufacture,manufacture,VERB,UCONN
ingredients,manufacture products,products,product,NOUN,UCONN
metalworker,to produce metal,produce,produce,VERB,UCONN
metalworker,to produce metal,metal,metal,NOUN,UCONN
metalworker,to work,work,work,NOUN,UCONN
kindle,to read,read,read,VERB,UCONN
kindle,to study,study,study,VERB,UCONN
kindle,to write notes,write,write,VERB,UCONN
kindle,to write notes,notes,note,NOUN,UCONN
kindle,to play games,play,play,VERB,UCONN
kindle,to play games,games,game,NOUN,UCONN
kindle,to buy products,buy,buy,VERB,UCONN
kindle,to buy products,products,product,NOUN,UCONN
wig,to wear,wear,wear,VERB,UCONN
wig,to play with,play,play,VERB,UCONN
wig,to compete in competitions with,compete,compete,VERB,UCONN
wig,to compete in competitions with,competitions,competitions,NOUN,UCONN
wig,to cosplay,cosplay,cosplay,VERB,UCONN
fudge,to eat,eat,eat,VERB,UCONN
fudge,to make other products,make,make,VERB,UCONN
fudge,to make other products,products,product,NOUN,UCONN
lice,to study,study,study,VERB,UCONN
lice,to get rid of,get,get,VERB,UCONN
lice,to get rid of,rid,rid,VERB,UCONN
lice,to shower,shower,shower,VERB,UCONN
substance,to abuse,abuse,abuse,VERB,UCONN
substance,to consume,consume,consume,VERB,UCONN
substance,to combine with other substances,combine,combine,VERB,UCONN
substance,to combine with other substances,substances,substance,NOUN,UCONN
substance,to experiment,experiment,experiment,VERB,UCONN
substance,to create,create,create,VERB,UCONN
model,to photograph,photograph,photograph,VERB,UCONN
model,to stunt,stunt,stunt,NOUN,UCONN
model,to have do fashion shows,fashion,fashion,NOUN,UCONN
model,to have do fashion shows,shows,show,NOUN,UCONN
washboard,to wash,wash,wash,VERB,UCONN
washboard,to clean,clean,clean,VERB,UCONN
laundry,to clean,clean,clean,VERB,UCONN
laundry,to dry,dry,dry,VERB,UCONN
laundry,to wash,wash,wash,VERB,UCONN
moth,to kill,kill,kill,VERB,UCONN
moth,to get annoyed,get,get,VERB,UCONN
moth,to get annoyed,annoyed,annoy,VERB,UCONN
moth,to catch,catch,catch,VERB,UCONN
pottery,to create,create,create,VERB,UCONN
pottery,to view,view,view,VERB,UCONN
pottery,to put items in,put,put,VERB,UCONN
pottery,to put items in,items,item,NOUN,UCONN
mousetrap,to kill,kill,kill,VERB,UCONN
mousetrap,to trap,trap,trap,VERB,UCONN
mousetrap,to catch mice,catch,catch,VERB,UCONN
mousetrap,to catch mice,mice,mouse,NOUN,UCONN
lavatory,to use for business,use,use,VERB,UCONN
lavatory,to use for business,business,business,NOUN,UCONN
lavatory,to pee,pee,pee,VERB,UCONN
lavatory,to shower,shower,shower,VERB,UCONN
lavatory,to brush teeth,brush,brush,VERB,UCONN
lavatory,to brush teeth,teeth,tooth,NOUN,UCONN
lavatory,to dry hair,dry,dry,VERB,UCONN
lavatory,to dry hair,hair,hair,NOUN,UCONN
lavatory,to vomit,vomit,vomit,VERB,UCONN
rattle,to calm,calm,calm,VERB,UCONN
rattle,to play with,play,play,VERB,UCONN
rattle,to make music,make,make,VERB,UCONN
rattle,to make music,music,music,NOUN,UCONN
shinbone,to move body,move,move,VERB,UCONN
shinbone,to move body,body,body,NOUN,UCONN
cookhouse,to cook,cook,cake,VERB,UCONN
shotgun,to kill,kill,kill,VERB,UCONN
shotgun,to practice,practice,practice,VERB,UCONN
shotgun,to hunt,hunt,hunt,VERB,UCONN
shotgun,to protect,protect,protect,VERB,UCONN
shotgun,to shoot,shoot,shoot,VERB,UCONN
cheddar,to cook,cook,cake,VERB,UCONN
cheddar,to create products,create,create,VERB,UCONN
cheddar,to create products,products,product,NOUN,UCONN
cheddar,to combine,combine,combine,VERB,UCONN
cheddar,to eat,eat,eat,VERB,UCONN
veterinarian,to save animals,save,save,VERB,UCONN
veterinarian,to save animals,animals,animal,NOUN,UCONN
veterinarian,to diagnose disease,diagnose,diagnose,VERB,UCONN
veterinarian,to diagnose disease,disease,disease,NOUN,UCONN
veterinarian,to cure,cure,cure,VERB,UCONN
housefly,to kill,kill,kill,VERB,UCONN
housefly,to swat,swat,swat,VERB,UCONN
housefly,to get annoyed,get,get,VERB,UCONN
housefly,to get annoyed,annoyed,annoy,VERB,UCONN
doornail,to create,create,create,VERB,UCONN
doornail,to uphold,uphold,uphold,VERB,UCONN
waxwork,to wax,wax,wax,VERB,UCONN
denim,to wear,wear,wear,VERB,UCONN
denim,to sew,sew,sew,VERB,UCONN
denim,to create new products,create,create,VERB,UCONN
denim,to create new products,new,new,ADJ,UCONN
denim,to create new products,products,product,NOUN,UCONN
denim,to combine,combine,combine,VERB,UCONN
anchor,to stop movement,stop,stop,VERB,UCONN
anchor,to stop movement,movement,movement,NOUN,UCONN
anchor,to weigh something down,weigh,weigh,VERB,UCONN
anchor,to weigh something down,something,something,PRON,UCONN
vehicle,to drive,drive,drive,VERB,UCONN
vehicle,to park,park,park,VERB,UCONN
vehicle,to move,move,move,VERB,UCONN
vehicle,to travel,travel,travel,VERB,UCONN
vehicle,to find new places,find,find,VERB,UCONN
vehicle,to find new places,new,new,ADJ,UCONN
vehicle,to find new places,places,place,NOUN,UCONN
bait,fishing,fishing,fish,VERB,UCONN
bait,tasting,tasting,taste,VERB,UCONN
bait,throwing,throwing,throw,VERB,UCONN
bait,eating,eating,eat,VERB,UCONN
bait,catching,catching,catch,VERB,UCONN
bait,luring ,luring,lur,VERB,UCONN
grocery,eating ,eating,eat,VERB,UCONN
grocery,making,making,make,VERB,UCONN
grocery,throwing,throwing,throw,VERB,UCONN
grocery,buying,buying,buy,VERB,UCONN
grocery,shoving,shoving,shove,VERB,UCONN
grocery,tasting ,tasting,taste,VERB,UCONN
drum,playing,playing,play,VERB,UCONN
drum,listening,listening,listen,VERB,UCONN
drum,throwing,throwing,throw,VERB,UCONN
drum,banging,banging,bang,VERB,UCONN
drum,beating,beating,beat,VERB,UCONN
drum,hitting,hitting,hit,VERB,UCONN
drum,thumping ,thumping,thumpe,VERB,UCONN
foliage,looking at,looking,look,VERB,UCONN
foliage,grabbing,grabbing,grab,VERB,UCONN
foliage,enjoying,enjoying,enjoy,VERB,UCONN
foliage,tasting,tasting,taste,VERB,UCONN
strudel,eating,eating,eat,VERB,UCONN
strudel,throwing,throwing,throw,VERB,UCONN
strudel,breaking,breaking,break,VERB,UCONN
strudel,tasting,tasting,taste,VERB,UCONN
strudel,enjoying ,enjoying,enjoy,VERB,UCONN
shamrock,luck,luck,luck,NOUN,UCONN
shamrock,looking at,looking,look,VERB,UCONN
shamrock,enjoying,enjoying,enjoy,VERB,UCONN
shamrock,smelling,smelling,smell,VERB,UCONN
shamrock,tasting ,tasting,taste,VERB,UCONN
chain,helping,helping,help,VERB,UCONN
chain,holding,holding,hold,NOUN,UCONN
chain,throwing,throwing,throw,VERB,UCONN
chain,tying,tying,tie,VERB,UCONN
chain,decoration,decoration,decorate,VERB,UCONN
chain,wearing,wearing,wear,VERB,UCONN
earthworm,crawling,crawling,crawl,VERB,UCONN
earthworm,living,living,live,VERB,UCONN
earthworm,throwing,throwing,throw,VERB,UCONN
lamplighter,lighting,lighting,light,VERB,UCONN
lamplighter,heating,heating,heat,VERB,UCONN
lamplighter,seeing,seeing,see,VERB,UCONN
spade,cutting,cutting,cut,VERB,UCONN
spade,stabbing,stabbing,stab,VERB,UCONN
spade,slicing,slicing,slice,VERB,UCONN
whirlpool,spinning,spinning,spinning,VERB,UCONN
whirlpool,fun,fun,fun,NOUN,UCONN
whirlpool,swimming,swimming,swimm,VERB,UCONN
whirlpool,floating ,floating,float,VERB,UCONN
lifeguard,safety,safety,safety,NOUN,UCONN
lifeguard,saving,saving,save,VERB,UCONN
lifeguard,watching,watching,watch,VERB,UCONN
lifeguard,looking,looking,look,VERB,UCONN
hatchback,fixing ,fixing,fix,VERB,UCONN
lever,cranking,cranking,crank,VERB,UCONN
lever,pulling,pulling,pull,VERB,UCONN
lever,moving,moving,move,VERB,UCONN
coffin,sleeping,sleeping,sleep,VERB,UCONN
coffin,laying,laying,lay,VERB,UCONN
coffin,burying,burying,bury,VERB,UCONN
flycatcher,catching,catching,catch,VERB,UCONN
flycatcher,killing ,killing,kill,VERB,UCONN
microwave,heating,heating,heat,VERB,UCONN
microwave,cooking,cooking,cook,VERB,UCONN
microwave,making,making,make,VERB,UCONN
microwave,spinning,spinning,spinning,VERB,UCONN
microwave,timing ,timing,time,NOUN,UCONN
file,keeping,keeping,keep,VERB,UCONN
file,organizing,organizing,organize,VERB,UCONN
file,saving ,saving,save,VERB,UCONN
plank,walking,walking,walk,VERB,UCONN
plank,building,building,build,VERB,UCONN
board,using,using,use,VERB,UCONN
board,surfing,surfing,surf,VERB,UCONN
board,writing ,writing,write,VERB,UCONN
woodpile,heating,heating,heat,VERB,UCONN
drapery,blocking the sun,blocking,block,VERB,UCONN
drapery,blocking the sun,sun,sun,NOUN,UCONN
drapery,decoration ,decoration,decorate,VERB,UCONN
storehouse,buying items,buying,buy,VERB,UCONN
storehouse,buying items,items,item,NOUN,UCONN
lamp,lighting,lighting,light,VERB,UCONN
lamp,to see,see,see,VERB,UCONN
feather,tickling,tickling,tickle,VERB,UCONN
feather,sleeping ,sleeping,sleep,VERB,UCONN
toothpick,cleaning,cleaning,clean,VERB,UCONN
toothpick,chewing,chewing,chew,VERB,UCONN
