Username,Condition.Description,Stimuli.Cue,Procedure.Trial.Type,affordance_parsed,word,lemma,POS
5516e759fdf99b17c37119d5,Version 20,breasts,BOI,chicken,chicken,chicken,NOUN
5516e759fdf99b17c37119d5,Version 20,breasts,BOI,women,women,woman,NOUN
5516e759fdf99b17c37119d5,Version 20,buddy,BOI,friend,friend,friend,NOUN
5516e759fdf99b17c37119d5,Version 20,skittle,BOI,bowling,bowling,bowling,VERB
5516e759fdf99b17c37119d5,Version 20,skittle,BOI,sweet,sweet,sweet,ADJ
5516e759fdf99b17c37119d5,Version 20,pastry,BOI,sweet,sweet,sweet,ADJ
5516e759fdf99b17c37119d5,Version 20,pastry,BOI,savoury,savory,savory,NOUN
5516e759fdf99b17c37119d5,Version 20,pastry,BOI,pie,pie,pie,NOUN
5516e759fdf99b17c37119d5,Version 20,flapjack,BOI,snack,snack,snack,VERB
5516e759fdf99b17c37119d5,Version 20,flapjack,BOI,breakfast,breakfast,breakfast,NOUN
5516e759fdf99b17c37119d5,Version 20,seedling,BOI,plant,plant,plant,VERB
5516e759fdf99b17c37119d5,Version 20,seedling,BOI,grow,grow,grow,VERB
5516e759fdf99b17c37119d5,Version 20,cocoa,BOI,buns,buns,bun,NOUN
5516e759fdf99b17c37119d5,Version 20,cocoa,BOI,cake,cake,cake,NOUN
5516e759fdf99b17c37119d5,Version 20,cocoa,BOI,drink,drink,drink,VERB
5516e759fdf99b17c37119d5,Version 20,smock,BOI,dress,dress,dress,NOUN
5516e759fdf99b17c37119d5,Version 20,firewood,BOI,burn,burn,burn,VERB
5516e759fdf99b17c37119d5,Version 20,firewood,BOI,dry,dry,dry,VERB
5516e759fdf99b17c37119d5,Version 20,firewood,BOI,ornamental,ornamental,ornamental,ADJ
5516e759fdf99b17c37119d5,Version 20,craftsman,BOI,worker,worker,work,VERB
5516e759fdf99b17c37119d5,Version 20,craftsman,BOI,wood,wood,wood,NOUN
5516e759fdf99b17c37119d5,Version 20,craftsman,BOI,skill,skill,skill,NOUN
5516e759fdf99b17c37119d5,Version 20,dinner,BOI,eat,eat,eat,VERB
5516e759fdf99b17c37119d5,Version 20,dinner,BOI,meal,meal,meal,NOUN
5516e759fdf99b17c37119d5,Version 20,stepladder,BOI,short,short,short,ADJ
5516e759fdf99b17c37119d5,Version 20,stepladder,BOI,higher,higher,higher,ADJ
