spelling.sugg,spelling.errors
color,colour
an,olympics
an,han
an,gon
jeweler,jewellery
sauce,sausce
school,schhol
mixer,mixter
an,diy
climb,cllimb
an,mary
an,kitching
an,tv
back pay,backpay
