"spelling.sugg","spelling.errors"
"color","colour"
"Olympics","olympics"
"nah","han"
"hon","gon"
"jeweler","jewellery"
"sauce","sausce"
"school","schhol"
"mixer","mixter"
"yid","diy"
"climb","cllimb"
"Mary","mary"
"itching","kitching"
"TV","tv"
"back pay","backpay"
