"Username","Trial","Condition.Description","Stimuli.Cue","Procedure.Trial.Type","affordance_parsed","affordance_corrected"
"00722362Mbh",18,"Version 86","sapling","BOI","grow fruits","grow fruits"
"00722362Mbh",18,"Version 86","sapling","BOI","grow trees","grow trees"
"00722362Mbh",18,"Version 86","sapling","BOI","feed animals","feed animals"
"00722362Mbh",19,"Version 86","snowman","BOI","make memories","make memories"
"00722362Mbh",19,"Version 86","snowman","BOI","decorate","decorate"
"00722362Mbh",20,"Version 86","glitter","BOI","arts and crafts","arts and crafts"
"00722362Mbh",20,"Version 86","glitter","BOI","make a mess","make a mess"
"00722362Mbh",20,"Version 86","glitter","BOI","eat (edible)","eat (edible)"
"00722362Mbh",20,"Version 86","glitter","BOI","decorate","decorate"
"00722362Mbh",21,"Version 86","periscope","BOI","see","see"
"00722362Mbh",22,"Version 86","tapioca","BOI","drink","drink"
"00722362Mbh",22,"Version 86","tapioca","BOI","eat","eat"
"00722362Mbh",23,"Version 86","soldier","BOI","fight","fight"
"00722362Mbh",23,"Version 86","soldier","BOI","love","love"
"00722362Mbh",23,"Version 86","soldier","BOI","support","support"
"00722362Mbh",24,"Version 86","plaything","BOI","play","play"
"00722362Mbh",24,"Version 86","plaything","BOI","entertainment","entertainment"
"00722362Mbh",25,"Version 86","alcohol","BOI","fun","fun"
"00722362Mbh",25,"Version 86","alcohol","BOI","let loose","let loose"
"00722362Mbh",25,"Version 86","alcohol","BOI","forget","forget"
"00722362Mbh",26,"Version 86","wrench","BOI","fix things","fix things"
"00722362Mbh",27,"Version 86","rainfall","BOI","water supply","water supply"
"00722362Mbh",27,"Version 86","rainfall","BOI","fill things","fill things"
"00722362Mbh",27,"Version 86","rainfall","BOI","help animals","help animals"
"00722362Mbh",27,"Version 86","rainfall","BOI","help gardens","help gardens"
"00722362Mbh",27,"Version 86","rainfall","BOI","put out natural fires","put out natural fires"
"00722362Mbh",28,"Version 86","pug","BOI","cuddle","cuddle"
"00722362Mbh",28,"Version 86","pug","BOI","love","love"
"00722362Mbh",28,"Version 86","pug","BOI","entertainment","entertainment"
"00722362Mbh",29,"Version 86","searchlight","BOI","see","see"
"00722362Mbh",29,"Version 86","searchlight","BOI","save people","save people"
"00722362Mbh",30,"Version 86","barn","BOI","hold animals","hold animals"
"00722362Mbh",30,"Version 86","barn","BOI","hold feed","hold feed"
"00722362Mbh",30,"Version 86","barn","BOI","keep things dry","keep things dry"
"00722362Mbh",30,"Version 86","barn","BOI","storage","storage"
"00722362Mbh",31,"Version 86","toastmaster","BOI","entertainment","entertainment"
"00722362Mbh",32,"Version 86","tumbler","BOI","drink out of","drink out of"
"00722362Mbh",32,"Version 86","tumbler","BOI","keep liquid warm","keep liquid warm"
"00722362Mbh",32,"Version 86","tumbler","BOI","keep liquid cold","keep liquid cold"
"00722362Mbh",33,"Version 86","forearm","BOI","move","move"
"00722362Mbh",33,"Version 86","forearm","BOI","pull","pull"
"00722362Mbh",33,"Version 86","forearm","BOI","push","push"
"00722362Mbh",33,"Version 86","forearm","BOI","support","support"
"00722362Mbh",34,"Version 86","gumbo","BOI","eat","eat"
"00722362Mbh",34,"Version 86","gumbo","BOI","gather family","gather family"
"00722362Mbh",34,"Version 86","gumbo","BOI","have leftovers","have leftovers"
"00722362Mbh",35,"Version 86","fillet","BOI","eat","eat"
"00722362Mbh",35,"Version 86","fillet","BOI","use as bait","use as bait"
"00722362Mbh",35,"Version 86","fillet","BOI","cook","cook"
"00722362Mbh",36,"Version 86","football","BOI","entertainment","entertainment"
"00722362Mbh",36,"Version 86","football","BOI","stress relief","stress relief"
"00722362Mbh",36,"Version 86","football","BOI","gather family","gather family"
"00722362Mbh",36,"Version 86","football","BOI","kick","kick"
"00722362Mbh",36,"Version 86","football","BOI","throw","throw"
"00722362Mbh",37,"Version 86","dove","BOI","represent peace","represent peace"
"00722362Mbh",37,"Version 86","dove","BOI","hold","hold"
"00722362Mbh",37,"Version 86","dove","BOI","entertainment","entertainment"
"00722362Mbh",38,"Version 86","crate","BOI","hold milk","hold milk"
"00722362Mbh",38,"Version 86","crate","BOI","hold animals","hold animals"
"00722362Mbh",38,"Version 86","crate","BOI","walk on","walk on"
"00722362Mbh",39,"Version 86","riverboat","BOI","jump off of","jump off of"
"00722362Mbh",39,"Version 86","riverboat","BOI","fish off of","fish off of"
"00722362Mbh",39,"Version 86","riverboat","BOI","entertainment","entertainment"
