Username,Stimuli.Cue,affordance_parsed,word,lemma,POS,Group
55b0ecccfdf99b2116e4123f,textile,clothing,clothing,clothing,NOUN,Prolific
55b0ecccfdf99b2116e4123f,textile,bedding,bedding,bedding,VERB,Prolific
55b0ecccfdf99b2116e4123f,textile,curtains,curtains,curtain,VERB,Prolific
55b0ecccfdf99b2116e4123f,textile,sewing,sewing,sew,VERB,Prolific
55b0ecccfdf99b2116e4123f,textile,projects,projects,project,NOUN,Prolific
55b0ecccfdf99b2116e4123f,godfather,family member,family,family,NOUN,Prolific
55b0ecccfdf99b2116e4123f,godfather,family member,member,member,NOUN,Prolific
55b0ecccfdf99b2116e4123f,godfather,friend,friend,friend,VERB,Prolific
55b0ecccfdf99b2116e4123f,godfather,religious guidance,religious,religious,ADJ,Prolific
55b0ecccfdf99b2116e4123f,godfather,religious guidance,guidance,guide,VERB,Prolific
55b0ecccfdf99b2116e4123f,document,information,information,inform,VERB,Prolific
55b0ecccfdf99b2116e4123f,document,evidence,evidence,evidence,NOUN,Prolific
55b0ecccfdf99b2116e4123f,document,form,form,form,NOUN,Prolific
55b0ecccfdf99b2116e4123f,model,to look at,look,look,VERB,Prolific
55b0ecccfdf99b2116e4123f,model,studying,studying,study,VERB,Prolific
55b0ecccfdf99b2116e4123f,model,practice,practice,practice,NOUN,Prolific
55b0ecccfdf99b2116e4123f,oilcloth,wipe spills,wipe,wipe,VERB,Prolific
55b0ecccfdf99b2116e4123f,oilcloth,wipe spills,spills,spill,NOUN,Prolific
55b0ecccfdf99b2116e4123f,oilcloth,cleaning,cleaning,clean,VERB,Prolific
55b0ecccfdf99b2116e4123f,enemy,to ignore,ignore,ignore,VERB,Prolific
55b0ecccfdf99b2116e4123f,enemy,be mean to,mean,mean,VERB,Prolific
55b0ecccfdf99b2116e4123f,feather,tickle,tickle,tickle,VERB,Prolific
55b0ecccfdf99b2116e4123f,feather,art,art,art,VERB,Prolific
55b0ecccfdf99b2116e4123f,feather,play with,play,play,VERB,Prolific
55b0ecccfdf99b2116e4123f,wart,repeling people,repel,repel,VERB,Prolific
55b0ecccfdf99b2116e4123f,wart,repeling people,people,people,NOUN,Prolific
55b0ecccfdf99b2116e4123f,wart,showing people,showing,show,VERB,Prolific
55b0ecccfdf99b2116e4123f,wart,showing people,people,people,NOUN,Prolific
55b0ecccfdf99b2116e4123f,geranium,looking at,looking,look,VERB,Prolific
55b0ecccfdf99b2116e4123f,geranium,smelling,smelling,smell,VERB,Prolific
55b0ecccfdf99b2116e4123f,geranium,planting,planting,plan,VERB,Prolific
55b0ecccfdf99b2116e4123f,geranium,cutting,cutting,cut,VERB,Prolific
55b0ecccfdf99b2116e4123f,steroids,getting bigger muscles,getting,get,AUX,Prolific
55b0ecccfdf99b2116e4123f,steroids,getting bigger muscles,bigger,bigger,ADJ,Prolific
55b0ecccfdf99b2116e4123f,steroids,getting bigger muscles,muscles,muscle,NOUN,Prolific
55b0ecccfdf99b2116e4123f,steroids,for illness,illness,illness,NOUN,Prolific
55b0ecccfdf99b2116e4123f,gymnast,doing gymnastics,gymnastics,gymnastic,NOUN,Prolific
55b0ecccfdf99b2116e4123f,gymnast,competing,competing,compete,VERB,Prolific
55b0ecccfdf99b2116e4123f,gymnast,demonstrating,demonstrating,demonstrate,VERB,Prolific
55b0ecccfdf99b2116e4123f,gymnast,getting fit,getting,get,AUX,Prolific
55b0ecccfdf99b2116e4123f,gymnast,getting fit,fit,fit,VERB,Prolific
55b0ecccfdf99b2116e4123f,feline,pet,pet,pet,VERB,Prolific
55b0ecccfdf99b2116e4123f,feline,stroke,stroke,stroke,VERB,Prolific
55b0ecccfdf99b2116e4123f,feline,feed,feed,feed,VERB,Prolific
55b0ecccfdf99b2116e4123f,feline,play with,play,play,VERB,Prolific
55b0ecccfdf99b2116e4123f,cheerleader,cheering,cheering,cheer,VERB,Prolific
55b0ecccfdf99b2116e4123f,cheerleader,dancing,dancing,dance,VERB,Prolific
55b0ecccfdf99b2116e4123f,cheerleader,enteraining,entertain,entertain,VERB,Prolific
55b0ecccfdf99b2116e4123f,laboratory,doing experiments,experiments,experiment,VERB,Prolific
55b0ecccfdf99b2116e4123f,laboratory,testing drugs,testing,test,VERB,Prolific
55b0ecccfdf99b2116e4123f,laboratory,testing drugs,drugs,drug,NOUN,Prolific
55b0ecccfdf99b2116e4123f,laboratory,collecting samples,collecting,collect,VERB,Prolific
55b0ecccfdf99b2116e4123f,laboratory,collecting samples,samples,sample,NOUN,Prolific
55b0ecccfdf99b2116e4123f,laboratory,reporting,reporting,report,VERB,Prolific
55b0ecccfdf99b2116e4123f,hairline,brushing,brushing,brush,VERB,Prolific
55b0ecccfdf99b2116e4123f,hairline,styling,styling,style,VERB,Prolific
55b0ecccfdf99b2116e4123f,girlfriend,hugging,hugging,hug,VERB,Prolific
55b0ecccfdf99b2116e4123f,girlfriend,kissing,kissing,kiss,VERB,Prolific
55b0ecccfdf99b2116e4123f,girlfriend,chatting to,chatting,chat,VERB,Prolific
55b0ecccfdf99b2116e4123f,girlfriend,living with,living,live,VERB,Prolific
55b0ecccfdf99b2116e4123f,shamrock,looking at,looking,look,VERB,Prolific
55b0ecccfdf99b2116e4123f,shamrock,admiring,admiring,admir,VERB,Prolific
55b0ecccfdf99b2116e4123f,politician,representing people,representing,represent,VERB,Prolific
55b0ecccfdf99b2116e4123f,politician,representing people,people,people,NOUN,Prolific
55b0ecccfdf99b2116e4123f,politician,making changes,making,make,NOUN,Prolific
55b0ecccfdf99b2116e4123f,politician,making changes,changes,change,VERB,Prolific
55b0ecccfdf99b2116e4123f,politician,debating,debating,debate,VERB,Prolific
55b0ecccfdf99b2116e4123f,politician,working,working,work,VERB,Prolific
55b0ecccfdf99b2116e4123f,programmer,writing code,writing,write,VERB,Prolific
55b0ecccfdf99b2116e4123f,programmer,writing code,code,code,NOUN,Prolific
55b0ecccfdf99b2116e4123f,programmer,testing,testing,test,VERB,Prolific
55b0ecccfdf99b2116e4123f,programmer,designing,designing,designe,VERB,Prolific
55b0ecccfdf99b2116e4123f,footboard,putting feet on,putting,put,AUX,Prolific
55b0ecccfdf99b2116e4123f,footboard,putting feet on,feet,foot,NOUN,Prolific
55b0ecccfdf99b2116e4123f,footboard,holding up structure,holding,hold,VERB,Prolific
55b0ecccfdf99b2116e4123f,footboard,holding up structure,structure,structure,NOUN,Prolific
55b0ecccfdf99b2116e4123f,enamel,protects teeth,protects,protect,VERB,Prolific
55b0ecccfdf99b2116e4123f,enamel,protects teeth,teeth,tooth,NOUN,Prolific
55b0ecccfdf99b2116e4123f,enamel,strengthens,strengthens,strengthen,VERB,Prolific
55b0ecccfdf99b2116e4123f,newsagent,buy things from,buy,buy,VERB,Prolific
55b0ecccfdf99b2116e4123f,newsagent,buy things from,things,thing,NOUN,Prolific
55b0ecccfdf99b2116e4123f,newsagent,sell news,sell,sell,VERB,Prolific
55b0ecccfdf99b2116e4123f,newsagent,sell news,news,news,NOUN,Prolific
55b0ecccfdf99b2116e4123f,alfalfa,eating,eating,eat,VERB,Prolific
55b0ecccfdf99b2116e4123f,alfalfa,growing,growing,grow,VERB,Prolific
55b0ecccfdf99b2116e4123f,alfalfa,feeding,feeding,feed,VERB,Prolific
55b0ecccfdf99b2116e4123f,viola,playing,playing,play,VERB,Prolific
55b0ecccfdf99b2116e4123f,viola,tuning,tuning,tune,VERB,Prolific
55b0ecccfdf99b2116e4123f,viola,entertaining,entertaining,entertaine,VERB,Prolific
55b0ecccfdf99b2116e4123f,sarong,wearing,wearing,wear,VERB,Prolific
55b0ecccfdf99b2116e4123f,sarong,covering,covering,cover,VERB,Prolific
55b0ecccfdf99b2116e4123f,strongbox,storing,storing,store,VERB,Prolific
55b0ecccfdf99b2116e4123f,strongbox,carrying,carrying,carry,VERB,Prolific
55b0ecccfdf99b2116e4123f,racket,playing,playing,play,VERB,Prolific
55b0ecccfdf99b2116e4123f,racket,swinging,swinging,swing,VERB,Prolific
55b0ecccfdf99b2116e4123f,racket,holding,holding,hold,VERB,Prolific
55b0ecccfdf99b2116e4123f,capes,wearing,wearing,wear,VERB,Prolific
55b0ecccfdf99b2116e4123f,capes,keeping warm,keeping,keep,AUX,Prolific
55b0ecccfdf99b2116e4123f,capes,keeping warm,warm,warm,VERB,Prolific
55b0ecccfdf99b2116e4123f,receptionist,taking phone calls,taking,take,VERB,Prolific
55b0ecccfdf99b2116e4123f,receptionist,taking phone calls,phone,phone,NOUN,Prolific
55b0ecccfdf99b2116e4123f,receptionist,taking phone calls,calls,call,VERB,Prolific
55b0ecccfdf99b2116e4123f,receptionist,making notes,making,make,NOUN,Prolific
55b0ecccfdf99b2116e4123f,receptionist,making notes,notes,note,VERB,Prolific
55b0ecccfdf99b2116e4123f,receptionist,organising,organize,organize,VERB,Prolific
55b0ecccfdf99b2116e4123f,costumer,makimg costumes,make,make,AUX,Prolific
55b0ecccfdf99b2116e4123f,costumer,makimg costumes,costumes,costume,NOUN,Prolific
55b0ecccfdf99b2116e4123f,costumer,fitting costumes,fitting,fitte,VERB,Prolific
55b0ecccfdf99b2116e4123f,costumer,fitting costumes,costumes,costume,NOUN,Prolific
57c957626736cf0001b31f39,quarterback,watch,watch,watch,VERB,Prolific
57c957626736cf0001b31f39,quarterback,get fit,get,get,AUX,Prolific
57c957626736cf0001b31f39,quarterback,get fit,fit,fit,VERB,Prolific
57c957626736cf0001b31f39,sackcloth,wear,wear,wear,VERB,Prolific
57c957626736cf0001b31f39,sackcloth,dress,dress,dress,VERB,Prolific
57c957626736cf0001b31f39,drink,swallow,swallow,swallow,VERB,Prolific
57c957626736cf0001b31f39,drink,taste,taste,taste,VERB,Prolific
57c957626736cf0001b31f39,breastplate,riding,riding,ride,VERB,Prolific
57c957626736cf0001b31f39,breastplate,protection,protection,protect,VERB,Prolific
57c957626736cf0001b31f39,sister,chat,chat,chat,VERB,Prolific
57c957626736cf0001b31f39,sister,love,love,love,VERB,Prolific
57c957626736cf0001b31f39,sister,entrust,entrust,entrust,VERB,Prolific
57c957626736cf0001b31f39,wheelhouse,shelter,shelter,shelter,VERB,Prolific
57c957626736cf0001b31f39,wheelhouse,bridge,bridge,bridge,NOUN,Prolific
57c957626736cf0001b31f39,leather,sofa,sofa,sofa,NOUN,Prolific
57c957626736cf0001b31f39,leather,shoes,shoes,shoe,NOUN,Prolific
57c957626736cf0001b31f39,leather,belts,belts,belts,NOUN,Prolific
57c957626736cf0001b31f39,leather,bags,bags,bag,NOUN,Prolific
57c957626736cf0001b31f39,barley,cooking,cooking,cook,VERB,Prolific
57c957626736cf0001b31f39,barley,tasting,tasting,taste,VERB,Prolific
57c957626736cf0001b31f39,barley,drink,drink,drink,VERB,Prolific
57c957626736cf0001b31f39,cardigan,warmth,warmth,warm,VERB,Prolific
57c957626736cf0001b31f39,cardigan,comfort,comfort,comfort,VERB,Prolific
57c957626736cf0001b31f39,midget,showbusiness,show,show,VERB,Prolific
57c957626736cf0001b31f39,midget,showbusiness,business,business,VERB,Prolific
57c957626736cf0001b31f39,midget,friendship,friendship,friend,VERB,Prolific
57c957626736cf0001b31f39,lamplighter,lampposts,lampposts,lamppost,NOUN,Prolific
57c957626736cf0001b31f39,lamplighter,lighting,lighting,light,VERB,Prolific
57c957626736cf0001b31f39,thimble,sewing,sewing,sew,VERB,Prolific
57c957626736cf0001b31f39,thimble,protection,protection,protect,VERB,Prolific
57c957626736cf0001b31f39,gangster,fights,fights,fight,VERB,Prolific
57c957626736cf0001b31f39,gangster,wars,wars,war,VERB,Prolific
57c957626736cf0001b31f39,gangster,gangs,gangs,gang,NOUN,Prolific
57c957626736cf0001b31f39,bloke,friend,friend,friend,VERB,Prolific
57c957626736cf0001b31f39,bloke,husband,husband,husband,VERB,Prolific
57c957626736cf0001b31f39,bloke,father,father,father,VERB,Prolific
57c957626736cf0001b31f39,bloke,brother,brother,brother,VERB,Prolific
57c957626736cf0001b31f39,meadow,relaxation,relaxation,relax,VERB,Prolific
57c957626736cf0001b31f39,meadow,flowers,flowers,flower,NOUN,Prolific
57c957626736cf0001b31f39,meadow,grass,grass,grass,NOUN,Prolific
57c957626736cf0001b31f39,meadow,cows,cows,cow,NOUN,Prolific
57c957626736cf0001b31f39,employer,job,job,job,NOUN,Prolific
57c957626736cf0001b31f39,employer,wages,wages,wage,NOUN,Prolific
57c957626736cf0001b31f39,employer,security,security,security,VERB,Prolific
57c957626736cf0001b31f39,windsock,wind speed,wind,wind,NOUN,Prolific
57c957626736cf0001b31f39,windsock,wind speed,speed,speed,NOUN,Prolific
57c957626736cf0001b31f39,windsock,direction,direction,direction,VERB,Prolific
57c957626736cf0001b31f39,roosters,protection,protection,protect,NOUN,Prolific
57c957626736cf0001b31f39,roosters,alarm,alarm,alarm,VERB,Prolific
57c957626736cf0001b31f39,roosters,eggs,eggs,egg,NOUN,Prolific
57c957626736cf0001b31f39,ham,food,food,food,NOUN,Prolific
57c957626736cf0001b31f39,ham,sandwich,sandwich,sandwich,NOUN,Prolific
57c957626736cf0001b31f39,toast,food,food,food,NOUN,Prolific
57c957626736cf0001b31f39,toast,buttered,buttered,butter,VERB,Prolific
57c957626736cf0001b31f39,plaque,bacteria,bacteria,bacteria,NOUN,Prolific
57c957626736cf0001b31f39,plaque,dirt,dirt,dirt,NOUN,Prolific
57c957626736cf0001b31f39,mud,bath,bath,bathe,VERB,Prolific
57c957626736cf0001b31f39,mud,slide,slide,slide,VERB,Prolific
57c957626736cf0001b31f39,blackheads,dirt,dirt,dirt,NOUN,Prolific
57c957626736cf0001b31f39,parcel,present,present,present,VERB,Prolific
57c957626736cf0001b31f39,parcel,gifts,gifts,gift,NOUN,Prolific
57c957626736cf0001b31f39,parcel,deliveries,deliveries,deliver,VERB,Prolific
57c957626736cf0001b31f39,sax,play,play,play,VERB,Prolific
57c957626736cf0001b31f39,sax,band,band,band,NOUN,Prolific
57c957626736cf0001b31f39,sax,music,music,music,VERB,Prolific
57c957626736cf0001b31f39,wrestler,watch,watch,watch,VERB,Prolific
57c957626736cf0001b31f39,wrestler,fun,fun,fun,VERB,Prolific
57c957626736cf0001b31f39,riverboat,boating,boating,boate,VERB,Prolific
57c957626736cf0001b31f39,riverboat,enjoyment,enjoyment,enjoy,VERB,Prolific
57c957626736cf0001b31f39,riverboat,cruise,cruise,cruise,VERB,Prolific
57c957626736cf0001b31f39,girl,flower,flower,flower,NOUN,Prolific
57c957626736cf0001b31f39,girl,daughter,daughter,daughter,NOUN,Prolific
57c957626736cf0001b31f39,girl,dress,dress,dress,VERB,Prolific
57c957626736cf0001b31f39,strawberry,eat,eat,eat,VERB,Prolific
57c957626736cf0001b31f39,strawberry,jam,jam,jam,NOUN,Prolific
57c957626736cf0001b31f39,strawberry,trifle,trifle,trifle,NOUN,Prolific
587a3b7bd6df70000187510b,booze,drink,drink,drink,VERB,Prolific
587a3b7bd6df70000187510b,booze,distill,distill,distill,VERB,Prolific
587a3b7bd6df70000187510b,booze,shot,shot,shot,NOUN,Prolific
587a3b7bd6df70000187510b,booze,pour,pour,pour,VERB,Prolific
587a3b7bd6df70000187510b,booze,cook,cook,cook,VERB,Prolific
587a3b7bd6df70000187510b,fingernail,pick,pick,pick,VERB,Prolific
587a3b7bd6df70000187510b,fingernail,paint,paint,paint,VERB,Prolific
587a3b7bd6df70000187510b,fingernail,scratch,scratch,scratch,VERB,Prolific
587a3b7bd6df70000187510b,fingernail,dig,dig,dig,VERB,Prolific
587a3b7bd6df70000187510b,leotard,wear,wear,wear,VERB,Prolific
587a3b7bd6df70000187510b,leotard,prance,prance,prance,VERB,Prolific
587a3b7bd6df70000187510b,leotard,dance,dance,dance,VERB,Prolific
587a3b7bd6df70000187510b,leotard,vault,vault,vault,VERB,Prolific
587a3b7bd6df70000187510b,equipment,use,use,use,VERB,Prolific
587a3b7bd6df70000187510b,equipment,buy,buy,buy,VERB,Prolific
587a3b7bd6df70000187510b,equipment,store,store,store,VERB,Prolific
587a3b7bd6df70000187510b,ukulele,play,play,play,VERB,Prolific
587a3b7bd6df70000187510b,ukulele,string,string,str,VERB,Prolific
587a3b7bd6df70000187510b,ukulele,smash,smash,smash,VERB,Prolific
587a3b7bd6df70000187510b,ukulele,sing,sing,se,VERB,Prolific
587a3b7bd6df70000187510b,horse,ride,ride,ride,VERB,Prolific
587a3b7bd6df70000187510b,horse,groom,groom,groom,VERB,Prolific
587a3b7bd6df70000187510b,horse,eat,eat,eat,VERB,Prolific
587a3b7bd6df70000187510b,horse,cook,cook,cook,VERB,Prolific
587a3b7bd6df70000187510b,horse,slap,slap,slap,VERB,Prolific
587a3b7bd6df70000187510b,props,show,show,show,VERB,Prolific
587a3b7bd6df70000187510b,props,use,use,use,VERB,Prolific
587a3b7bd6df70000187510b,props,story,story,story,NOUN,Prolific
587a3b7bd6df70000187510b,cheesecloth,cover,cover,cover,VERB,Prolific
587a3b7bd6df70000187510b,cheesecloth,strain,strain,strain,VERB,Prolific
587a3b7bd6df70000187510b,cheesecloth,cook,cook,cook,VERB,Prolific
587a3b7bd6df70000187510b,cheesecloth,enhance,enhance,enhance,VERB,Prolific
587a3b7bd6df70000187510b,cheesecloth,present,present,present,VERB,Prolific
587a3b7bd6df70000187510b,pelvis,sit,sit,sit,VERB,Prolific
587a3b7bd6df70000187510b,pelvis,scratch,scratch,scratch,VERB,Prolific
587a3b7bd6df70000187510b,tinderbox,light,light,light,VERB,Prolific
587a3b7bd6df70000187510b,tinderbox,kindle,kindle,kindle,VERB,Prolific
587a3b7bd6df70000187510b,pimento,cook,cook,cook,VERB,Prolific
587a3b7bd6df70000187510b,pimento,season,season,season,VERB,Prolific
587a3b7bd6df70000187510b,pimento,sniff,sniff,sniff,VERB,Prolific
587a3b7bd6df70000187510b,pimento,rub,rub,rub,VERB,Prolific
587a3b7bd6df70000187510b,bedclothes,wash,wash,wash,VERB,Prolific
587a3b7bd6df70000187510b,bedclothes,sleep,sleep,sleep,VERB,Prolific
587a3b7bd6df70000187510b,bedclothes,dry,dry,dry,VERB,Prolific
587a3b7bd6df70000187510b,bedclothes,hang,hang,hang,VERB,Prolific
587a3b7bd6df70000187510b,paperweight,throw,throw,throw,VERB,Prolific
587a3b7bd6df70000187510b,paperweight,hold,hold,hold,VERB,Prolific
587a3b7bd6df70000187510b,paperweight,weigh down,weigh,weigh,VERB,Prolific
587a3b7bd6df70000187510b,meal,eat,eat,eat,VERB,Prolific
587a3b7bd6df70000187510b,meal,prepare,prepare,prepare,VERB,Prolific
587a3b7bd6df70000187510b,meal,cook,cook,cook,VERB,Prolific
587a3b7bd6df70000187510b,meal,consume,consume,consume,VERB,Prolific
587a3b7bd6df70000187510b,meal,devour,devour,devour,VERB,Prolific
587a3b7bd6df70000187510b,meal,purchase,purchase,purchase,VERB,Prolific
587a3b7bd6df70000187510b,meal,enjoy,enjoy,enjoy,VERB,Prolific
587a3b7bd6df70000187510b,pike,coffee,coffee,coffee,VERB,Prolific
587a3b7bd6df70000187510b,tissue,blow,blow,blow,VERB,Prolific
587a3b7bd6df70000187510b,tissue,wipe,wipe,wipe,VERB,Prolific
587a3b7bd6df70000187510b,tissue,blotch,blotch,blotch,VERB,Prolific
