Username,Stimuli.Cue,affordance_parsed,word,lemma,POS,Group,
5693df018d93fe000dfa5733,ski,skiing,skiing,ski,VERB,Prolific,
5693df018d93fe000dfa5733,ski,exercise,exercise,exercise,VERB,Prolific,
5693df018d93fe000dfa5733,optician,getting new glasses,getting,get,VERB,Prolific,
5693df018d93fe000dfa5733,optician,getting new glasses,new,new,ADJ,Prolific,
5693df018d93fe000dfa5733,optician,getting new glasses,glasses,glasses,NOUN,Prolific,
5693df018d93fe000dfa5733,optician,checking eyesight,checking,check,VERB,Prolific,
5693df018d93fe000dfa5733,optician,checking eyesight,eyesight,eyesight,NOUN,Prolific,
5693df018d93fe000dfa5733,fist,punching,punching,punche,VERB,Prolific,
5693df018d93fe000dfa5733,fist,throwing,throwing,throw,VERB,Prolific,
5693df018d93fe000dfa5733,fist,snapped in half,snapped,snap,VERB,Prolific,
5693df018d93fe000dfa5733,fist,snapped in half,half,half,NOUN,Prolific,
5693df018d93fe000dfa5733,carpenter,installation,installation,install,VERB,Prolific,
5693df018d93fe000dfa5733,carpenter,removing,removing,remove,VERB,Prolific,
5693df018d93fe000dfa5733,carpenter,dismantling,dismantling,dismantle,VERB,Prolific,
5693df018d93fe000dfa5733,ocean,jump in it,jump,jump,VERB,Prolific,
5693df018d93fe000dfa5733,ocean,drink it,drink,drink,VERB,Prolific,
5693df018d93fe000dfa5733,ocean,drown in it,drown,drown,VERB,Prolific,
5693df018d93fe000dfa5733,ocean,swim in it,swim,swim,VERB,Prolific,
5693df018d93fe000dfa5733,ocean,dive in it,dive,dive,VERB,Prolific,
5693df018d93fe000dfa5733,ocean,have a boat sail on it,boat,boat,NOUN,Prolific,
5693df018d93fe000dfa5733,ocean,have a boat sail on it,sail,sail,VERB,Prolific,
5693df018d93fe000dfa5733,machete,kill someone with it,kill,kill,VERB,Prolific,
5693df018d93fe000dfa5733,machete,kill someone with it,someone,someone,PRON,Prolific,
5693df018d93fe000dfa5733,machete,snap it in half,snap,snap,VERB,Prolific,
5693df018d93fe000dfa5733,machete,snap it in half,half,half,NOUN,Prolific,
5693df018d93fe000dfa5733,machete,throw it,throw,throw,VERB,Prolific,
5693df018d93fe000dfa5733,machete,stomp on it,stomp,stomp,VERB,Prolific,
5693df018d93fe000dfa5733,machete,cut items,cut,cut,VERB,Prolific,
5693df018d93fe000dfa5733,machete,cut items,items,item,NOUN,Prolific,
5693df018d93fe000dfa5733,machete,hide it away,hide,hide,VERB,Prolific,
5693df018d93fe000dfa5733,machete,hide it away,away,away,ADV,Prolific,
5693df018d93fe000dfa5733,wood,chop it,chop,chop,VERB,Prolific,
5693df018d93fe000dfa5733,wood,make it into items like desks,make,make,VERB,Prolific,
5693df018d93fe000dfa5733,wood,make it into items like desks,items,item,NOUN,Prolific,
5693df018d93fe000dfa5733,wood,make it into items like desks,like,like,INTJ,Prolific,
5693df018d93fe000dfa5733,wood,make it into items like desks,desks,desk,NOUN,Prolific,
5693df018d93fe000dfa5733,wood,preserve it,preserve,preserve,VERB,Prolific,
5693df018d93fe000dfa5733,wood,burn it,burn,burn,VERB,Prolific,
5693df018d93fe000dfa5733,wood,throw it,throw,throw,VERB,Prolific,
5693df018d93fe000dfa5733,wood,stomp on it,stomp,stomp,VERB,Prolific,
5693df018d93fe000dfa5733,wood,shoot it,shoot,shoot,VERB,Prolific,
5693df018d93fe000dfa5733,hall,walk in it,walk,walk,VERB,Prolific,
5693df018d93fe000dfa5733,hall,run in it,run,run,VERB,Prolific,
5693df018d93fe000dfa5733,hall,jog in it,jog,jog,VERB,Prolific,
5693df018d93fe000dfa5733,hall,do exercise in it,exercise,exercise,VERB,Prolific,
5693df018d93fe000dfa5733,hall,stomp in it,stomp,stomp,VERB,Prolific,
5693df018d93fe000dfa5733,hall,jump in it,jump,jump,VERB,Prolific,
5693df018d93fe000dfa5733,windshield,make it go left and right,make,make,VERB,Prolific,
5693df018d93fe000dfa5733,windshield,make it go left and right,go,go,VERB,Prolific,
5693df018d93fe000dfa5733,windshield,make it go left and right,left,leave,VERB,Prolific,
5693df018d93fe000dfa5733,windshield,make it go left and right,right,right,INTJ,Prolific,
5693df018d93fe000dfa5733,tag,put it on something,put,put,VERB,Prolific,
5693df018d93fe000dfa5733,tag,put it on something,something,something,PRON,Prolific,
5693df018d93fe000dfa5733,tag,snap it in half,snap,snap,VERB,Prolific,
5693df018d93fe000dfa5733,tag,snap it in half,half,half,NOUN,Prolific,
5693df018d93fe000dfa5733,tag,lose it,lose,lose,VERB,Prolific,
5693df018d93fe000dfa5733,holding,hold onto it,hold,hold,VERB,Prolific,
5693df018d93fe000dfa5733,holding,hold onto it,onto,onto,ADP,Prolific,
5693df018d93fe000dfa5733,holding,break it,break,break,VERB,Prolific,
5693df018d93fe000dfa5733,barrel,roll in,roll,roll,VERB,Prolific,
5693df018d93fe000dfa5733,barrel,snap it in half,snap,snap,VERB,Prolific,
5693df018d93fe000dfa5733,barrel,snap it in half,half,half,NOUN,Prolific,
5693df018d93fe000dfa5733,barrel,crush it,crush,crush,VERB,Prolific,
5693df018d93fe000dfa5733,barrel,open it,open,open,VERB,Prolific,
5693df018d93fe000dfa5733,barrel,store it somewhere,store,store,VERB,Prolific,
5693df018d93fe000dfa5733,barrel,store it somewhere,somewhere,somewhere,ADV,Prolific,
5693df018d93fe000dfa5733,scarf,put it around your head,put,put,VERB,Prolific,
5693df018d93fe000dfa5733,scarf,put it around your head,around,around,ADV,Prolific,
