"cue","response","AFS","AFSS"
"abacus","count",0.235294117647059,12
"abacus","math",0.117647058823529,12
"abacus","clean",0.117647058823529,12
"abacus","accounting",0.0588235294117647,12
"abacus","business",0.0588235294117647,12
"abacus","calculus",0.0588235294117647,12
"abacus","change",0.0588235294117647,12
"abacus","move",0.0588235294117647,12
"abacus","throw",0.0588235294117647,12
"abacus","understand",0.0588235294117647,12
"abacus","shake",0.0588235294117647,12
"abacus","see",0.0588235294117647,12
"abdomen","hold",0.0909090909090909,30
"abdomen","digest",0.0909090909090909,30
"abdomen","breathe",0.0681818181818182,30
"abdomen","house",0.0681818181818182,30
"abdomen","exercise",0.0454545454545455,30
"abdomen","surgery",0.0454545454545455,30
"abdomen","touch",0.0454545454545455,30
"abdomen","workout",0.0454545454545455,30
"abdomen","cut",0.0227272727272727,30
"abdomen","flex",0.0227272727272727,30
"abdomen","keep",0.0227272727272727,30
"abdomen","live",0.0227272727272727,30
"abdomen","pierce",0.0227272727272727,30
"abdomen","plank",0.0227272727272727,30
"abdomen","situp",0.0227272727272727,30
"abdomen","punch",0.0227272727272727,30
"abdomen","contain",0.0227272727272727,30
"abdomen","create",0.0227272727272727,30
"abdomen","protect",0.0227272727272727,30
"abdomen","eat",0.0227272727272727,30
"abdomen","bend",0.0227272727272727,30
"abdomen","straighten",0.0227272727272727,30
"abdomen","research",0.0227272727272727,30
"abdomen","look",0.0227272727272727,30
"abdomen","hurt",0.0227272727272727,30
"abdomen","heal",0.0227272727272727,30
"abdomen","store",0.0227272727272727,30
"abdomen","paint",0.0227272727272727,30
"abdomen","push",0.0227272727272727,30
"abdomen","rest",0.0227272727272727,30
"absinthe","drink",0.344827586206897,18
"absinthe","look",0.0689655172413793,18
"absinthe","smell",0.0689655172413793,18
"absinthe","pick",0.0344827586206897,18
"absinthe","taste",0.0344827586206897,18
"absinthe","touch",0.0344827586206897,18
"absinthe","die",0.0344827586206897,18
"absinthe","kill",0.0344827586206897,18
"absinthe","treat",0.0344827586206897,18
"absinthe","medicate",0.0344827586206897,18
"absinthe","eat",0.0344827586206897,18
"absinthe","bathe",0.0344827586206897,18
