Username,Stimuli.Cue,affordance_parsed,word,lemma,VERB,Group
10178510,wristwatch,keep time,keep,keep,AUX,USM
10178510,wristwatch,keep time,time,time,VERB,USM
10178510,wristwatch,fashion,fashion,fashion,VERB,USM
10178510,wristwatch,fitness,fitness,fitness,VERB,USM
10178510,basil,cook,cook,cook,VERB,USM
10178510,basil,smell,smell,smell,VERB,USM
10178510,basil,grow,grow,grow,VERB,USM
10178510,basil,breathe,breathe,breathe,VERB,USM
10178510,tourist,make money,make,make,AUX,USM
10178510,tourist,make money,money,money,VERB,USM
10178510,tourist,advertis,advertise,advertise,VERB,USM
10178510,defendant,trial case,trial,trial,VERB,USM
10178510,defendant,trial case,case,case,NOUN,USM
10178510,defendant,winning a fight,winning,win,VERB,USM
10178510,defendant,winning a fight,fight,fight,VERB,USM
10178510,gumbo,eat,eat,eat,VERB,USM
10178510,gumbo,smell,smell,smell,VERB,USM
10178510,gumbo,spill,spill,spill,VERB,USM
10178510,gumbo,make,make,make,VERB,USM
10178510,gumbo,taste,taste,taste,VERB,USM
10178510,monument,destroy,destroy,destroy,VERB,USM
10178510,monument,build,build,build,VERB,USM
10178510,monument,cherrish,cherish,cherish,VERB,USM
10178510,monument,crumble,crumble,crumble,VERB,USM
10178510,monument,admire,admire,admire,VERB,USM
10178510,monument,advertise,advertise,advertise,VERB,USM
10178510,coachman,transportation,transportation,transport,VERB,USM
10178510,coachman,directions,directions,direction,VERB,USM
10178510,technician,fix things,fix,fix,VERB,USM
10178510,technician,fix things,things,thing,NOUN,USM
10178510,technician,educate,educate,educate,VERB,USM
10178510,wrist,wear things,wear,wear,VERB,USM
10178510,wrist,wear things,things,thing,NOUN,USM
10178510,wrist,support hand,support,support,VERB,USM
10178510,wrist,support hand,hand,hand,NOUN,USM
10178510,wrist,move hand,move,move,VERB,USM
10178510,wrist,move hand,hand,hand,NOUN,USM
10178510,wrist,break,break,break,VERB,USM
10178510,vacuum,clean,clean,clean,VERB,USM
10178510,vacuum,dusting,dusting,dust,VERB,USM
10178510,chow,food,food,food,NOUN,USM
10178510,chow,nutrition,nutrition,nutrition,VERB,USM
10178510,tee,golf,golf,golf,NOUN,USM
10178510,tee,baseball,baseball,baseball,NOUN,USM
10178510,tee,holding object,holding,hold,VERB,USM
10178510,tee,holding object,object,object,ADV,USM
10178510,jurist,law,law,law,NOUN,USM
10178510,sangria,drink,drink,drink,VERB,USM
10178510,sangria,spill,spill,spill,VERB,USM
10178510,sangria,enjoy,enjoy,enjoy,VERB,USM
10178510,teahouse,make tea,make,make,AUX,USM
10178510,teahouse,make tea,tea,tea,VERB,USM
10178510,teahouse,drink tea,drink,drink,VERB,USM
10178510,teahouse,drink tea,tea,tea,NOUN,USM
10178510,harness,hold,hold,hold,VERB,USM
10178510,harness,drop,drop,drop,VERB,USM
10178510,harness,secure,secure,secure,VERB,USM
10178510,harness,safety,safety,safety,VERB,USM
10178510,helicopter,fly,fly,fly,VERB,USM
10178510,helicopter,crash,crash,crash,VERB,USM
10178510,helicopter,move,move,move,VERB,USM
10178510,helicopter,transport,transport,transport,VERB,USM
10178510,handclap,scare,scare,scare,VERB,USM
10178510,handclap,congratulate,congratulate,congratulate,VERB,USM
10178510,handclap,noise,noise,noise,VERB,USM
10178510,gentleman,get dinner,get,get,AUX,USM
10178510,gentleman,get dinner,dinner,dinner,VERB,USM
10178510,chestnut,eat,eat,eat,VERB,USM
10178510,chestnut,feed,feed,feed,VERB,USM
10178510,chestnut,smell,smell,smell,VERB,USM
10178510,chestnut,crush,crush,crush,VERB,USM
10178510,councilman,make laws,make,make,AUX,USM
10178510,councilman,make laws,laws,law,VERB,USM
10178510,deck,stand,stand,stand,VERB,USM
10178510,deck,look out,look,look,VERB,USM
10178510,deck,crash,crash,crash,VERB,USM
