spelling.sugg,spelling.errors
advertise,advertis
cherish,cherrish
are angry,areangry
mix,mixology
stack,stackable
parmesan,parmesan
fire starter,firestarter
punish,punisher
create,creater
split,splitter
exfoliate,exfoliant
hand washing,handwashing
furniture,furnture
handkerchief,hankerchief
scratch,scratcher
kitchen,kichen
an,calvary
glasses,glases
barbecue,bbq
an,chevy
an,toyota
an,ipad
an,christmas
decor,decore
poop,pooper
scoop,scooper
