"spelling.sugg","spelling.errors"
"adverts","advertis"
"cherish","cherrish"
"are angry","areangry"
"doxology","mixology"
"stack able","stackable"
"Parmesan","parmesan"
"fire starter","firestarter"
"punishes","punisher"
"create","creater"
"splutter","splitter"
"exfoliate","exfoliant"
"hand washing","handwashing"
"furniture","furnture"
"handkerchief","hankerchief"
"scratchier","scratcher"
"lichen","kichen"
"Calvary","calvary"
"glades","glases"
"BBQ","bbq"
"Chevy","chevy"
"Toyota","toyota"
"iPad","ipad"
"Christmas","christmas"
"decor","decore"
"popper","pooper"
"cooper","scooper"
