Stimuli.Cue,affordance_parsed,word,lemma,POS,Source,,
rhinestone,to look at,look,look,VERB,Hope,,
rhinestone,to make into jewelry,make,make,VERB,Hope,,
rhinestone,to make into jewelry,jewelry,jewelry,NOUN,Hope,,
rhinestone,to hold,hold,hold,VERB,Hope,,
rhinestone,to throw,throw,throw,VERB,Hope,,
rhinestone,to be dropped,dropped,drop,VERB,Hope,,
rhinestone,to swallow,swallow,swallow,VERB,Hope,,
rhinestone,to put in the garden,put,put,VERB,Hope,,
rhinestone,to put in the garden,garden,garden,NOUN,Hope,,
mosquito,to eat,eat,eat,VERB,Hope,,
mosquito,to catch and hold,catch,catch,VERB,Hope,,
mosquito,to catch and hold,hold,hold,VERB,Hope,,
mosquito,to be eaten by,eaten,eat,VERB,Hope,,
mosquito,to look at,look,look,VERB,Hope,,
mosquito,to chase after,chase,chase,VERB,Hope,,
mosquito,to play with,play,play,VERB,Hope,,
mosquito,to make friends with,make,make,VERB,Hope,,
mosquito,to make friends with,friends,friend,NOUN,Hope,,
mosquito,to kill,kill,kill,VERB,Hope,,
mosquito,to let free,let,let,VERB,Hope,,
mosquito,to let free,free,free,ADJ,Hope,,
mosquito,to allow it into your home,allow,allow,VERB,Hope,,
mosquito,to allow it into your home,home,home,ADV,Hope,,
trucks,to transport people from one place to another,transport,transport,VERB,Hope,,
trucks,to transport people from one place to another,people,people,NOUN,Hope,,
trucks,to transport people from one place to another,one,one,NUM,Hope,,
trucks,to transport people from one place to another,place,place,NOUN,Hope,,
trucks,to transport people from one place to another,another,another,DET,Hope,,
trucks,to carry big objects,carry,carry,VERB,Hope,,
trucks,to carry big objects,big,big,ADJ,Hope,,
trucks,to carry big objects,objects,object,VERB,Hope,,
trucks,to look at,look,look,VERB,Hope,,
trucks,to be in awe of,awe,awe,PRON,Hope,,
trucks,to fill with gas,fill,fill,VERB,Hope,,
trucks,to fill with gas,gas,gas,NOUN,Hope,,
trucks,to make you broke,make,make,VERB,Hope,,
trucks,to make you broke,broke,break,VERB,Hope,,
trucks,to bring you a smile,bring,bring,VERB,Hope,,
trucks,to bring you a smile,smile,smile,VERB,Hope,,
trucks,to be played with,played,play,VERB,Hope,,
trucks,to be flipped over,flipped,flip,VERB,Hope,,
trucks,to use as a jungle gym,use,use,VERB,Hope,,
trucks,to use as a jungle gym,jungle,jungle,NOUN,Hope,,
trucks,to use as a jungle gym,gym,gym,NOUN,Hope,,
trucks,to lift,lift,lift,VERB,Hope,,
trucks,to use as a place to sit,use,use,VERB,Hope,,
trucks,to use as a place to sit,place,place,NOUN,Hope,,
trucks,to use as a place to sit,sit,sit,VERB,Hope,,
trucks,to go fast,go,go,VERB,Hope,,
trucks,to go fast,fast,fast,ADJ,Hope,,
trucks,to sleep in,sleep,sleep,VERB,Hope,,
clarinet,to play music,play,play,VERB,Hope,,
clarinet,to play music,music,music,NOUN,Hope,,
clarinet,to breathe,breathe,breato,VERB,Hope,,
clarinet,to look at,look,look,VERB,Hope,,
clarinet,to be treasured,treasured,treasure,VERB,Hope,,
clarinet,to make art of,make,make,VERB,Hope,,
clarinet,to make art of,art,art,NOUN,Hope,,
clarinet,to paint,paint,paint,VERB,Hope,,
clarinet,to be dropped on the floor,dropped,drop,VERB,Hope,,
clarinet,to be dropped on the floor,floor,floor,NOUN,Hope,,
clarinet,to use as a weapon,use,use,VERB,Hope,,
clarinet,to use as a weapon,weapon,weapon,NOUN,Hope,,
clarinet,to use as a mirror,use,use,VERB,Hope,,
clarinet,to use as a mirror,mirror,mirror,NOUN,Hope,,
clarinet,to break in half,break,break,NOUN,Hope,,
clarinet,to break in half,half,half,NOUN,Hope,,
lapdog,to bring joy,bring,bring,VERB,Hope,,
lapdog,to bring joy,joy,joy,NOUN,Hope,,
lapdog,to be a friend,friend,friend,NOUN,Hope,,
lapdog,to be a pet,pet,pet,NOUN,Hope,,
lapdog,to be taken care of,taken,take,VERB,Hope,,
lapdog,to be taken care of,care,care,NOUN,Hope,,
lapdog,to allow you to be lazy,allow,allow,VERB,Hope,,
lapdog,to allow you to be lazy,lazy,lazy,NOUN,Hope,,
lapdog,to make you a teacher,make,make,VERB,Hope,,
lapdog,to make you a teacher,teacher,teacher,NOUN,Hope,,
lapdog,to retrieve you things,retrieve,retrieve,VERB,Hope,,
lapdog,to retrieve you things,things,thing,NOUN,Hope,,
lapdog,to make you comforted,make,make,VERB,Hope,,
lapdog,to make you comforted,comforted,comforte,VERB,Hope,,
lapdog,to look at,look,look,VERB,Hope,,
lapdog,to make you smile,make,make,VERB,Hope,,
lapdog,to make you smile,smile,smile,VERB,Hope,,
lapdog,to make you exercise,make,make,VERB,Hope,,
lapdog,to make you exercise,exercise,exercise,VERB,Hope,,
stamp,to send mail,send,send,VERB,Hope,,
stamp,to send mail,mail,mail,NOUN,Hope,,
stamp,to sign a name,sign,sign,VERB,Hope,,
stamp,to sign a name,name,name,NOUN,Hope,,
stamp,to declare,declare,declare,VERB,Hope,,
stamp,to make art,make,make,VERB,Hope,,
stamp,to make art,art,art,NOUN,Hope,,
stamp,to smear,smear,smear,VERB,Hope,,
stamp,to throw,throw,throw,VERB,Hope,,
stamp,to play with,play,play,VERB,Hope,,
stamp,to fidget with,fidget,fidget,VERB,Hope,,
stamp,to make a mess,make,make,VERB,Hope,,
stamp,to make a mess,mess,mess,NOUN,Hope,,
stamp,to put on your shirt,put,put,VERB,Hope,,
stamp,to put on your shirt,shirt,shirt,NOUN,Hope,,
forceps,to deliver a baby,deliver,deliver,VERB,Hope,,
forceps,to deliver a baby,baby,baby,NOUN,Hope,,
forceps,to be tongs,tongs,tong,NOUN,Hope,,
forceps,to use as a weapon,use,use,VERB,Hope,,
forceps,to use as a weapon,weapon,weapon,NOUN,Hope,,
steamboat,to travel,travel,travel,VERB,Hope,,
steamboat,to transport large objects over sea,transport,transport,VERB,Hope,,
steamboat,to transport large objects over sea,large,large,ADJ,Hope,,
steamboat,to transport large objects over sea,objects,object,VERB,Hope,,
steamboat,to transport large objects over sea,sea,sea,NOUN,Hope,,
steamboat,to produce steam,produce,produce,VERB,Hope,,
steamboat,to produce steam,steam,steam,NOUN,Hope,,
steamboat,to look at,look,look,VERB,Hope,,
steamboat,to sink,sink,sink,VERB,Hope,,
steamboat,to float,float,float,VERB,Hope,,
steamboat,to be guided by the wind,guided,guide,VERB,Hope,,
steamboat,to be guided by the wind,wind,wind,NOUN,Hope,,
steamboat,to sleep on,sleep,sleep,VERB,Hope,,
generator,to generate power,generate,generate,VERB,Hope,,
generator,to generate power,power,power,NOUN,Hope,,
generator,to not know where it is,know,know,VERB,Hope,,
amphibian,to eat,eat,eat,VERB,Hope,,
amphibian,to play with,play,play,VERB,Hope,,
amphibian,to kick,kick,kick,VERB,Hope,,
amphibian,to slither,slither,slither,VERB,Hope,,
amphibian,to step on,step,step,VERB,Hope,,
amphibian,to have as a pet,pet,pet,NOUN,Hope,,
amphibian,to take care of,take,take,VERB,Hope,,
amphibian,to take care of,care,care,VERB,Hope,,
amphibian,to look at,look,look,VERB,Hope,,
yacht,home,home,home,ADV,Hope,,
yacht,bed,bed,bed,NOUN,Hope,,
yacht,place to eat,place,place,NOUN,Hope,,
yacht,place to eat,eat,eat,VERB,Hope,,
yacht,place to rest,place,place,NOUN,Hope,,
yacht,place to rest,rest,rest,VERB,Hope,,
yacht,means of transportation,means,mean,VERB,Hope,,
yacht,means of transportation,transportation,transport,VERB,Hope,,
yacht,place to have fun,place,place,NOUN,Hope,,
yacht,place to have fun,fun,fun,NOUN,Hope,,
yacht,way of staying dry while on water,way,way,NOUN,Hope,,
yacht,way of staying dry while on water,staying,stay,VERB,Hope,,
yacht,way of staying dry while on water,dry,dry,ADJ,Hope,,
yacht,way of staying dry while on water,water,water,NOUN,Hope,,
hog,meal,meal,meal,NOUN,Hope,,
hog,to feed,feed,feed,VERB,Hope,,
hog,to fatten up,fatten,fatten,VERB,Hope,,
hog,to have as a pet,pet,pet,NOUN,Hope,,
hog,to feed a family,feed,feed,NOUN,Hope,,
hog,to feed a family,family,family,NOUN,Hope,,
cock,a rooster,rooster,rooster,NOUN,Hope,,
cock,a meal,meal,meal,NOUN,Hope,,
cock,a pet,pet,pet,NOUN,Hope,,
cathedral,a place to worship god,place,place,NOUN,Hope,,
cathedral,a place to worship god,worship,worship,VERB,Hope,,
cathedral,a place to worship god,god,god,PROPN,Hope,,
cathedral,a building of art,building,building,NOUN,Hope,,
cathedral,a building of art,art,art,NOUN,Hope,,
cathedral,a shelter,shelter,shelter,NOUN,Hope,,
cathedral,an umbrella,umbrella,umbrella,NOUN,Hope,,
cathedral,a house,house,house,NOUN,Hope,,
cathedral,a place to play hide and seek,place,place,NOUN,Hope,,
cathedral,a place to play hide and seek,play,play,VERB,Hope,,
cathedral,a place to play hide and seek,hide,hide,VERB,Hope,,
cathedral,a place to play hide and seek,seek,seek,VERB,Hope,,
playground,to play on,play,play,VERB,Hope,,
playground,to use as shelter,use,use,VERB,Hope,,
playground,to use as shelter,shelter,shelter,VERB,Hope,,
playground,workout equipment,workout,workout,NOUN,Hope,,
playground,workout equipment,equipment,equipment,NOUN,Hope,,
maidservant,cleaner,cleaner,clean,VERB,Hope,,
maidservant,wife,wife,wife,NOUN,Hope,,
maidservant,mom,mom,mom,X,Hope,,
maidservant,sister,sister,sister,NOUN,Hope,,
maidservant,babysitter,babysitter,babysitter,NOUN,Hope,,
shuttle,means of transportation,means,mean,VERB,Hope,,
shuttle,means of transportation,transportation,transport,VERB,Hope,,
shuttle,shelter,shelter,shelter,NOUN,Hope,,
shuttle,cover from rain,cover,cover,VERB,Hope,,
shuttle,cover from rain,rain,rain,NOUN,Hope,,
shuttle,protection,protection,protection,NOUN,Hope,,
shuttle,means of death,means,mean,VERB,Hope,,
shuttle,means of death,death,death,NOUN,Hope,,
gunnysack,to hold things in,hold,hold,VERB,Hope,,
gunnysack,to hold things in,things,thing,NOUN,Hope,,
gunnysack,to wear on your head,wear,wear,VERB,Hope,,
gunnysack,to wear on your head,head,head,NOUN,Hope,,
gunnysack,shoes,shoes,shoe,VERB,Hope,,
gunnysack,to throw,throw,throw,VERB,Hope,,
gunnysack,to store food,store,store,VERB,Hope,,
gunnysack,to store food,food,food,NOUN,Hope,,
horn,to make sound,make,make,VERB,Hope,,
horn,to make sound,sound,sound,VERB,Hope,,
horn,to breathe in and out of,breathe,breato,VERB,Hope,,
horn,to throw,throw,throw,VERB,Hope,,
horn,to drop,drop,drop,VERB,Hope,,
horn,to alert others,alert,alert,NOUN,Hope,,
horn,to alert others,others,other,NOUN,Hope,,
flask,to hold food,hold,hold,VERB,Hope,,
flask,to hold food,food,food,NOUN,Hope,,
flask,to hold water,hold,hold,VERB,Hope,,
flask,to hold water,water,water,NOUN,Hope,,
flask,to use as a weapon,use,use,VERB,Hope,,
flask,to use as a weapon,weapon,weapon,NOUN,Hope,,
entomologist,to understand animals,understand,understand,VERB,Hope,,
entomologist,to understand animals,animals,animal,NOUN,Hope,,
entomologist,to learn from,learn,learn,VERB,Hope,,
entomologist,potential significant other of another,potential,potential,ADJ,Hope,,
entomologist,potential significant other of another,significant,significant,ADJ,Hope,,
entomologist,potential significant other of another,another,another,DET,Hope,,
vegetable,nutrients,nutrients,nutrient,NOUN,Hope,,
vegetable,food,food,food,NOUN,Hope,,
vegetable,trash,trash,trash,INTJ,Hope,,
vegetable,to be thrown,thrown,throw,VERB,Hope,,
vegetable,to be held,held,hold,VERB,Hope,,
vegetable,to be admired,admired,admire,VERB,Hope,,
earphone,to hear,hear,hear,VERB,Hope,,
earphone,to listen,listen,listen,VERB,Hope,,
earphone,to maintain focus,maintain,maintain,VERB,Hope,,
earphone,to maintain focus,focus,focus,VERB,Hope,,
earphone,to hit someone with,hit,hit,VERB,Hope,,
earphone,to hit someone with,someone,someone,PRON,Hope,,
earphone,to measure something,measure,measure,NOUN,Hope,,
earphone,to measure something,something,something,PRON,Hope,,
earphone,to break,break,break,NOUN,Hope,,
birthmark,to distinguish someone,distinguish,distinguish,ADJ,Hope,,
birthmark,to distinguish someone,someone,someone,PRON,Hope,,
birthmark,to prove humanity,prove,prove,VERB,Hope,,
birthmark,to prove humanity,humanity,humanity,NOUN,Hope,,
birthmark,to not understand,understand,understand,VERB,Hope,,
masseuse,to make feel better,make,make,VERB,Hope,,
masseuse,to make feel better,feel,feel,VERB,Hope,,
masseuse,to make feel better,better,better,ADJ,Hope,,
masseuse,potential significant other,potential,potential,ADJ,Hope,,
masseuse,potential significant other,significant,significant,ADJ,Hope,,
masseuse,friend,friend,friend,NOUN,Hope,,
masseuse,potential parent,potential,potential,ADJ,Hope,,
masseuse,potential parent,parent,parent,NOUN,Hope,,
crucifix,to murder someone,murder,murder,VERB,Hope,,
crucifix,to murder someone,someone,someone,PRON,Hope,,
crucifix,to be reminded of something greater,reminded,remind,VERB,Hope,,
crucifix,to be reminded of something greater,something,something,PRON,Hope,,
crucifix,to be reminded of something greater,greater,greater,ADJ,Hope,,
crucifix,to look at,look,look,VERB,Hope,,
crucifix,to hold up something else,hold,hold,VERB,Hope,,
crucifix,to hold up something else,something,something,PRON,Hope,,
crucifix,to hold up something else,else,else,ADJ,Hope,,
tuxedo,to make someone look nice,make,make,VERB,Hope,,
tuxedo,to make someone look nice,someone,someone,PRON,Hope,,
tuxedo,to make someone look nice,look,look,VERB,Hope,,
tuxedo,to make someone look nice,nice,nice,ADJ,Hope,,
tuxedo,to keep warm,keep,keep,VERB,Hope,,
tuxedo,to keep warm,warm,warm,ADJ,Hope,,
tuxedo,to cover,cover,cover,VERB,Hope,,
tuxedo,to use as a pillow,use,use,VERB,Hope,,
tuxedo,to use as a pillow,pillow,pillow,NOUN,Hope,,
tuxedo,to use as blanket,use,use,VERB,Hope,,
