Username,Stimuli.Cue,affordance_parsed,word,lemma,POS,Source
10019758GW,noodle,pasta,pasta,pasta,NOUN,USM
10019758GW,noodle,food,food,food,NOUN,USM
10019758GW,noodle,cooking,cooking,cook,VERB,USM
10019758GW,noodle,spaghetti,spaghetti,spaghetti,NOUN,USM
10019758GW,grandnephew,clean,clean,clean,VERB,USM
10019758GW,grandnephew,spend time with,spend,spend time,VERB,USM
10019758GW,grandnephew,laugh,laugh,laugh,VERB,USM
10019758GW,grandnephew,fishing,fishing,fish,VERB,USM
10019758GW,chevy,truck,truck,truck,NOUN,USM
10019758GW,chevy,hauling goods,hauling,haul,VERB,USM
10019758GW,chevy,hauling goods,goods,goods,NOUN,USM
10019758GW,chevy,traveling,traveling,travel,VERB,USM
10019758GW,flag,representation,representation,represent,VERB,USM
10019758GW,sheepdog,farm,farm,farm,VERB,USM
10019758GW,sheepdog,herd sheep,herd,herd,VERB,USM
10019758GW,sheepdog,herd sheep,sheep,sheep,NOUN,USM
10019758GW,trainee,run errands,run,run,VERB,USM
10019758GW,trainee,run errands,errands,errand,VERB,USM
10019758GW,margarine,cooking,cooking,cook,VERB,USM
10019758GW,margarine,toast,toast,toast,NOUN,USM
10019758GW,headpiece,to fix your jaw,fix,fix,VERB,USM
10019758GW,headpiece,to fix your jaw,jaw,jaw,NOUN,USM
10019758GW,headpiece,fix your teeth,fix,fix,VERB,USM
10019758GW,headpiece,fix your teeth,teeth,tooth,NOUN,USM
10019758GW,wench,tools,tools,tool,NOUN,USM
10019758GW,wench,tighten things,tighten,tighten,VERB,USM
10019758GW,wench,tighten things,things,thing,NOUN,USM
10019758GW,pepperoni,on pizza,pizza,pizza,NOUN,USM
10019758GW,pepperoni,cooking,cooking,cook,VERB,USM
10019758GW,page,papers,papers,papers,NOUN,USM
10019758GW,page,books,books,book,NOUN,USM
10019758GW,page,articles,articles,article,NOUN,USM
10019758GW,hamper,dirty clothes,dirty,dirty,ADJ,USM
10019758GW,hamper,dirty clothes,clothes,clothes,NOUN,USM
10019758GW,hamper,laundry,laundry,laundry,NOUN,USM
10019758GW,fiancee,support,support,support,VERB,USM
10019758GW,fiancee,love,love,love,VERB,USM
10019758GW,fiancee,companionship,companionship,companionship,VERB,USM
10019758GW,headlight,to see at night,see,see,VERB,USM
10019758GW,headlight,to see at night,night,night,NOUN,USM
10019758GW,headlight,to not hit an animal,hit,hit,VERB,USM
10019758GW,headlight,to not hit an animal,animal,animal,NOUN,USM
10019758GW,headlight,see other cars on road,see,see,VERB,USM
10019758GW,headlight,see other cars on road,cars,cars,NOUN,USM
10019758GW,headlight,see other cars on road,road,road,NOUN,USM
10019758GW,sledgehammer,chop wood,chop,chop,VERB,USM
10019758GW,sledgehammer,chop wood,wood,wood,NOUN,USM
10019758GW,sledgehammer,cut things,cut,cut,VERB,USM
10019758GW,sledgehammer,cut things,things,thing,NOUN,USM
10019758GW,him,help,help,help,VERB,USM
10019758GW,him,friend,friend,friend,NOUN,USM
10019758GW,him,love,love,love,VERB,USM
10019758GW,pilot,flying,flying,flie,VERB,USM
10019758GW,pilot,plane,plane,plane,NOUN,USM
10019758GW,pilot,travel,travel,travel,VERB,USM
10019758GW,cauliflower,cooking,cooking,cook,VERB,USM
10019758GW,cauliflower,saute,saute,saute,VERB,USM
10019758GW,cauliflower,bake,bake,bake,VERB,USM
10019758GW,cauliflower,fry,fry,fry,VERB,USM
10019758GW,pebble,throw,throw,throw,VERB,USM
10019758GW,pebble,skip,skip,skip,VERB,USM
10019758GW,pebble,step on,step,step on,VERB,USM
10019758GW,firearm,shoot,shoot,shoot,VERB,USM
10019758GW,firearm,harm,harm,harm,VERB,USM
10019758GW,firearm,self-defense,self,self,ADJ,USM
10019758GW,firearm,self-defense,defense,defense,VERB,USM
10019758GW,storybook,tell a story,tell,tell,VERB,USM
10019758GW,storybook,tell a story,story,story,NOUN,USM
10019758GW,storybook,writing,writing,write,VERB,USM
10019758GW,parent,love,love,love,VERB,USM
10019758GW,parent,support,support,support,VERB,USM
10019758GW,parent,care,care,care,VERB,USM
10019758GW,underclothes,be modest,modest,modesty,VERB,USM
10019758GW,underclothes,protect,protect,protect,VERB,USM
10019758GW,calculator,math,math,math,VERB,USM
10019758GW,calculator,calculate accurately,calculate,calculate,VERB,USM
10019758GW,calculator,calculate accurately,accurately,accuritely,ADV,USM
10019758GW,hardwood,build a house,build,build,NOUN,USM
10019758GW,hardwood,build a house,house,house,NOUN,USM
10019758GW,hardwood,floor,floor,floor,NOUN,USM
10019758GW,hardwood,firs,firs,fir,NOUN,USM
10019758GW,scarecrow,scare birds,scare,scare,VERB,USM
10019758GW,scarecrow,scare birds,birds,bird,NOUN,USM
10019758GW,scarecrow,farm,farm,farm,VERB,USM
10019758GW,dandelion,bees pollinate,bees,bee,NOUN,USM
10019758GW,dandelion,bees pollinate,pollinate,pollinate,VERB,USM
10019758GW,dandelion,pretty flowers,pretty,pretty,ADV,USM
10019758GW,dandelion,pretty flowers,flowers,flower,NOUN,USM
10019758GW,dandelion,makes people happy,makes,make,VERB,USM
10019758GW,dandelion,makes people happy,people,people,NOUN,USM
10019758GW,dandelion,makes people happy,happy,happiness,VERB,USM
10019758GW,dough,pizza,pizza,pizza,NOUN,USM
10019758GW,dough,bread,bread,bread,NOUN,USM
10019758GW,dough,cook,cook,cake,VERB,USM
10019758GW,dough,bake,bake,bake,VERB,USM
10019758GW,wineglass,drinking,drinking,drink,VERB,USM
10019758GW,wineglass,sipping,sipping,sip,VERB,USM
10019758GW,vomit,get toxins out,get,get,VERB,USM
10019758GW,vomit,get toxins out,toxins,toxin,NOUN,USM
10019758GW,vomit,make one feel better,make,make,VERB,USM
10019758GW,vomit,make one feel better,one,one,NUM,USM
10019758GW,vomit,make one feel better,feel,feel,VERB,USM
10019758GW,vomit,make one feel better,better,better,ADJ,USM
10028531JS,dishwasher,clean dishes,clean,clean,VERB,USM
10028531JS,dishwasher,clean dishes,dishes,dish,NOUN,USM
10028531JS,guard,security,security,security,VERB,USM
10028531JS,guard,party,party,party,NOUN,USM
10028531JS,guard,home,home,home,ADV,USM
10028531JS,guard,events,events,event,NOUN,USM
10028531JS,adapter,internet,internet,internet,NOUN,USM
10028531JS,adapter,phone,phone,phone,NOUN,USM
10028531JS,adapter,wifi,wifi,wifi,X,USM
10028531JS,espresso,drink,drink,drink,NOUN,USM
10028531JS,espresso,smell,smell,smell,VERB,USM
10028531JS,Elevator,going placers ,going,go,VERB,USM
10028531JS,Elevator,going placers ,placers,place,NOUN,USM
10028531JS,eyeball,too see,see,see,VERB,USM
10064738KL,loo,flush,flush,flush,VERB,USM
10064738KL,loo,pee,pee,pee,VERB,USM
10064738KL,loo,poop,poop,poop,VERB,USM
10064738KL,recruiter,speak,speak,speak,VERB,USM
10064738KL,recruiter,recruit,recruit,recruit,VERB,USM
10064738KL,marionette,manipulate,manipulate,manipulate,VERB,USM
10064738KL,marionette,move,move,move,VERB,USM
10064738KL,marionette,watch,watch,watch,VERB,USM
10064738KL,chopsticks,clean,clean,clean,VERB,USM
10064738KL,chopsticks,eat with,eat,eat,VERB,USM
10064738KL,streetwalker,hit,hit,hit,VERB,USM
10064738KL,streetwalker,watch,watch,watch,VERB,USM
10064738KL,streetwalker,avoid,avoid,avoid,VERB,USM
10064738KL,puppy,pet,pet,pet,VERB,USM
10064738KL,puppy,feed,feed,feed,VERB,USM
10064738KL,puppy,play,play,play,VERB,USM
10064738KL,cubical,decorate,decorate,decorate,VERB,USM
10064738KL,cubical,sit,sit,sit,VERB,USM
10064738KL,cubical,hide,hide,hide,VERB,USM
10064738KL,melon,eat,eat,eat,VERB,USM
10064738KL,melon,cut,cut,cut,VERB,USM
10064738KL,melon,serve,serve,serve,VERB,USM
10064738KL,horsefly,swat,swat,swat,VERB,USM
10064738KL,horsefly,kill,kill,kill,VERB,USM
10064738KL,horsefly,avoid,avoid,avoid,VERB,USM
10064738KL,peacock,watch,watch,watch,VERB,USM
10064738KL,peacock,help,help,help,VERB,USM
10064738KL,peacock,feed,feed,feed,VERB,USM
10064738KL,peacock,shelter,shelter,shelter,VERB,USM
10064738KL,drawer,fill,fill,fill,VERB,USM
10064738KL,drawer,push,push,push,VERB,USM
10064738KL,drawer,close,close,close,VERB,USM
10064738KL,eggbeater,spin,spin,spin,VERB,USM
10064738KL,eggbeater,wash,wash,wash,VERB,USM
10064738KL,eggbeater,pump,pump,pump,VERB,USM
10064738KL,eggbeater,clean,clean,clean,VERB,USM
10064738KL,eggbeater,crank,crank,crank,VERB,USM
10064738KL,dancer,watch,watch,watch,VERB,USM
10064738KL,dancer,train,train,train,VERB,USM
10064738KL,dancer,coach,coach,coach,VERB,USM
10064738KL,chinchilla,pet,pet,pet,VERB,USM
10064738KL,chinchilla,feed,feed,feed,VERB,USM
10064738KL,chinchilla,eat,eat,eat,VERB,USM
10064738KL,cassette,play,play,play,VERB,USM
10064738KL,cassette,listen,listen,listen,VERB,USM
10064738KL,cassette,rewind,rewind,rewind,VERB,USM
10064738KL,cassette,record,record,record,VERB,USM
10064738KL,advisor,speak,speak,speak,VERB,USM
10064738KL,advisor,question,question,question,VERB,USM
10064738KL,canvas,paint,paint,paint,VERB,USM
10064738KL,canvas,color,color,color,VERB,USM
10064738KL,canvas,schoolwork,schoolwork,schoolwork,NOUN,USM
10064738KL,canvas,communicate,communicate,communicate,VERB,USM
10064738KL,canvas,create,create,create,VERB,USM
10064738KL,kiwi,eat,eat,eat,VERB,USM
