Username,Condition.Description,Stimuli.Cue,Procedure.Trial.Type,affordance_parsed,word,lemma,POS,Source
AllieBorcherts,Version 15,lifeboat,BOI,save life,save,save,VERB,Clemson
AllieBorcherts,Version 15,lifeboat,BOI,save life,life,life,NOUN,Clemson
AllieBorcherts,Version 15,lifeboat,BOI,sailing,sailing,sail,VERB,Clemson
AllieBorcherts,Version 15,lifeboat,BOI,fishing,fishing,fish,VERB,Clemson
AllieBorcherts,Version 15,refrigerator,BOI,keep food cold,keep,keep,VERB,Clemson
AllieBorcherts,Version 15,refrigerator,BOI,keep food cold,food,food,NOUN,Clemson
AllieBorcherts,Version 15,refrigerator,BOI,keep food cold,cold,cold,ADJ,Clemson
AllieBorcherts,Version 15,refrigerator,BOI,keep body cold if a/c is out,keep,keep,VERB,Clemson
AllieBorcherts,Version 15,refrigerator,BOI,keep body cold if a/c is out,body,body,NOUN,Clemson
AllieBorcherts,Version 15,refrigerator,BOI,keep body cold if a/c is out,cold,cold,ADJ,Clemson
AllieBorcherts,Version 15,refrigerator,BOI,keep body cold if a/c is out,c,class,NOUN,Clemson
AllieBorcherts,Version 15,refrigerator,BOI,thaw meat,thaw,thaw,VERB,Clemson
AllieBorcherts,Version 15,refrigerator,BOI,thaw meat,meat,meat,NOUN,Clemson
AllieBorcherts,Version 15,refrigerator,BOI,chill drinks,chill,chill,VERB,Clemson
AllieBorcherts,Version 15,refrigerator,BOI,chill drinks,drinks,drink,VERB,Clemson
AllieBorcherts,Version 15,teapot,BOI,hold tea,hold,hold,VERB,Clemson
AllieBorcherts,Version 15,teapot,BOI,hold tea,tea,tea,VERB,Clemson
AllieBorcherts,Version 15,teapot,BOI,make tea,make,make,VERB,Clemson
AllieBorcherts,Version 15,teapot,BOI,make tea,tea,tea,VERB,Clemson
AllieBorcherts,Version 15,teapot,BOI,decoration,decoration,decorate,VERB,Clemson
AllieBorcherts,Version 15,apartment,BOI,gives shelter,gives,give,VERB,Clemson
AllieBorcherts,Version 15,apartment,BOI,gives shelter,shelter,shelter,VERB,Clemson
AllieBorcherts,Version 15,apartment,BOI,place to cook,place,place,NOUN,Clemson
AllieBorcherts,Version 15,apartment,BOI,place to cook,cook,cake,VERB,Clemson
AllieBorcherts,Version 15,apartment,BOI,place to sleep,place,place,NOUN,Clemson
AllieBorcherts,Version 15,apartment,BOI,place to sleep,sleep,sleep,VERB,Clemson
