Participant id,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth
63d40c7c2cab68bcddd48981,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
5c15a1a42b16ba0001c96185,,41,Female,White,Canada
63117718025bf2d9641bbb33,,28,Male,White,Kenya
60fcc3f5c434daa5be39711b,,22,Female,White,United States
60be9a48485035f695edfdfb,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
5934fb0a67011200014d3a50,,25,Female,Asian,Canada
63cf076501a713bf89f4395f,,20,Female,White,United Kingdom
5e3f04fdb721da159417a725,,53,Female,White,United Kingdom
61087a2a957d0234ef638e61,,25,Female,White,Canada
5e0fdde8b638537085d51b6c,,28,Female,Asian,United Kingdom
5fb45df6ce203a13f34ac0af,,38,Female,White,Canada
5f6f9baca584d55393f7d016,,44,Female,White,United Kingdom
637ffd0ae752c8e33f91798b,,34,Male,White,United Kingdom
62f108ab1d119c891d45ae6a,,38,Female,White,New Zealand
5a840fcfb093f80001a7cf78,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63d466295bd9af16a5e3437b,,28,Male,White,United Kingdom
607132b2f83c182c8800f69a,,21,Female,White,Canada
6384e7ace367524b381977c6,,59,Female,Black,United States
5f9e394bfc6fc63e6317cf9f,,21,Female,White,United States
63d40c7c2cab68bcddd48981,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
5c15a1a42b16ba0001c96185,,43,Female,White,Canada
63117718025bf2d9641bbb33,,29,Male,White,Kenya
60fcc3f5c434daa5be39711b,,23,Female,White,United States
60be9a48485035f695edfdfb,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
5934fb0a67011200014d3a50,,27,Female,Asian,Canada
63cf076501a713bf89f4395f,,21,Female,White,United Kingdom
5e3f04fdb721da159417a725,,54,Female,White,United Kingdom
61087a2a957d0234ef638e61,,26,Female,White,Canada
5e0fdde8b638537085d51b6c,,29,Female,Asian,United Kingdom
5fb45df6ce203a13f34ac0af,,39,Female,White,Canada
5f6f9baca584d55393f7d016,,45,Female,White,United Kingdom
637ffd0ae752c8e33f91798b,,35,Male,White,United Kingdom
62f108ab1d119c891d45ae6a,,40,Female,White,New Zealand
5a840fcfb093f80001a7cf78,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
63d466295bd9af16a5e3437b,,30,Male,White,United Kingdom
607132b2f83c182c8800f69a,,22,Female,White,Canada
6384e7ace367524b381977c6,,60,Female,Black,United States
5f9e394bfc6fc63e6317cf9f,,23,Female,White,United States
