Participant id,Highest education level completed,Age,Sex,Ethnicity simplified,Country of birth
616c9332fbd4c31a4973114c,,30,Female,White,United Kingdom
5b76b153fca8d90001393cc2,,24,Male,White,United Kingdom
5c697595194f900001b5cf9d,,47,Female,White,United Kingdom
5e164581049d60000e851982,,54,Female,White,United States
5e558a199c4fde59f646363f,,26,Male,White,United Kingdom
5714e0958adadb00098deed4,,31,Male,Black,Nigeria
5a5a4bc8e0cf3d0001267426,,59,Female,White,United Kingdom
5c434051c394d20001611c1c,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
5ab782fe47a9f70001539d00,,57,Male,White,United Kingdom
5d2b020653a8240001152207,,34,Female,Black,United Kingdom
598b5aad3085380001163e51,,28,Female,White,United Kingdom
5c3f3ae7d831ed0001f78c4f,,36,Female,White,United Kingdom
5da74e9437d4210016492810,,52,Male,White,Canada
600c93b1685f793b2f90262c,,43,Female,White,United Kingdom
5c6410d4bcec6a00019fe6b7,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
5efc6a4ba720250009909dfe,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
62b34eef7b8919ea4666daee,,35,Male,White,United Kingdom
62a736fe5a4e3172a77b266c,,61,Male,White,Italy
614da66d7f267237bf6d05e6,,62,Male,White,United Kingdom
5495fbf9fdf99b50089f79d8,,53,Female,White,United Kingdom
5c5a98c42032f30001ba94fd,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
5d6fd7cf855c8c0018fbaa30,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
56a7da16c89737000b22953c,,60,Female,White,United Kingdom
55d5b77ddb6a810006fa05d5,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
55146e64fdf99b253d5b1c5d,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
60cf6ac511be7d68ef982d47,,28,Female,White,United Kingdom
5d599edd98cf220016ec562e,,66,Male,White,United Kingdom
5daa828510839e0016aa193b,,21,Female,Asian,Canada
56153d5e7ffc8a000a811ba8,,40,Female,White,United Kingdom
5da09f733c3367001a72dec6,,21,Female,White,United Kingdom
5ee1216a2a8a214e2ac6fb8b,,62,Female,White,United Kingdom
5f0874db34894f07bd04f436,,43,Male,White,United Kingdom
5f516d96bf6cde3b04b94b69,,32,Male,White,Canada
616c9332fbd4c31a4973114c,,31,Female,White,United Kingdom
5b76b153fca8d90001393cc2,,25,Male,White,United Kingdom
5c697595194f900001b5cf9d,,48,Female,White,United Kingdom
5e164581049d60000e851982,,55,Female,White,United States
5e558a199c4fde59f646363f,,28,Male,White,United Kingdom
5714e0958adadb00098deed4,,32,Male,Black,Nigeria
5a5a4bc8e0cf3d0001267426,,61,Female,White,United Kingdom
5ab782fe47a9f70001539d00,,58,Male,White,United Kingdom
5c434051c394d20001611c1c,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
5d2b020653a8240001152207,,35,Female,Black,United Kingdom
598b5aad3085380001163e51,,29,Female,White,United Kingdom
5c3f3ae7d831ed0001f78c4f,,38,Female,White,United Kingdom
5da74e9437d4210016492810,,54,Male,White,Canada
600c93b1685f793b2f90262c,,45,Female,White,United Kingdom
5c6410d4bcec6a00019fe6b7,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
5efc6a4ba720250009909dfe,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
62b34eef7b8919ea4666daee,,36,Male,White,United Kingdom
62a736fe5a4e3172a77b266c,,63,Male,White,Italy
614da66d7f267237bf6d05e6,,64,Male,White,United Kingdom
5495fbf9fdf99b50089f79d8,,55,Female,White,United Kingdom
5c5a98c42032f30001ba94fd,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
5d6fd7cf855c8c0018fbaa30,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
56a7da16c89737000b22953c,,61,Female,White,United Kingdom
55d5b77ddb6a810006fa05d5,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
55146e64fdf99b253d5b1c5d,,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
60cf6ac511be7d68ef982d47,,29,Female,White,United Kingdom
5d599edd98cf220016ec562e,,66,Male,White,United Kingdom
5daa828510839e0016aa193b,,22,Female,Asian,Canada
56153d5e7ffc8a000a811ba8,,41,Female,White,United Kingdom
5da09f733c3367001a72dec6,,23,Female,White,United Kingdom
5ee1216a2a8a214e2ac6fb8b,,63,Female,White,United Kingdom
5f0874db34894f07bd04f436,,44,Male,White,United Kingdom
5f516d96bf6cde3b04b94b69,,33,Male,White,Canada
