"Username","Trial","Condition.Number","Condition.Notes","Stimuli.Cue","Procedure.Item","Procedure.Max.Time","Procedure.Min.Time","Response.RT","Response.RTfirst","Response.RTlast","affordance","affordance_corrected"
"10012878_CL",11,2,"List 2","undergarment",59,"-","-",46282,2552,29816,"wearing","wearing"
"10012878_CL",11,2,"List 2","undergarment",59,"-","-",46282,2552,29816,"throwing","throwing"
"10012878_CL",11,2,"List 2","undergarment",59,"-","-",46282,2552,29816,"fashion","fashion"
"10012878_CL",11,2,"List 2","undergarment",59,"-","-",46282,2552,29816,"coverage","coverage"
"10012878_CL",11,2,"List 2","undergarment",59,"-","-",46282,2552,29816,"attention","attention"
"10012878_CL",12,2,"List 2","assemblyman",60,"-","-",36999,3300,22327,"construction","construction"
"10012878_CL",12,2,"List 2","assemblyman",60,"-","-",36999,3300,22327,"assistance","assistance"
"10012878_CL",12,2,"List 2","assemblyman",60,"-","-",36999,3300,22327,"work","work"
"10012878_CL",13,2,"List 2","trap",58,"-","-",26276,5017,10520,"opening","opening"
"10012878_CL",13,2,"List 2","trap",58,"-","-",26276,5017,10520,"closing","closing"
"10012878_CL",13,2,"List 2","trap",58,"-","-",26276,5017,10520,"tricking","tricking"
"10012878_CL",14,2,"List 2","lettuce",34,"-","-",24155,2118,22202,"salad","salad"
"10012878_CL",14,2,"List 2","lettuce",34,"-","-",24155,2118,22202,"food","food"
"10012878_CL",14,2,"List 2","lettuce",34,"-","-",24155,2118,22202,"cooking","cooking"
"10012878_CL",14,2,"List 2","lettuce",34,"-","-",24155,2118,22202,"feed","feed"
"10012878_CL",14,2,"List 2","lettuce",34,"-","-",24155,2118,22202,"tossing","tossing"
"10012878_CL",15,2,"List 2","courtyard",32,"-","-",45778,2611,11453,"viewing","viewing"
"10012878_CL",15,2,"List 2","courtyard",32,"-","-",45778,2611,11453,"relaxing","relaxing"
"10012878_CL",16,2,"List 2","godmother",47,"-","-",15972,1974,14738,"talking","talking"
"10012878_CL",16,2,"List 2","godmother",47,"-","-",15972,1974,14738,"asking","asking"
"10012878_CL",16,2,"List 2","godmother",47,"-","-",15972,1974,14738,"cooking","cooking"
