"Username","Trial","Condition.Description","Stimuli.Cue","Procedure.Trial.Type","affordance_parsed","affordance_corrected"
"54a9b72efdf99b57183eb640",11,"Version 24","floor","BOI","walking","walking"
"54a9b72efdf99b57183eb640",11,"Version 24","floor","BOI","jumping","jumping"
"54a9b72efdf99b57183eb640",11,"Version 24","floor","BOI","lying down","lying down"
"54a9b72efdf99b57183eb640",11,"Version 24","floor","BOI","dancing","dancing"
"54a9b72efdf99b57183eb640",13,"Version 24","smuggler","BOI","contraband","contraband"
"54a9b72efdf99b57183eb640",13,"Version 24","smuggler","BOI","spying","spying"
"54a9b72efdf99b57183eb640",14,"Version 24","bong","BOI","smoking","smoking"
"54a9b72efdf99b57183eb640",14,"Version 24","bong","BOI","passing around","passing around"
"54a9b72efdf99b57183eb640",14,"Version 24","bong","BOI","socialising","socialize"
"54a9b72efdf99b57183eb640",15,"Version 24","placard","BOI","advertising","advertising"
"54a9b72efdf99b57183eb640",16,"Version 24","parcel","BOI","opening","opening"
"54a9b72efdf99b57183eb640",16,"Version 24","parcel","BOI","sending","sending"
"54a9b72efdf99b57183eb640",16,"Version 24","parcel","BOI","presents","presents"
"54a9b72efdf99b57183eb640",17,"Version 24","wildlife","BOI","looking at","looking at"
"54a9b72efdf99b57183eb640",17,"Version 24","wildlife","BOI","studying","studying"
"54a9b72efdf99b57183eb640",17,"Version 24","wildlife","BOI","aweing","an"
"54a9b72efdf99b57183eb640",18,"Version 24","fir","BOI","heat","heat"
"54a9b72efdf99b57183eb640",18,"Version 24","fir","BOI","fire","fire"
"54a9b72efdf99b57183eb640",18,"Version 24","fir","BOI","keeping warm","keeping warm"
"54a9b72efdf99b57183eb640",19,"Version 24","cricket","BOI","playing","playing"
"54a9b72efdf99b57183eb640",19,"Version 24","cricket","BOI","watching","watching"
"54a9b72efdf99b57183eb640",20,"Version 24","charcoal","BOI","drawing","drawing"
"54a9b72efdf99b57183eb640",20,"Version 24","charcoal","BOI","heat","heat"
"54a9b72efdf99b57183eb640",20,"Version 24","charcoal","BOI","fire","fire"
"54a9b72efdf99b57183eb640",20,"Version 24","charcoal","BOI","making a mess","making a mess"
"54a9b72efdf99b57183eb640",21,"Version 24","puck","BOI","hockey","hockey"
"54a9b72efdf99b57183eb640",21,"Version 24","puck","BOI","hitting","hitting"
"54a9b72efdf99b57183eb640",22,"Version 24","herb","BOI","cooking","cooking"
"54a9b72efdf99b57183eb640",22,"Version 24","herb","BOI","smelling","smelling"
"54a9b72efdf99b57183eb640",22,"Version 24","herb","BOI","growing","growing"
"54a9b72efdf99b57183eb640",23,"Version 24","nightlight","BOI","safety","safety"
"54a9b72efdf99b57183eb640",23,"Version 24","nightlight","BOI","marking the way","marking the way"
"54a9b72efdf99b57183eb640",24,"Version 24","enemy","BOI","unsure","unsure"
"54a9b72efdf99b57183eb640",25,"Version 24","lampshade","BOI","decoration","decoration"
"54a9b72efdf99b57183eb640",25,"Version 24","lampshade","BOI","light diffusion","light diffusion"
"54a9b72efdf99b57183eb640",26,"Version 24","harp","BOI","playing","playing"
"54a9b72efdf99b57183eb640",26,"Version 24","harp","BOI","looking at","looking at"
"54a9b72efdf99b57183eb640",26,"Version 24","harp","BOI","plucking","plucking"
"54a9b72efdf99b57183eb640",27,"Version 24","hibiscus","BOI","drinking","drinking"
"54a9b72efdf99b57183eb640",27,"Version 24","hibiscus","BOI","eating","eating"
"54a9b72efdf99b57183eb640",27,"Version 24","hibiscus","BOI","cooking","cooking"
"54a9b72efdf99b57183eb640",27,"Version 24","hibiscus","BOI","smelling","smelling"
"54a9b72efdf99b57183eb640",28,"Version 24","sugar","BOI","eating","eating"
"54a9b72efdf99b57183eb640",28,"Version 24","sugar","BOI","cooking","cooking"
"54a9b72efdf99b57183eb640",28,"Version 24","sugar","BOI","baking","baking"
"54a9b72efdf99b57183eb640",28,"Version 24","sugar","BOI","cookies","cookies"
"54a9b72efdf99b57183eb640",29,"Version 24","gymnasium","BOI","working out","working out"
"54a9b72efdf99b57183eb640",29,"Version 24","gymnasium","BOI","gymnastics","gymnastics"
"54a9b72efdf99b57183eb640",29,"Version 24","gymnasium","BOI","eating lunch","eating lunch"
"54a9b72efdf99b57183eb640",29,"Version 24","gymnasium","BOI","studying","studying"
"54a9b72efdf99b57183eb640",30,"Version 24","giblets","BOI","throwing in the bin","throwing in the bin"
"54a9b72efdf99b57183eb640",31,"Version 24","artichoke","BOI","eating","eating"
"54a9b72efdf99b57183eb640",31,"Version 24","artichoke","BOI","chopping","chopping"
"54a9b72efdf99b57183eb640",32,"Version 24","quarters","BOI","spending","spending"
"54a9b72efdf99b57183eb640",32,"Version 24","quarters","BOI","saving","saving"
"54a9b72efdf99b57183eb640",33,"Version 24","shin","BOI","kicking","kicking"
"54a9b72efdf99b57183eb640",34,"Version 24","cactus","BOI","pricking finger","pricking finger"
"54a9b72efdf99b57183eb640",34,"Version 24","cactus","BOI","watering","watering"
