Stimuli.Cue,affordance_parsed,word,lemma,POS,Source
floor,walking,walking,walk,VERB,Prolific
floor,jumping,jumping,jump,VERB,Prolific
floor,lying down,lying,lie down,VERB,Prolific
floor,dancing,dancing,dance,VERB,Prolific
smuggler,contraband,contraband,contraband,NOUN,Prolific
smuggler,spying,spying,spy,VERB,Prolific
bong,smoking,smoking,smoke,VERB,Prolific
bong,passing around,passing,pass,VERB,Prolific
bong,passing around,around,around,ADV,Prolific
bong,socialising,socialize,socialize,VERB,Prolific
placard,advertising,advertising,advertise,VERB,Prolific
parcel,opening,opening,open,VERB,Prolific
parcel,sending,sending,send,VERB,Prolific
parcel,presents,presents,present,VERB,Prolific
wildlife,looking at,looking,look,VERB,Prolific
wildlife,studying,studying,study,VERB,Prolific
fir,heat,heat,heat,VERB,Prolific
fir,fire,fire,fire,VERB,Prolific
fir,keeping warm,keeping,keep,VERB,Prolific
fir,keeping warm,warm,warm,VERB,Prolific
cricket,playing,playing,play,VERB,Prolific
cricket,watching,watching,watch,VERB,Prolific
charcoal,drawing,drawing,drawe,VERB,Prolific
charcoal,heat,heat,heat,VERB,Prolific
charcoal,fire,fire,fire,VERB,Prolific
charcoal,making a mess,making,make,NOUN,Prolific
charcoal,making a mess,mess,mess,VERB,Prolific
puck,hockey,hockey,hockey,NOUN,Prolific
puck,hitting,hitting,hit,VERB,Prolific
herb,cooking,cooking,cook,VERB,Prolific
herb,smelling,smelling,smell,VERB,Prolific
herb,growing,growing,grow,VERB,Prolific
nightlight,safety,safety,safety,NOUN,Prolific
nightlight,marking the way,marking,mark,VERB,Prolific
nightlight,marking the way,way,way,NOUN,Prolific
enemy,unsure,unsure,unsure,ADJ,Prolific
lampshade,decoration,decoration,decorate,VERB,Prolific
lampshade,light diffusion,light,light,VERB,Prolific
lampshade,light diffusion,diffusion,diffuse,VERB,Prolific
harp,playing,playing,play,VERB,Prolific
harp,looking at,looking,look,VERB,Prolific
harp,plucking,plucking,pluck,VERB,Prolific
hibiscus,drinking,drinking,drink,VERB,Prolific
hibiscus,eating,eating,eat,VERB,Prolific
hibiscus,cooking,cooking,cook,VERB,Prolific
hibiscus,smelling,smelling,smell,VERB,Prolific
sugar,eating,eating,eat,VERB,Prolific
sugar,cooking,cooking,cook,VERB,Prolific
sugar,baking,baking,bake,VERB,Prolific
sugar,cookies,cookies,cookie,NOUN,Prolific
gymnasium,working out,working,work,VERB,Prolific
gymnasium,gymnastics,gymnastics,gymnastic,NOUN,Prolific
gymnasium,eating lunch,eating,eat,VERB,Prolific
gymnasium,eating lunch,lunch,lunch,NOUN,Prolific
gymnasium,studying,studying,study,VERB,Prolific
giblets,throwing in the bin,throwing,throw,VERB,Prolific
giblets,throwing in the bin,bin,bin,NOUN,Prolific
artichoke,eating,eating,eat,VERB,Prolific
artichoke,chopping,chopping,chop,VERB,Prolific
quarters,spending,spending,spend,VERB,Prolific
quarters,saving,saving,save,VERB,Prolific
shin,kicking,kicking,kick,VERB,Prolific
cactus,pricking finger,pricking,prick,VERB,Prolific
cactus,pricking finger,finger,finger,NOUN,Prolific
cactus,watering,watering,wate,VERB,Prolific
cactus,pruning,pruning,prun,VERB,Prolific
cactus,looking at,looking,look,VERB,Prolific
breast,bounce,bounce,bounce,VERB,Prolific
breast,feeding a baby,feeding,feed,VERB,Prolific
breast,feeding a baby,baby,baby,NOUN,Prolific
rock,dance,dance,dance,VERB,Prolific
rock,look at,look,look,VERB,Prolific
rock,paint,paint,paint,VERB,Prolific
leotard,wear,wear,wear,VERB,Prolific
leotard,dance,dance,dance,VERB,Prolific
leotard,perform,perform,perform,VERB,Prolific
blueberry,eat,eat,eat,VERB,Prolific
blueberry,drink,drink,drink,VERB,Prolific
blueberry,squash,squash,squash,VERB,Prolific
woodpecker,watch,watch,watch,VERB,Prolific
woodpecker,listen,listen,listen,VERB,Prolific
woodpecker,follow,follow,follow,VERB,Prolific
pad,write,write,write,VERB,Prolific
pad,draw,draw,dree,VERB,Prolific
pad,colour ,color,color,VERB,Prolific
kilt,clothing ,clothing,clothes,NOUN,Prolific
mulch,food,food,food,VERB,Prolific
mulch,munch ,munch,munch,VERB,Prolific
motorboat,river,river,river,NOUN,Prolific
motorboat,ride,ride,ride,VERB,Prolific
motorboat,vehicle ,vehicle,vehicle,NOUN,Prolific
eyelid,face,face,face,NOUN,Prolific
eyelid,eyes,eyes,eyes,NOUN,Prolific
eyelid,look,look,look,VERB,Prolific
radish,food,food,food,NOUN,Prolific
radish,vegetables ,vegetables,vegetables,NOUN,Prolific
funnel,kitchen,kitchen,kitchen,NOUN,Prolific
funnel,drain,drain,drain,VERB,Prolific
funnel,food,food,food,NOUN,Prolific
funnel,drink,drink,drink,VERB,Prolific
daddy,person,person,person,NOUN,Prolific
daddy,child,child,child,NOUN,Prolific
daddy,human,human,human,ADJ,Prolific
eyebath,cotton wool,cotton,cotton,NOUN,Prolific
eyebath,cotton wool,wool,wool,INTJ,Prolific
eyebath,face ,face,face,NOUN,Prolific
suspender,clothing,clothing,clothes,NOUN,Prolific
suspender,legs ,legs,leg,NOUN,Prolific
peanut,eat,eat,eat,VERB,Prolific
peanut,prepare,prepare,prepare,VERB,Prolific
peanut,snack,snack,snack,VERB,Prolific
conductor,teacher,teacher,teach,VERB,Prolific
grandniece,family,family,family,NOUN,Prolific
grandniece,human ,human,human,ADJ,Prolific
cushion,seat,seat,sit,VERB,Prolific
cushion,sofa,sofa,sofa,NOUN,Prolific
silk,clothing,clothing,clothes,NOUN,Prolific
silk,shoes ,shoes,shoe,VERB,Prolific
mucous,food,food,food,NOUN,Prolific
banquet,outfit,outfit,outfit,NOUN,Prolific
banquet,clothing ,clothing,clothes,NOUN,Prolific
pine,wood,wood,wood,NOUN,Prolific
pine,trees,trees,tree,NOUN,Prolific
person,human,human,human,ADJ,Prolific
medic,hospital,hospital,hospital,NOUN,Prolific
medic,ambulance ,ambulance,ambulance,NOUN,Prolific
salesman,shop,shop,shop,VERB,Prolific
grapevine,french,french,french,ADJ,Prolific
grapevine,wine,wine,wine,NOUN,Prolific
people,family,family,family,NOUN,Prolific
controller,tv remote,tv,tv,X,Prolific
controller,tv remote,remote,remote,ADJ,Prolific
controller,game controller ,game,game controller,NOUN,Prolific
cheese,sandwich,sandwich,sandwich,NOUN,Prolific
cheese,crackers,crackers,cracker,NOUN,Prolific
tent,hill day,hill,hill,ADV,Prolific
tent,hill day,day,day,NOUN,Prolific
tent,glamping ,glamping,glamp,VERB,Prolific
goldfish,animals,animals,animal,NOUN,Prolific
goldfish,fish,fish,fish,NOUN,Prolific
goldfish,pets,pets,pet,VERB,Prolific
store,shop,shop,shop,NOUN,Prolific
store,food,food,food,NOUN,Prolific
Guitar,music,music,music,VERB,Prolific
Guitar,instruments ,instruments,instrument,VERB,Prolific
storeroom,shop,shop,shop,VERB,Prolific
storeroom,office,office,office,NOUN,Prolific
oilcloth,tableclothes,tablecloths,tablecloth,NOUN,Prolific
oilcloth,waterproof clothing.,waterproof,waterproof,VERB,Prolific
oilcloth,waterproof clothing.,clothing,clothes,NOUN,Prolific
obstetrician,checking pregnant women. teaching,checking,check,VERB,Prolific
obstetrician,checking pregnant women. teaching,pregnant,pregnant,ADJ,Prolific
obstetrician,checking pregnant women. teaching,women,woman,NOUN,Prolific
obstetrician,checking pregnant women. teaching,teaching,teach,VERB,Prolific
obstetrician,emergencies.,emergencies,emergency,NOUN,Prolific
theatergoer,to watch a show,watch,watch,VERB,Prolific
theatergoer,to watch a show,show,show,VERB,Prolific
theatergoer,to give feedback on a show.,give,give,VERB,Prolific
theatergoer,to give feedback on a show.,feedback,feedback,NOUN,Prolific
theatergoer,to give feedback on a show.,show,show,VERB,Prolific
sketchbook,write,write,write,VERB,Prolific
sketchbook,diary,diary,diary,VERB,Prolific
sketchbook,journal,journal,journal,VERB,Prolific
