"Username","Condition.Description","Stimuli.Cue","Procedure.Trial.Type","affordance_parsed","word","lemma","POS"
"M10248901KMM","Version 8","excavator","BOI","move things","move","move","VERB"
"M10248901KMM","Version 8","excavator","BOI","move things","things","thing","NOUN"
"M10248901KMM","Version 8","excavator","BOI","create holes","create","create","VERB"
"M10248901KMM","Version 8","excavator","BOI","create holes","holes","hole","NOUN"
"M10248901KMM","Version 8","excavator","BOI","dig","dig","dig","X"
"M10248901KMM","Version 8","excavator","BOI","ride in","ride","ride","NOUN"
"M10248901KMM","Version 8","excavator","BOI","drive ","drive","drive","VERB"
"M10248901KMM","Version 8","strongbox","BOI","store personal items","store","store","NOUN"
"M10248901KMM","Version 8","strongbox","BOI","store personal items","personal","personal","ADJ"
"M10248901KMM","Version 8","strongbox","BOI","store personal items","items","item","NOUN"
"M10248901KMM","Version 8","strongbox","BOI","sit on","sit","sit","VERB"
"M10248901KMM","Version 8","strongbox","BOI","kick","kick","kick","NOUN"
"M10248901KMM","Version 8","strongbox","BOI","carry","carry","carry","VERB"
"M10248901KMM","Version 8","paperback","BOI","tear","tear","tear","NOUN"
"M10248901KMM","Version 8","paperback","BOI","bend","bend","bend","NOUN"
"M10248901KMM","Version 8","paperback","BOI","write on","write","write","X"
"M10248901KMM","Version 8","paperback","BOI","sit on","sit","sit","VERB"
"M10248901KMM","Version 8","paperback","BOI","throw","throw","throw","INTJ"
"M10248901KMM","Version 8","paperback","BOI","read","read","read","VERB"
"M10248901KMM","Version 8","paperback","BOI","rip","rip","rip","NOUN"
"M10248901KMM","Version 8","paperback","BOI","brand","brand","brand","ADV"
"M10248901KMM","Version 8","paperback","BOI","set on fire","set","set","VERB"
"M10248901KMM","Version 8","paperback","BOI","set on fire","fire","fire","NOUN"
"M10248901KMM","Version 8","plum","BOI","eat","eat","eat","VERB"
"M10248901KMM","Version 8","plum","BOI","slice","slice","slice","NOUN"
"M10248901KMM","Version 8","plum","BOI","dice","dice","dice","NOUN"
"M10248901KMM","Version 8","plum","BOI","crush","crush","crush","NOUN"
"M10248901KMM","Version 8","plum","BOI","hit","hit","hit","VERB"
"M10248901KMM","Version 8","plum","BOI","dehydrate","dehydrate","dehydrate","ADJ"
"M10248901KMM","Version 8","plum","BOI","bake","bake","bake","VERB"
"M10248901KMM","Version 8","plum","BOI","pick","pick","pick","VERB"
"M10248901KMM","Version 8","plum","BOI","eat","eat","eat","VERB"
"M10248901KMM","Version 8","body","BOI","run","run","run","NOUN"
"M10248901KMM","Version 8","body","BOI","jump","jump","jump","VERB"
