"Username","Trial","Condition.Description","Stimuli.Cue","Procedure.Item","affordance_parsed","affordance_corrected"
"20302302bw",11,"Version 19","cookie",568,"eat","eat"
"20302302bw",11,"Version 19","cookie",568,"crumbled","crumbled"
"20302302bw",11,"Version 19","cookie",568,"thrown","thrown"
"20302302bw",11,"Version 19","cookie",568,"stepped on","stepped on"
"20302302bw",11,"Version 19","cookie",568,"baked","baked"
"20302302bw",11,"Version 19","cookie",568,"frozen","frozen"
"20302302bw",11,"Version 19","cookie",568,"refrigerated","refrigerated"
"20302302bw",12,"Version 19","cage",563,"trapped","trapped"
"20302302bw",12,"Version 19","cage",563,"punishment","punishment"
"20302302bw",13,"Version 19","couch",545,"lay","lay"
"20302302bw",13,"Version 19","couch",545,"sleep","sleep"
"20302302bw",13,"Version 19","couch",545,"sit","sit"
"20302302bw",14,"Version 19","toe",566,"stubbed","stubbed"
"20302302bw",14,"Version 19","toe",566,"walking","walking"
"20302302bw",14,"Version 19","toe",566,"running","running"
"20302302bw",14,"Version 19","toe",566,"squating","skating"
"20302302bw",15,"Version 19","letterbox",560,"storage","storage"
"20302302bw",16,"Version 19","saltwater",546,"weapon","weapon"
"20302302bw",16,"Version 19","saltwater",546,"boiled","boiled"
"20302302bw",16,"Version 19","saltwater",546,"cooking pasta(when not from ocean)","cooking pasta(when not from ocean)"
"20302302bw",17,"Version 19","raft",565,"sail","sail"
"20302302bw",17,"Version 19","raft",565,"paddled","paddled"
"20302302bw",17,"Version 19","raft",565,"building","building"
"20302302bw",17,"Version 19","raft",565,"storage","storage"
"20302302bw",17,"Version 19","raft",565,"float","float"
"20302302bw",18,"Version 19","tray",548,"thrown","thrown"
"20302302bw",18,"Version 19","tray",548,"spun","spun"
"20302302bw",18,"Version 19","tray",548,"weapon","weapon"
"20302302bw",18,"Version 19","tray",548,"storage","storage"
"20302302bw",19,"Version 19","backpack",556,"storage","storage"
"20302302bw",20,"Version 19","goggles",544,"swimming","swimming"
"20302302bw",20,"Version 19","goggles",544,"snowboarding","snowboarding"
"20302302bw",20,"Version 19","goggles",544,"driving","driving"
"20302302bw",20,"Version 19","goggles",544,"flying","flying"
"20302302bw",20,"Version 19","goggles",544,"skydiving","skydiving"
"20302302bw",21,"Version 19","kerchief",542,"cleaning","cleaning"
"20302302bw",22,"Version 19","kitchen",567,"cooking","cooking"
"20302302bw",22,"Version 19","kitchen",567,"storage","storage"
"20302302bw",22,"Version 19","kitchen",567,"baking","baking"
"20302302bw",23,"Version 19","vulva",562,"pleasure","pleasure"
"20302302bw",24,"Version 19","splinter",564,"removal","removal"
"20302302bw",24,"Version 19","splinter",564,"pain","pain"
"20302302bw",25,"Version 19","treadmill",569,"exercise","exercise"
"20302302bw",25,"Version 19","treadmill",569,"physical therapy ","physical therapy "
"20302302bw",26,"Version 19","goose",554,"eating","eating"
"20302302bw",26,"Version 19","goose",554,"fertilizer ","fertilizer "
"20302302bw",27,"Version 19","godparent",552,"teaching","teaching"
"20302302bw",27,"Version 19","godparent",552,"guardian ","guardian "
"20302302bw",28,"Version 19","tear",557,"crying","crying"
"20302302bw",29,"Version 19","bagpipes",551,"music","music"
"20302302bw",29,"Version 19","bagpipes",551,"annoy people","annoy people"
"20302302bw",29,"Version 19","bagpipes",551,"stepped on","stepped on"
"20302302bw",30,"Version 19","silkworm",571,"cocoons","cocoons"
"20302302bw",30,"Version 19","silkworm",571,"eating","eating"
"20302302bw",30,"Version 19","silkworm",571,"clothing","clothing"
"20302302bw",31,"Version 19","yardstick",570,"measuring","measuring"
"20302302bw",31,"Version 19","yardstick",570,"building","building"
"20302302bw",31,"Version 19","yardstick",570,"science","science"
