"Username","Condition.Description","Stimuli.Cue","Procedure.Trial.Type","affordance_parsed","word","lemma","POS"
"aidanwhiteAB","Version 86","alcohol","BOI","driving","driving","drive","VERB"
"aidanwhiteAB","Version 86","alcohol","BOI","partying","partying","party","VERB"
"aidanwhiteAB","Version 86","wrench","BOI","tightening","tightening","tightene","VERB"
"aidanwhiteAB","Version 86","wrench","BOI","loosening","loosening","loose","VERB"
"aidanwhiteAB","Version 86","glitter","BOI","decorating","decorating","decorate","VERB"
"aidanwhiteAB","Version 86","wax","BOI","burning","burning","burn","VERB"
"aidanwhiteAB","Version 86","riverboat","BOI","riding","riding","ride","NOUN"
"aidanwhiteAB","Version 86","riverboat","BOI","living","living","live","NOUN"
"aidanwhiteAB","Version 86","assassin","BOI","killing","killing","kill","VERB"
"aidanwhiteAB","Version 86","forearm","BOI","extending","extending","extend","VERB"
"aidanwhiteAB","Version 86","chip","BOI","eating","eating","eat","VERB"
"aidanwhiteAB","Version 86","chip","BOI","playing","playing","play","VERB"
"aidanwhiteAB","Version 86","boutique","BOI","shopping","shopping","shopping","NOUN"
"aidanwhiteAB","Version 86","searchlight","BOI","searching","searching","search","NOUN"
"aidanwhiteAB","Version 86","searchlight","BOI","illumination","illumination","illumination","NOUN"
"aidanwhiteAB","Version 86","barn","BOI","hiding","hiding","hi","VERB"
"aidanwhiteAB","Version 86","barn","BOI","sleeping","sleeping","sleep","NOUN"
"aidanwhiteAB","Version 86","barn","BOI","storing","storing","storing","NOUN"
"aidanwhiteAB","Version 86","soldier","BOI","killing","killing","kill","VERB"
"aidanwhiteAB","Version 86","gumbo","BOI","eating","eating","eat","VERB"
"aidanwhiteAB","Version 86","fillet","BOI","eating","eating","eat","VERB"
"aidanwhiteAB","Version 86","toastmaster","BOI","toasting","toasting","toast","VERB"
"aidanwhiteAB","Version 86","snowman","BOI","fun","fun","fun","NOUN"
"aidanwhiteAB","Version 86","football","BOI","throwing","throwing","throw","VERB"
"aidanwhiteAB","Version 86","football","BOI","kicking","kicking","kick","VERB"
"aidanwhiteAB","Version 86","football","BOI","sitting","sitting","sit","VERB"
"aidanwhiteAB","Version 86","taxpayer","BOI","paying","paying","pay","VERB"
"aidanwhiteAB","Version 86","taxpayer","BOI","dying","dying","die","VERB"
"aidanwhiteAB","Version 86","sapling","BOI","growing","growing","grow","VERB"
"aidanwhiteAB","Version 86","crate","BOI","storing","storing","storing","NOUN"
"aidanwhiteAB","Version 86","gravestone","BOI","marking","marking","marke","NOUN"
"aidanwhiteAB","Version 86","gravestone","BOI","remebering","remembering","remember","VERB"
"aidanwhiteAB","Version 86","rainfall","BOI","watering","watering","wate","VERB"
"beagraves","Version 58","ground","BOI","walk on ","walk","walk","VERB"
"beagraves","Version 58","jersey","BOI","wear","wear","wear","VERB"
"beagraves","Version 58","mullet","BOI","style hair","style","style","NOUN"
"beagraves","Version 58","mullet","BOI","style hair","hair","hair","NOUN"
"beagraves","Version 58","shutter","BOI","open","open","open","ADJ"
"beagraves","Version 58","shutter","BOI","close","close","close","ADJ"
"beagraves","Version 58","robber","BOI","steal","steal","steal","NOUN"
"beagraves","Version 58","tickler","BOI","make someone laugh","make","make","VERB"
"beagraves","Version 58","tickler","BOI","make someone laugh","someone","someone","PRON"
"beagraves","Version 58","tickler","BOI","make someone laugh","laugh","laugh","VERB"
"beagraves","Version 58","tulip","BOI","make flower arrangment","make","make","VERB"
"beagraves","Version 58","tulip","BOI","make flower arrangment","flower","flower","NOUN"
"beagraves","Version 58","tulip","BOI","make flower arrangment","arrangement","arrangement","NOUN"
"beagraves","Version 58","tulip","BOI","give as gift","give","give","VERB"
"beagraves","Version 58","tulip","BOI","give as gift","gift","gift","NOUN"
"beagraves","Version 58","door","BOI","open","open","open","ADJ"
"beagraves","Version 58","door","BOI","close","close","close","ADJ"
"beagraves","Version 58","door","BOI","slam","slam","slam","NOUN"
"beagraves","Version 58","door","BOI","shut","shut","shut","ADJ"
"beagraves","Version 58","spices","BOI","add flavor","add","add","VERB"
"beagraves","Version 58","spices","BOI","add flavor","flavor","flavor","NOUN"
"beagraves","Version 58","tampon","BOI","retain liquid","retain","retain","NOUN"
"beagraves","Version 58","tampon","BOI","retain liquid","liquid","liquid","AUX"
"beagraves","Version 58","tampon","BOI","plug ","plug","plug","X"
"beagraves","Version 58","supervisor","BOI","in charge","charge","charge","NOUN"
"beagraves","Version 58","postcard","BOI","send","send","send","VERB"
"beagraves","Version 58","postcard","BOI","mail","mail","mail","NOUN"
"beagraves","Version 58","sketch","BOI","drawing","drawing","drawe","VERB"
"beagraves","Version 58","Wheelchair","BOI","aid handicap","aid","aid","NOUN"
"beagraves","Version 58","Wheelchair","BOI","aid handicap","handicap","handicap","NOUN"
"beagraves","Version 58","lozenge","BOI","suck","suck","suck","VERB"
"beagraves","Version 58","lozenge","BOI","chew","chew","chew","NOUN"
"beagraves","Version 58","starch","BOI","thicken","thicken","thicken","ADV"
"beagraves","Version 58","starch","BOI","soothe","soothe","soothey","DET"
"beagraves","Version 58","cleavage","BOI","make body more appealing","make","make","VERB"
"beagraves","Version 58","cleavage","BOI","make body more appealing","body","body","NOUN"
"beagraves","Version 58","cleavage","BOI","make body more appealing","appealing","appeal","VERB"
"beagraves","Version 58","receptionist","BOI","answer phones","answer","answer","NOUN"
"beagraves","Version 58","receptionist","BOI","answer phones","phones","phone","NOUN"
"beagraves","Version 58","receptionist","BOI","take names","take","take","VERB"
"beagraves","Version 58","receptionist","BOI","take names","names","name","NOUN"
"beagraves","Version 58","whisker","BOI","mix","mix","mix","NOUN"
