Stimuli.Cue,affordance_parsed,word,lemma,POS,Source
lozenge,help a sore throat,help,help,VERB,CCSU
lozenge,help a sore throat,sore,sore,ADV,CCSU
lozenge,help a sore throat,throat,throat,NOUN,CCSU
lozenge,help coughing,help,help,VERB,CCSU
lozenge,help coughing,coughing,cough,VERB,CCSU
lozenge,eat as candy,eat,eat,VERB,CCSU
lozenge,eat as candy,candy,candy,NOUN,CCSU
spices,make something taste better,make,make,VERB,CCSU
spices,make something taste better,something,something,PRON,CCSU
spices,make something taste better,taste,taste,VERB,CCSU
spices,make something taste better,better,better,ADJ,CCSU
spices,make you sneeze,make,make,VERB,CCSU
spices,make you sneeze,sneeze,sneeze,VERB,CCSU
spices,make a spell,make,make,VERB,CCSU
spices,make a spell,spell,spell,VERB,CCSU
postcard,send a card,send,send,VERB,CCSU
postcard,send a card,card,card,NOUN,CCSU
postcard,use as spare paper,use,use,VERB,CCSU
postcard,use as spare paper,spare,spare,VERB,CCSU
postcard,use as spare paper,paper,paper,NOUN,CCSU
postcard,get to know what someone else is doing ,get,get,VERB,CCSU
postcard,get to know what someone else is doing ,know,know,VERB,CCSU
postcard,get to know what someone else is doing ,someone,someone,PRON,CCSU
postcard,get to know what someone else is doing ,else,else,ADJ,CCSU
starch,make bread,make,make,VERB,CCSU
starch,make bread,bread,bread,NOUN,CCSU
robber,steal something,steal,steal,VERB,CCSU
robber,steal something,something,something,PRON,CCSU
robber,go to jail,go,go,VERB,CCSU
robber,go to jail,jail,jail,NOUN,CCSU
robber,break out of jail,break,break out,VERB,CCSU
robber,break out of jail,jail,jail,NOUN,CCSU
robber,break into a home,break,break into,VERB,CCSU
robber,break into a home,home,home,ADV,CCSU
robber,rob a bank ,rob,rob,VERB,CCSU
robber,rob a bank ,bank,bank,NOUN,CCSU
tulip,smell,smell,smell,VERB,CCSU
tulip,plant,plant,plant,VERB,CCSU
tulip,put in a vase,put,put,VERB,CCSU
tulip,put in a vase,vase,vase,NOUN,CCSU
tulip,dry,dry,dry,VERB,CCSU
tulip,press,press,press,VERB,CCSU
newsboy,sell newspaper,sell,sell,VERB,CCSU
