"Username","Condition.Description","Stimuli.Cue","Procedure.Item","affordance_parsed","word","lemma","POS"
"M20248065JAO","Version 100","deck",2989,"play","play","play","VERB"
"M20248065JAO","Version 100","deck",2989,"arrange","arrange","arrange","VERB"
"M20248065JAO","Version 100","deck",2989,"distribute","distribute","distribute","VERB"
"M20248065JAO","Version 100","deck",2989,"lay","lay","lay","VERB"
"M20248065JAO","Version 100","wallboard",2979,"climb","climb","climb","VERB"
"M20248065JAO","Version 100","wallboard",2979,"strengthen","strengthen","strengthen","ADV"
"M20248065JAO","Version 100","wallboard",2979,"build","build","build","NOUN"
"M20248065JAO","Version 100","wallboard",2979,"break","break","break","NOUN"
"M20248065JAO","Version 100","knickers",2978,"eat","eat","eat","VERB"
"M20248065JAO","Version 100","knickers",2978,"make","make","make","VERB"
"M20248065JAO","Version 100","knickers",2978,"open","open","open","ADJ"
"M20248065JAO","Version 100","knickers",2978,"throw","throw","throw","INTJ"
"M20248065JAO","Version 100","guardrail",2992,"balance","balance","balance","NOUN"
"M20248065JAO","Version 100","guardrail",2992,"destroy","destroy","destroy","VERB"
"M20248065JAO","Version 100","guardrail",2992,"sit","sit","sit","VERB"
"M20248065JAO","Version 100","guardrail",2992,"hold","hold","hold","INTJ"
"M20248065JAO","Version 100","centipede",2987,"touch","touch","touch","NOUN"
"M20248065JAO","Version 100","centipede",2987,"play","play","play","VERB"
"M20248065JAO","Version 100","centipede",2987,"step on","step","step","NOUN"
"M20248065JAO","Version 100","greenhouse",2976,"build","build","build","NOUN"
"M20248065JAO","Version 100","greenhouse",2976,"farm","farm","farm","NOUN"
"M20248065JAO","Version 100","topaz",2993,"paint","paint","paint","VERB"
"M20248065JAO","Version 100","topaz",2993,"color","color","color","NOUN"
"M20248065JAO","Version 100","topaz",2993,"wear","wear","wear","VERB"
"M20248065JAO","Version 100","topaz",2993,"design","design","design","NOUN"
"M20248065JAO","Version 100","earplugs",2997,"remove","remove","remove","VERB"
"M20248065JAO","Version 100","earplugs",2997,"wear","wear","wear","VERB"
"M20248065JAO","Version 100","earplugs",2997,"buy","buy","buy","VERB"
"M20248065JAO","Version 100","earplugs",2997,"distribute","distribute","distribute","VERB"
"M20248065JAO","Version 100","earplugs",2997,"fit","fit","fit","VERB"
"M20248065JAO","Version 100","pulley",2974,"buy","buy","buy","VERB"
"M20248065JAO","Version 100","pulley",2974,"push","push","push","INTJ"
"M20248065JAO","Version 100","pulley",2974,"connect","connect","connect","NOUN"
"M20248065JAO","Version 100","waffle",2984,"prepare","prepare","prepare","VERB"
"M20248065JAO","Version 100","waffle",2984,"buy","buy","buy","VERB"
"M20248065JAO","Version 100","waffle",2984,"throw","throw","throw","INTJ"
"M20248065JAO","Version 100","waffle",2984,"eat","eat","eat","VERB"
"M20248065JAO","Version 100","bowling",2981,"organize","organize","organize","VERB"
"M20248065JAO","Version 100","bowling",2981,"plan","plan","plan","NOUN"
"M20248065JAO","Version 100","bowling",2981,"go","go","go","VERB"
"M20248065JAO","Version 100","tee",2985,"wear","wear","wear","VERB"
"M20248065JAO","Version 100","tee",2985,"design","design","design","NOUN"
"M20248065JAO","Version 100","tee",2985,"purchase","purchase","purchase","INTJ"
"M20248065JAO","Version 100","fieldstone",2991,"rub","rub","rub","NOUN"
"M20248065JAO","Version 100","fieldstone",2991,"throw","throw","throw","INTJ"
"M20248065JAO","Version 100","fieldstone",2991,"collect","collect","collect","NOUN"
"M20248065JAO","Version 100","Fern",2977,"prop","prop","prop","NOUN"
"M20248065JAO","Version 100","Fern",2977,"plant","plant","plant","NOUN"
"M20248065JAO","Version 100","Fern",2977,"decorate","decorate","decorate","VERB"
"M20248065JAO","Version 100","hound",2975,"hunt","hunt","hunt","NOUN"
"M20248065JAO","Version 100","hound",2975,"pet","pet","pet","NOUN"
"M20248065JAO","Version 100","breadboard",2988,"clean","clean","clean","ADJ"
"M20248065JAO","Version 100","breadboard",2988,"build","build","build","NOUN"
"M20248065JAO","Version 100","breadboard",2988,"buy","buy","buy","VERB"
"M20248065JAO","Version 100","marketeer",2990,"listen","listen","listen","VERB"
"M20248065JAO","Version 100","marketeer",2990,"question","question","question","NOUN"
"M20248065JAO","Version 100","marketeer",2990,"hire","hire","hire","VERB"
"M20248065JAO","Version 100","wrist",2994,"break","break","break","NOUN"
"M20248065JAO","Version 100","wrist",2994,"twist","twist","twist","NOUN"
"M20248065JAO","Version 100","respirator",2996,"breathe","breathe","breato","VERB"
"M20248065JAO","Version 100","respirator",2996,"connect","connect","connect","NOUN"
"M20248065JAO","Version 100","brow",2999,"shape","shape","shape","NOUN"
"M20248065JAO","Version 100","brow",2999,"color","color","color","NOUN"
"M20248065JAO","Version 100","brow",2999,"design","design","design","NOUN"
"M20248065JAO","Version 100","badminton",3000,"play","play","play","VERB"
"M20248065JAO","Version 100","badminton",3000,"purchase","purchase","purchase","INTJ"
"M20248065JAO","Version 100","debris",2972,"dust","dust","dust","NOUN"
"M20248065JAO","Version 100","debris",2972,"shake","shake","shake","NOUN"
"M20248065JAO","Version 100","debris",2972,"wipe off","wipe","wipe","INTJ"
"M20248065JAO","Version 100","dish",2982,"wash","wash","wash","INTJ"
"M20248065JAO","Version 100","dish",2982,"dry","dry","dry","ADJ"
"M20248065JAO","Version 100","dish",2982,"eat from","eat","eat","VERB"
"M20248065JAO","Version 100","waist",2998,"cinch","cinch","cinch","NOUN"
"M20248065JAO","Version 100","waist",2998,"construct","construct","construct","NOUN"
"M20248065JAO","Version 100","waist",2998,"draw","draw","dree","VERB"
"M20248065JAO","Version 100","waist",2998,"repair","repair","repair","NOUN"
"M20248065JAO","Version 100","dye",2973,"paint","paint","paint","VERB"
"M20248065JAO","Version 100","dye",2973,"mix","mix","mix","NOUN"
"M20248065JAO","Version 100","dye",2973,"prepare","prepare","prepare","VERB"
"M20248065JAO","Version 100","trampoline",2995,"jump","jump","jump","VERB"
"M20248065JAO","Version 100","trampoline",2995,"fix","fix","fix","VERB"
"M20248065JAO","Version 100","limb",2983,"stretch","stretch","stretch","NOUN"
"M20248065JAO","Version 100","limb",2983,"flex","flex","flex","SYM"
"M20263954AL","Version 2","blower",54,"throw","throw","throw","INTJ"
"M20263954AL","Version 2","blower",54,"clean","clean","clean","ADJ"
"M20263954AL","Version 2","turban",41,"wear it","wear","wear","VERB"
"M20263954AL","Version 2","turban",41,"sit on","sit","sit","VERB"
"M20263954AL","Version 2","turban",41,"throw","throw","throw","INTJ"
"M20263954AL","Version 2","turban",41,"kick","kick","kick","NOUN"
"M20263954AL","Version 2","courtyard",32,"sit in","sit","sit","VERB"
"M20263954AL","Version 2","courtyard",32,"walk","walk","walk","VERB"
"M20263954AL","Version 2","tripe",57,"eat","eat","eat","VERB"
"M20263954AL","Version 2","tripe",57,"throw","throw","throw","INTJ"
"M20263954AL","Version 2","tripe",57,"kick","kick","kick","NOUN"
"M20263954AL","Version 2","tripe",57,"cook","cook","cake","VERB"
"M20263954AL","Version 2","gondola",53,"sit in","sit","sit","VERB"
"M20263954AL","Version 2","gondola",53,"wash","wash","wash","INTJ"
"M20263954AL","Version 2","gondola",53,"travel","travel","travel","NOUN"
"M20263954AL","Version 2","gondola",53,"step on","step","step","NOUN"
"M20263954AL","Version 2","boot",42,"wear","wear","wear","VERB"
"M20263954AL","Version 2","boot",42,"throw","throw","throw","INTJ"
"M20263954AL","Version 2","boot",42,"kick","kick","kick","NOUN"
"M20263954AL","Version 2","boot",42,"sit on","sit","sit","VERB"
"M20263954AL","Version 2","barman",40,"serve","serve","serve","VERB"
"M20263954AL","Version 2","barman",40,"talk to","talk","talk","VERB"
"M20263954AL","Version 2","barman",40,"laugh ","laugh","laugh","VERB"
"M20263954AL","Version 2","hotplate",46,"heat up food","heat","heat","NOUN"
"M20263954AL","Version 2","hotplate",46,"heat up food","food","food","NOUN"
"M20263954AL","Version 2","hotplate",46,"throw it","throw","throw","INTJ"
"M20263954AL","Version 2","godmother",47,"hug","hug","hug","X"
"M20263954AL","Version 2","godmother",47,"talk to","talk","talk","VERB"
"M20263954AL","Version 2","godmother",47,"laugh with","laugh","laugh","VERB"
"M20263954AL","Version 2","godmother",47,"protect","protect","protect","VERB"
"M20263954AL","Version 2","godmother",47,"compassionate","compassionate","compassionate","ADJ"
"M20263954AL","Version 2","trap",58,"step on","step","step","NOUN"
"M20263954AL","Version 2","trap",58,"throw","throw","throw","INTJ"
"M20263954AL","Version 2","trap",58,"kick ","kick","kick","NOUN"
"M20263954AL","Version 2","bottle",36,"brake","brake","brake","NOUN"
"M20263954AL","Version 2","bottle",36,"build","build","build","NOUN"
"M20263954AL","Version 2","bottle",36,"hydrate","hydrate","hydrate","NOUN"
"M20263954AL","Version 2","bottle",36,"cut ","cut","cut","VERB"
"M20263954AL","Version 2","rainwater",61,"drink","drink","drink","NOUN"
"M20263954AL","Version 2","rainwater",61,"throw","throw","throw","INTJ"
"M20263954AL","Version 2","rainwater",61,"step in","step","step","NOUN"
"M20263954AL","Version 2","gunpowder",55,"throw","throw","throw","INTJ"
"M20263954AL","Version 2","newscaster",33,"share information","share","share","NOUN"
"M20263954AL","Version 2","newscaster",33,"share information","information","information","NOUN"
"M20263954AL","Version 2","newscaster",33,"dangerous situations","dangerous","dangerous","ADJ"
"M20263954AL","Version 2","newscaster",33,"dangerous situations","situations","situation","NOUN"
"M20263954AL","Version 2","yogurt",50,"eat","eat","eat","VERB"
"M20263954AL","Version 2","yogurt",50,"throw","throw","throw","INTJ"
"M20263954AL","Version 2","yogurt",50,"sit in","sit","sit","VERB"
"M20263954AL","Version 2","yogurt",50,"kick","kick","kick","NOUN"
"M20263954AL","Version 2","choreographer",45,"dance","dance","dance","NOUN"
"M20263954AL","Version 2","choreographer",45,"plan","plan","plan","NOUN"
"M20263954AL","Version 2","choreographer",45,"organize ","organize","organize","VERB"
"M20263954AL","Version 2","coverall",51,"wear","wear","wear","VERB"
"M20263954AL","Version 2","coverall",51,"protect oneself","protect","protect","VERB"
"M20263954AL","Version 2","coverall",51,"protect oneself","oneself","oneself","PRON"
"M20263954AL","Version 2","coverall",51,"throw","throw","throw","INTJ"
"M20263954AL","Version 2","coverall",51,"sit on","sit","sit","VERB"
"M20263954AL","Version 2","lettuce",34,"eat","eat","eat","VERB"
"M20263954AL","Version 2","lettuce",34,"disregard (throw away)","disregard","disregard","NOUN"
"M20263954AL","Version 2","lettuce",34,"disregard (throw away)","throw","throw","INTJ"
"M20263954AL","Version 2","lettuce",34,"disregard (throw away)","away","away","ADV"
"M20263954AL","Version 2","undergarment",59,"wear","wear","wear","VERB"
"M20263954AL","Version 2","undergarment",59,"burn it","burn","burn","VERB"
"M20263954AL","Version 2","undergarment",59,"throw","throw","throw","INTJ"
"M20263954AL","Version 2","toy",44,"play with","play","play","VERB"
"M20263954AL","Version 2","toy",44,"kick","kick","kick","NOUN"
"M20263954AL","Version 2","toy",44,"step on","step","step","NOUN"
"M20263954AL","Version 2","satchel",37,"wear","wear","wear","VERB"
"M20263954AL","Version 2","satchel",37,"throw","throw","throw","INTJ"
"M20263954AL","Version 2","satchel",37,"carry","carry","carry","VERB"
"M20263954AL","Version 2","satchel",37,"kick","kick","kick","NOUN"
"M20263954AL","Version 2","mice",48,"step on","step","step","NOUN"
"M20263954AL","Version 2","mice",48,"kill","kill","kill","VERB"
"M20263954AL","Version 2","mice",48,"kick","kick","kick","NOUN"
"M20263954AL","Version 2","antibiotics",56,"consume","consume","consume","NOUN"
"M20263954AL","Version 2","prankster",52,"surprise someone","surprise","surprise","NOUN"
"M20263954AL","Version 2","prankster",52,"surprise someone","someone","someone","PRON"
"M20263954AL","Version 2","prankster",52,"improve someones mood","improve","improve","VERB"
"M20263954AL","Version 2","prankster",52,"improve someones mood","someones","someone","NOUN"
"M20263954AL","Version 2","prankster",52,"improve someones mood","mood","mood","NOUN"
"M20263954AL","Version 2","prankster",52,"make someone angry","make","make","VERB"
"M20263954AL","Version 2","prankster",52,"make someone angry","someone","someone","PRON"
"M20263954AL","Version 2","prankster",52,"make someone angry","angry","angry","ADJ"
"M20263954AL","Version 2","goalpost",38,"keep ball out","keep","keep","VERB"
"M20263954AL","Version 2","goalpost",38,"keep ball out","ball","ball","NOUN"
"M20263954AL","Version 2","assemblyman",60,"legislative organization","legislative","legislative","ADJ"
"M20263954AL","Version 2","assemblyman",60,"legislative organization","organization","organization","NOUN"
"M20263954AL","Version 2","dolphin",49,"swim","swim","swim","NOUN"
"M20263954AL","Version 2","dolphin",49,"flip","flip","flip","VERB"
"M20263954AL","Version 2","dolphin",49,"talk ","talk","talk","VERB"
"M20263954AL","Version 2","yourself",35,"nothing","nothing","nothing","PRON"
"M20263954AL","Version 2","yourself",35,"talk","talk","talk","VERB"
"M20263954AL","Version 2","yourself",35,"laugh","laugh","laugh","VERB"
"M20263954AL","Version 2","skittles",39,"eat","eat","eat","VERB"
"M20263954AL","Version 2","skittles",39,"share","share","share","NOUN"
"M20263954AL","Version 2","skittles",39,"buy","buy","buy","VERB"
"M20263954AL","Version 2","teabag",43,"consume","consume","consume","NOUN"
"M20263954AL","Version 2","teabag",43,"heat up","heat","heat","NOUN"
"M20263954AL","Version 2","teabag",43,"cup","cup","cup","NOUN"
"M20263954AL","Version 2","teabag",43,"smells good or bad","smells","smell","NOUN"
"M20263954AL","Version 2","teabag",43,"smells good or bad","good","good","ADJ"
"M20263954AL","Version 2","teabag",43,"smells good or bad","bad","bad","ADJ"
"M20294769","Version 98","magnet",2941,"pull things","pull","pull","NOUN"
"M20294769","Version 98","magnet",2941,"pull things","things","thing","NOUN"
"M20294769","Version 98","magnet",2941,"attaching stuff","attaching","attach","VERB"
"M20294769","Version 98","magnet",2941,"attaching stuff","stuff","stuff","NOUN"
"M20294769","Version 98","lens",2918,"seeing","seeing","see","VERB"
"M20294769","Version 98","lens",2918,"glasses","glasses","glassis","NOUN"
"M20294769","Version 98","lens",2918,"tools","tools","tool","NOUN"
"M20294769","Version 98","hiker",2928,"outside","outside","outside","ADV"
"M20294769","Version 98","hiker",2928,"nature","nature","nature","NOUN"
"M20294769","Version 98","hiker",2928,"weather ","weather","weather","NOUN"
"M20294769","Version 98","quarterback",2939,"football","football","football","NOUN"
"M20294769","Version 98","quarterback",2939,"athlete","athlete","athlete","X"
"M20294769","Version 98","quarterback",2939,"big","big","big","ADJ"
"M20294769","Version 98","quarterback",2939,"fast","fast","fast","ADJ"
"M20294769","Version 98","fender",2927,"car","car","car","NOUN"
"M20294769","Version 98","buttercup",2934,"saying","saying","say","VERB"
"M20294769","Version 98","buttercup",2934,"candy ","candy","candy","NOUN"
"M20294769","Version 98","pinball",2926,"game","game","game","NOUN"
"M20294769","Version 98","pinball",2926,"old games ","old","old","ADJ"
"M20294769","Version 98","pinball",2926,"old games ","games","game","NOUN"
"M20294769","Version 98","document",2916,"assignment","assignment","assignment","NOUN"
"M20294769","Version 98","document",2916,"government ","government","government","NOUN"
"M20294769","Version 98","tutu",2933,"wear it","wear","wear","VERB"
"M20294769","Version 98","tutu",2933,"pink","pink","pink","ADJ"
"M20294769","Version 98","tutu",2933,"sport ","sport","sport","NOUN"
"M20294769","Version 98","sand",2938,"beach","beach","beach","NOUN"
"M20294769","Version 98","sand",2938,"lake","lake","lake","NOUN"
"M20294769","Version 98","sand",2938,"hot","hot","hot","ADJ"
"M20294769","Version 98","sand",2938,"summer","summer","summer","NOUN"
"M20294769","Version 98","companion",2937,"partner","partner","partner","NOUN"
"M20294769","Version 98","aluminum",2931,"used to cover stuff","used","use","VERB"
"M20294769","Version 98","aluminum",2931,"used to cover stuff","cover","cover","NOUN"
