"Username","Trial","Condition.Description","Stimuli.Cue","Procedure.Item","affordance_parsed","affordance_corrected"
"20317098SB",11,"Version 37","elephant",1109,"to ride","to ride"
"20317098SB",11,"Version 37","elephant",1109,"circus","circus"
"20317098SB",11,"Version 37","elephant",1109,"rescue","rescue"
"20317098SB",11,"Version 37","elephant",1109,"jewelry","jewelry"
"20317098SB",12,"Version 37","kneecap",1093,"squat","squat"
"20317098SB",12,"Version 37","kneecap",1093,"stand","stand"
"20317098SB",12,"Version 37","kneecap",1093,"balance","balance"
"20317098SB",12,"Version 37","kneecap",1093,"walk","walk"
"20317098SB",12,"Version 37","kneecap",1093,"run","run"
"20317098SB",13,"Version 37","shirttail",1094,"shirt","shirt"
"20317098SB",13,"Version 37","shirttail",1094,"append","append"
"20317098SB",13,"Version 37","shirttail",1094,"add","add"
"20317098SB",14,"Version 37","rosary",1083,"pray","pray"
"20317098SB",14,"Version 37","rosary",1083,"take it to church","take it to church"
"20317098SB",15,"Version 37","stereo",1103,"listen to music","listen to music"
"20317098SB",15,"Version 37","stereo",1103,"set stuff on","set stuff on"
"20317098SB",15,"Version 37","stereo",1103,"decoration","decoration"
"20317098SB",16,"Version 37","jeweler",1101,"make a necklace","make a necklace"
"20317098SB",16,"Version 37","jeweler",1101,"rings","rings"
"20317098SB",16,"Version 37","jeweler",1101,"bracelets","bracelets"
"20317098SB",16,"Version 37","jeweler",1101,"earrings","earrings"
"20317098SB",17,"Version 37","toffee",1092,"coffee","coffee"
"20317098SB",17,"Version 37","toffee",1092,"toffee syrup","toffee syrup"
"20317098SB",17,"Version 37","toffee",1092,"toffee nuts","toffee nuts"
"20317098SB",18,"Version 37","greenery",1104,"plants","plants"
"20317098SB",18,"Version 37","greenery",1104,"vegetation","vegetation"
"20317098SB",18,"Version 37","greenery",1104,"leaves ","leaves "
"20317098SB",19,"Version 37","mustard",1105,"on a burger","on a burger"
"20317098SB",19,"Version 37","mustard",1105,"on a corn dog","on a corn dog"
"20317098SB",19,"Version 37","mustard",1105,"in tuna salad","in tuna salad"
"20317098SB",20,"Version 37","scorecard",1091,"bingo","bingo"
"20317098SB",20,"Version 37","scorecard",1091,"golf","golf"
"20317098SB",20,"Version 37","scorecard",1091,"bowling","bowling"
"20317098SB",21,"Version 37","dressing",1099,"salad","salad"
"20317098SB",21,"Version 37","dressing",1099,"dressing room","dressing room"
