Username,CUE,RESPONSE,RESPONSE.TOKEN,RESPONSE.LEMMA,POS,Source
Hcs071604HCS,tummy,eat,eat,eat,VERB,USA
Hcs071604HCS,tummy,digest,digest,digest,VERB,USA
Hcs071604HCS,tummy,rub,rub,rub,VERB,USA
Hcs071604HCS,greenery,grass,grass,grass,NOUN,USA
Hcs071604HCS,greenery,trees,trees,tree,NOUN,USA
Hcs071604HCS,greenery,flowers,flowers,flower,NOUN,USA
Hcs071604HCS,greenery,plants,plants,plant,NOUN,USA
Hcs071604HCS,greenery,fake plants,fake,fake,ADJ,USA
Hcs071604HCS,greenery,fake plants,plants,plant,NOUN,USA
Hcs071604HCS,dressing,eat,eat,eat,VERB,USA
Hcs071604HCS,dressing,sauce,sauce,sauce,NOUN,USA
Hcs071604HCS,dressing,or to dress up ,dress,dress,NOUN,USA
Hcs071604HCS,handle,hold,hold,hold,VERB,USA
Hcs071604HCS,handle,carry,carry,carry,VERB,USA
Hcs071604HCS,handle,dispose of,dispose,dispose,VERB,USA
Hcs071604HCS,auto,fix,fix,fix,VERB,USA
Hcs071604HCS,auto,change,change,change,NOUN,USA
Hcs071604HCS,auto,make correct,make,make,VERB,USA
Hcs071604HCS,auto,make correct,correct,correct,ADJ,USA
Hcs071604HCS,auto,car,car,car,NOUN,USA
Hcs071604HCS,pistachio,eat,eat,eat,VERB,USA
Hcs071604HCS,pistachio,cook,cook,cake,VERB,USA
Hcs071604HCS,pistachio,give to birds,give,give,VERB,USA
Hcs071604HCS,pistachio,give to birds,birds,bird,NOUN,USA
Hcs071604HCS,lotion,to put on,put,put,VERB,USA
Hcs071604HCS,lotion,moisturizer,moisturizer,moisturize,VERB,USA
Hcs071604HCS,lotion,soft skin,soft,soft,ADJ,USA
Hcs071604HCS,lotion,soft skin,skin,skin,NOUN,USA
Hcs071604HCS,tub,to take a bath,take,take,VERB,USA
Hcs071604HCS,tub,to take a bath,bath,bathe,VERB,USA
Hcs071604HCS,tub,clean things,clean,clean,VERB,USA
Hcs071604HCS,tub,clean things,things,thing,NOUN,USA
Hcs071604HCS,tub,store things,store,store,NOUN,USA
Hcs071604HCS,tub,store things,things,thing,NOUN,USA
Hcs071604HCS,lamplight,for lighting,lighting,light,VERB,USA
Hcs071604HCS,rosary,praying,praying,pray,VERB,USA
Hcs071604HCS,rosary,worshiping ,worshiping,worshipe,VERB,USA
Hcs071604HCS,glue,to make things stick together,make,make,VERB,USA
Hcs071604HCS,glue,to make things stick together,things,thing,NOUN,USA
Hcs071604HCS,glue,to make things stick together,stick,stick,NOUN,USA
Hcs071604HCS,glue,to make things stick together,together,together,ADV,USA
Hcs071604HCS,glue,hold something in one place,hold,hold,VERB,USA
Hcs071604HCS,glue,hold something in one place,something,something,PRON,USA
Hcs071604HCS,glue,hold something in one place,one,one,NUM,USA
Hcs071604HCS,glue,hold something in one place,place,place,NOUN,USA
Hcs071604HCS,glue,put something where you want it,put,put,VERB,USA
Hcs071604HCS,glue,put something where you want it,something,something,PRON,USA
Hcs071604HCS,glue,put something where you want it,want,want,VERB,USA
Hcs071604HCS,vase,flowers,flowers,flower,NOUN,USA
Hcs071604HCS,vase,water,water,water,NOUN,USA
Hcs071604HCS,kneecap,walking,walking,walk,VERB,USA
Hcs071604HCS,kneecap,running,running,run,VERB,USA
Hcs071604HCS,kneecap,jumping,jumping,jump,VERB,USA
Hcs071604HCS,chair,sitting,sitting,sit,VERB,USA
Hcs071604HCS,chair,standing,standing,stand,VERB,USA
Hcs071604HCS,chair,resting,resting,rest,VERB,USA
Hcs071604HCS,forklift,to move heavy items,move,move,VERB,USA
Hcs071604HCS,forklift,to move heavy items,heavy,heavy,ADJ,USA
Hcs071604HCS,forklift,to move heavy items,items,item,NOUN,USA
Hcs071604HCS,forklift,put something heavy somewhere else ,put,put,VERB,USA
Hcs071604HCS,forklift,put something heavy somewhere else ,something,something,PRON,USA
Hcs071604HCS,forklift,put something heavy somewhere else ,heavy,heavy,ADJ,USA
Hcs071604HCS,forklift,put something heavy somewhere else ,somewhere,somewhere,ADV,USA
Hcs071604HCS,forklift,put something heavy somewhere else ,else,else,ADJ,USA
Hcs071604HCS,jet,fly,fly,fly,VERB,USA
Hcs071604HCS,jet,move,move,move,VERB,USA
Hcs071604HCS,jet,air,air,air,NOUN,USA
Hcs071604HCS,scorecard,to see what you scored,see,see,VERB,USA
Hcs071604HCS,scorecard,to see what you scored,scored,score,VERB,USA
Hcs071604HCS,scorecard,to review your score,review,review,VERB,USA
Hcs071604HCS,scorecard,to review your score,score,score,VERB,USA
Hcs071604HCS,toffee,eating,eating,eat,VERB,USA
Hcs071604HCS,toffee,making treats,making,make,NOUN,USA
Hcs071604HCS,toffee,making treats,treats,treat,NOUN,USA
Hcs071604HCS,jeweler,to make jewelry,make,make,VERB,USA
Hcs071604HCS,jeweler,to make jewelry,jewelry,jewelry,NOUN,USA
