CUE,RESPONSE,RESPONSE.TOKEN,RESPONSE.LEMMA,POS,Source
excavator,move things,move,move,VERB,MSU-TEXAS
excavator,move things,things,thing,NOUN,MSU-TEXAS
excavator,create holes,create,create,VERB,MSU-TEXAS
excavator,create holes,holes,hole,NOUN,MSU-TEXAS
excavator,dig,dig,dig,VERB,MSU-TEXAS
excavator,ride in,ride,ride,VERB,MSU-TEXAS
excavator,drive ,drive,drive,VERB,MSU-TEXAS
strongbox,store personal items,store,store,VERB,MSU-TEXAS
strongbox,store personal items,personal,personal,ADJ,MSU-TEXAS
strongbox,store personal items,items,item,NOUN,MSU-TEXAS
strongbox,sit on,sit,sit,VERB,MSU-TEXAS
strongbox,kick,kick,kick,VERB,MSU-TEXAS
strongbox,carry,carry,carry,VERB,MSU-TEXAS
paperback,tear,tear,tear,VERB,MSU-TEXAS
paperback,bend,bend,bend,VERB,MSU-TEXAS
paperback,write on,write,write,VERB,MSU-TEXAS
paperback,sit on,sit,sit,VERB,MSU-TEXAS
paperback,throw,throw,throw,VERB,MSU-TEXAS
paperback,read,read,read,VERB,MSU-TEXAS
paperback,rip,rip,rip,VERB,MSU-TEXAS
paperback,brand,brand,brand,ADV,MSU-TEXAS
paperback,set on fire,set,set,VERB,MSU-TEXAS
paperback,set on fire,fire,fire,NOUN,MSU-TEXAS
plum,eat,eat,eat,VERB,MSU-TEXAS
plum,slice,slice,slice,VERB,MSU-TEXAS
plum,dice,dice,dice,VERB,MSU-TEXAS
plum,crush,crush,crush,VERB,MSU-TEXAS
plum,hit,hit,hit,VERB,MSU-TEXAS
plum,dehydrate,dehydrate,dehydrate,VERB,MSU-TEXAS
plum,bake,bake,bake,VERB,MSU-TEXAS
plum,pick,pick,pick,VERB,MSU-TEXAS
plum,eat,eat,eat,VERB,MSU-TEXAS
body,run,run,run,VERB,MSU-TEXAS
body,jump,jump,jump,VERB,MSU-TEXAS
body,sit,sit,sit,VERB,MSU-TEXAS
body,walk,walk,walk,VERB,MSU-TEXAS
body,move,move,move,VERB,MSU-TEXAS
body,twist,twist,twist,VERB,MSU-TEXAS
body,bend,bend,bend,VERB,MSU-TEXAS
body,break,break,break,VERB,MSU-TEXAS
body,nourish,nourish,nourish,VERB,MSU-TEXAS
body,feed,feed,feed,VERB,MSU-TEXAS
body,love,love,love,VERB,MSU-TEXAS
body,to have sex,sex,sex,VERB,MSU-TEXAS
body,give hugs,give,give,VERB,MSU-TEXAS
body,give hugs,hugs,hug,NOUN,MSU-TEXAS
body,pump up,pump,pump,VERB,MSU-TEXAS
