"Username","Trial","Condition.Description","Stimuli.Cue","Procedure.Item","affordance_parsed","affordance_corrected"
"10059201",11,"Version 4","clothesline",99,"hanging","hanging"
"10059201",11,"Version 4","clothesline",99,"hitting obstecle","hitting obstacle"
"10059201",12,"Version 4","basil",96,"shredded","shredded"
"10059201",12,"Version 4","basil",96,"crushed","crushed"
"10059201",12,"Version 4","basil",96,"sprinkled","sprinkled"
"10059201",13,"Version 4","deck",100,"stood upon","stood upon"
"10059201",13,"Version 4","deck",100,"hitting someone","hitting someone"
"10059201",14,"Version 4","tablespoon",92,"measurement","measurement"
"10059201",15,"Version 4","monument",121,"structure","structure"
"10059201",15,"Version 4","monument",121,"achievment","achievement"
"10059201",16,"Version 4","wristwatch",95,"telling time","telling time"
"10059201",16,"Version 4","wristwatch",95,"styling choice","styling choice"
"10059201",17,"Version 4","periscope",105,"looking through","looking through"
"10059201",17,"Version 4","periscope",105,"scouting","scouting"
"10059201",17,"Version 4","periscope",105,"locating","locating"
"10059201",18,"Version 4","sweatshirt",108,"style","style"
"10059201",18,"Version 4","sweatshirt",108,"wearing","wearing"
"10059201",18,"Version 4","sweatshirt",108,"tied","tied"
"10059201",18,"Version 4","sweatshirt",108,"tossed","tossed"
"10059201",19,"Version 4","coachman",117,"yelling","yelling"
"10059201",19,"Version 4","coachman",117,"coaching","coaching"
"10059201",20,"Version 4","handclap",102,"loud sound","loud sound"
"10059201",21,"Version 4","sangria",106,"mixing","mixing"
"10059201",22,"Version 4","gumbo",101,"eating","eating"
"10059201",22,"Version 4","gumbo",101,"mixing","mixing"
"10059201",22,"Version 4","gumbo",101,"cooking","cooking"
"10059201",23,"Version 4","shank",107,"stabbing","stabbing"
"10059201",24,"Version 4","defendant",115,"on the defensive","on the defensive"
"10059201",24,"Version 4","defendant",115,"in court","in court"
"10059201",25,"Version 4","nylon",112,"clothing","clothing"
"10059201",26,"Version 4","gentleman",119,"in control of himself","in control of himself"
"10059201",27,"Version 4","jurist",120,"weighing the life of someone on trial","weighing the life of someone on trial"
"10059201",28,"Version 4","tee",113,"shirt","shirt"
"10059201",28,"Version 4","tee",113,"what a golf ball rests on","what a golf ball rests on"
"10059201",29,"Version 4","chestnut",98,"nut","nut"
"10059201",30,"Version 4","vacuum",111,"cleaning","cleaning"
"10059201",31,"Version 4","harness",103,"control","control"
"10059201",32,"Version 4","chef",97,"cook","cook"
"10059201",32,"Version 4","chef",97,"yell orders","yell orders"
"10059201",33,"Version 4","helicopter",104,"fly","fly"
"10059201",33,"Version 4","helicopter",104,"scout","scout"
"10059201",33,"Version 4","helicopter",104,"carry","carry"
"10059201",34,"Version 4","cattle",114,"cow","cow"
"10059201",35,"Version 4","chow",116,"food","food"
"10059201",36,"Version 4","councilman",118,"leader","leader"
"10059201",36,"Version 4","councilman",118,"in a commitee","in a committee"
"10059201",37,"Version 4","teahouse",109,"barbie","barbie"
"10059201",38,"Version 4","tourist",110,"foreginer","foreigner"
"10059201",39,"Version 4","wrist",94,"anatomical location","anatomical location"
"10059201",40,"Version 4","technician",93,"support","support"
"10141580",11,"Version 12","cheek",336,"lay on","lay on"
"10141580",11,"Version 12","cheek",336,"slap","slap"
"10141580",11,"Version 12","cheek",336,"kiss","kiss"
"10141580",11,"Version 12","cheek",336,"punch","punch"
"10141580",11,"Version 12","cheek",336,"bite","bite"
"10141580",12,"Version 12","forefinger",350,"flip off","flip off"
"10141580",12,"Version 12","forefinger",350,"poke","poke"
"10141580",13,"Version 12","companion",343,"marriage","marriage"
"10141580",13,"Version 12","companion",343,"friend","friend"
"10141580",13,"Version 12","companion",343,"neighbor","neighbor"
"10141580",13,"Version 12","companion",343,"best friend","best friend"
"10141580",13,"Version 12","companion",343,"adventures","adventures"
"10141580",13,"Version 12","companion",343,"group work","group work"
"10141580",13,"Version 12","companion",343,"missions","missions"
"10141580",13,"Version 12","companion",343,"etc","etc"
"10141580",15,"Version 12","grandfather",353,"stories","stories"
"10141580",15,"Version 12","grandfather",353,"nice conversations","nice conversations"
"10141580",15,"Version 12","grandfather",353,"historical information","historical information"
"10141580",15,"Version 12","grandfather",353,"love from a family member","love from a family member"
"10141580",16,"Version 12","choreographer",339,"could choreograph dance","could choreograph dance"
"10141580",16,"Version 12","choreographer",339,"marching movements","marching movements"
"10141580",16,"Version 12","choreographer",339,"camera movements","camera movements"
"10141580",16,"Version 12","choreographer",339,"specific routines","specific routines"
"10141580",17,"Version 12","junk",359,"significant value","significant value"
"10141580",17,"Version 12","junk",359,"trash","trash"
"10141580",17,"Version 12","junk",359,"recycle","recycle"
"10141580",18,"Version 12","earmuff",349,"keep ears warm","keep ears warm"
"10141580",18,"Version 12","earmuff",349,"keep neck warm","keep neck warm"
"10141580",19,"Version 12","gravestone",354,"funeral service","funeral service"
"10141580",20,"Version 12","garment",351,"daily use of wear","daily use of wear"
"10141580",20,"Version 12","garment",351,"wash it","wash it"
"10141580",20,"Version 12","garment",351,"make it dirty","make it dirty"
"10141580",20,"Version 12","garment",351,"bite it","bite it"
"10141580",20,"Version 12","garment",351,"tear it","tear it"
"10141580",20,"Version 12","garment",351,"destroy its fabrics","destroy its fabrics"
"10141580",21,"Version 12","cantaloupe",334,"consume","consume"
"10141580",21,"Version 12","cantaloupe",334,"throw","throw"
"10141580",21,"Version 12","cantaloupe",334,"step on","step on"
"10141580",21,"Version 12","cantaloupe",334,"throw up","throw up"
"10141580",21,"Version 12","cantaloupe",334,"hug","hug"
"10141580",21,"Version 12","cantaloupe",334,"smash","smash"
"10141580",21,"Version 12","cantaloupe",334,"etc","etc"
"10141580",22,"Version 12","chronograph",340,"timing a marathon","timing a marathon"
"10141580",22,"Version 12","chronograph",340,"a simple job or run","a simple job or run"
"10141580",23,"Version 12","brow",332,"tweeze the brow","tweeze the brow"
"10141580",23,"Version 12","brow",332,"raise it","raise it"
"10141580",23,"Version 12","brow",332,"kiss it","kiss it"
"10141580",23,"Version 12","brow",332,"punch it","punch it"
"10141580",24,"Version 12","gin",352,"consume","consume"
"10141580",24,"Version 12","gin",352,"toss","toss"
"10141580",24,"Version 12","gin",352,"hit someone with","hit someone with"
"10141580",24,"Version 12","gin",352,"throw up","throw up"
"10141580",24,"Version 12","gin",352,"bathe in it","bathe in it"
"10141580",24,"Version 12","gin",352,"cook with it","cook with it"
"10141580",25,"Version 12","gumdrop",356,"chew it","chew it"
"10141580",25,"Version 12","gumdrop",356,"swallow it","swallow it"
"10141580",25,"Version 12","gumdrop",356,"stick it to the ceiling or wall or floor or desk","stick it to the ceiling or wall or floor or desk"
"10141580",25,"Version 12","gumdrop",356,"throw it at someone","throw it at someone"
"10141580",25,"Version 12","gumdrop",356,"step on it","step on it"
"10141580",25,"Version 12","gumdrop",356,"burn it","burn it"
"10141580",25,"Version 12","gumdrop",356,"freeze it","freeze it"
"10141580",26,"Version 12","lamp",361,"turn it on","turn it on"
"10141580",26,"Version 12","lamp",361,"turn it off","turn it off"
"10141580",26,"Version 12","lamp",361,"smash it","smash it"
"10141580",26,"Version 12","lamp",361,"bite it","bite it"
"10141580",26,"Version 12","lamp",361,"sit on it","sit on it"
