"Username","Trial","Condition.Description","Stimuli.Cue","Procedure.Trial.Type","affordance_parsed","affordance_corrected"
"55b0ecccfdf99b2116e4123f",11,"Version 20","textile","BOI","clothing","clothing"
"55b0ecccfdf99b2116e4123f",11,"Version 20","textile","BOI","bedding","bedding"
"55b0ecccfdf99b2116e4123f",11,"Version 20","textile","BOI","curtains","curtains"
"55b0ecccfdf99b2116e4123f",11,"Version 20","textile","BOI","sewing","sewing"
"55b0ecccfdf99b2116e4123f",11,"Version 20","textile","BOI","projects","projects"
"55b0ecccfdf99b2116e4123f",12,"Version 20","godfather","BOI","family member","family member"
"55b0ecccfdf99b2116e4123f",12,"Version 20","godfather","BOI","friend","friend"
"55b0ecccfdf99b2116e4123f",12,"Version 20","godfather","BOI","religious guidance","religious guidance"
"55b0ecccfdf99b2116e4123f",13,"Version 20","document","BOI","information","information"
"55b0ecccfdf99b2116e4123f",13,"Version 20","document","BOI","evidence","evidence"
"55b0ecccfdf99b2116e4123f",13,"Version 20","document","BOI","form","form"
"55b0ecccfdf99b2116e4123f",14,"Version 20","model","BOI","to look at","to look at"
"55b0ecccfdf99b2116e4123f",14,"Version 20","model","BOI","studying","studying"
"55b0ecccfdf99b2116e4123f",14,"Version 20","model","BOI","practice","practice"
"55b0ecccfdf99b2116e4123f",15,"Version 20","oilcloth","BOI","wipe spills","wipe spills"
"55b0ecccfdf99b2116e4123f",15,"Version 20","oilcloth","BOI","cleaning","cleaning"
"55b0ecccfdf99b2116e4123f",16,"Version 20","enemy","BOI","to ignore","to ignore"
"55b0ecccfdf99b2116e4123f",16,"Version 20","enemy","BOI","be mean to","be mean to"
"55b0ecccfdf99b2116e4123f",17,"Version 20","feather","BOI","tickle","tickle"
"55b0ecccfdf99b2116e4123f",17,"Version 20","feather","BOI","art","art"
"55b0ecccfdf99b2116e4123f",17,"Version 20","feather","BOI","play with","play with"
"55b0ecccfdf99b2116e4123f",18,"Version 20","wart","BOI","repeling people","repel people"
"55b0ecccfdf99b2116e4123f",18,"Version 20","wart","BOI","showing people","showing people"
"55b0ecccfdf99b2116e4123f",19,"Version 20","geranium","BOI","looking at","looking at"
"55b0ecccfdf99b2116e4123f",19,"Version 20","geranium","BOI","smelling","smelling"
"55b0ecccfdf99b2116e4123f",19,"Version 20","geranium","BOI","planting","planting"
"55b0ecccfdf99b2116e4123f",19,"Version 20","geranium","BOI","cutting","cutting"
"55b0ecccfdf99b2116e4123f",20,"Version 20","steroids","BOI","getting bigger muscles","getting bigger muscles"
"55b0ecccfdf99b2116e4123f",20,"Version 20","steroids","BOI","for illness","for illness"
"55b0ecccfdf99b2116e4123f",21,"Version 20","gymnast","BOI","doing gymnastics","doing gymnastics"
"55b0ecccfdf99b2116e4123f",21,"Version 20","gymnast","BOI","competing","competing"
"55b0ecccfdf99b2116e4123f",21,"Version 20","gymnast","BOI","demonstrating","demonstrating"
"55b0ecccfdf99b2116e4123f",21,"Version 20","gymnast","BOI","getting fit","getting fit"
"55b0ecccfdf99b2116e4123f",22,"Version 20","feline","BOI","pet","pet"
"55b0ecccfdf99b2116e4123f",22,"Version 20","feline","BOI","stroke","stroke"
"55b0ecccfdf99b2116e4123f",22,"Version 20","feline","BOI","feed","feed"
"55b0ecccfdf99b2116e4123f",22,"Version 20","feline","BOI","play with","play with"
"55b0ecccfdf99b2116e4123f",23,"Version 20","cheerleader","BOI","cheering","cheering"
"55b0ecccfdf99b2116e4123f",23,"Version 20","cheerleader","BOI","dancing","dancing"
"55b0ecccfdf99b2116e4123f",23,"Version 20","cheerleader","BOI","enteraining","entertain"
"55b0ecccfdf99b2116e4123f",24,"Version 20","laboratory","BOI","doing experiments","doing experiments"
"55b0ecccfdf99b2116e4123f",24,"Version 20","laboratory","BOI","testing drugs","testing drugs"
"55b0ecccfdf99b2116e4123f",24,"Version 20","laboratory","BOI","collecting samples","collecting samples"
"55b0ecccfdf99b2116e4123f",24,"Version 20","laboratory","BOI","reporting","reporting"
"55b0ecccfdf99b2116e4123f",25,"Version 20","hairline","BOI","brushing","brushing"
"55b0ecccfdf99b2116e4123f",25,"Version 20","hairline","BOI","styling","styling"
"55b0ecccfdf99b2116e4123f",26,"Version 20","girlfriend","BOI","hugging","hugging"
"55b0ecccfdf99b2116e4123f",26,"Version 20","girlfriend","BOI","kissing","kissing"
"55b0ecccfdf99b2116e4123f",26,"Version 20","girlfriend","BOI","chatting to","chatting to"
"55b0ecccfdf99b2116e4123f",26,"Version 20","girlfriend","BOI","living with","living with"
"55b0ecccfdf99b2116e4123f",27,"Version 20","shamrock","BOI","looking at","looking at"
"55b0ecccfdf99b2116e4123f",27,"Version 20","shamrock","BOI","admiring","admiring"
"55b0ecccfdf99b2116e4123f",28,"Version 20","politician","BOI","representing people","representing people"
"55b0ecccfdf99b2116e4123f",28,"Version 20","politician","BOI","making changes","making changes"
"55b0ecccfdf99b2116e4123f",28,"Version 20","politician","BOI","debating","debating"
"55b0ecccfdf99b2116e4123f",28,"Version 20","politician","BOI","working","working"
"55b0ecccfdf99b2116e4123f",29,"Version 20","programmer","BOI","writing code","writing code"
"55b0ecccfdf99b2116e4123f",29,"Version 20","programmer","BOI","testing","testing"
"55b0ecccfdf99b2116e4123f",29,"Version 20","programmer","BOI","designing","designing"
"55b0ecccfdf99b2116e4123f",30,"Version 20","footboard","BOI","putting feet on","putting feet on"
"55b0ecccfdf99b2116e4123f",30,"Version 20","footboard","BOI","holding up structure","holding up structure"
"55b0ecccfdf99b2116e4123f",31,"Version 20","enamel","BOI","protects teeth","protects teeth"
"55b0ecccfdf99b2116e4123f",31,"Version 20","enamel","BOI","strengthens","strengthens"
"55b0ecccfdf99b2116e4123f",32,"Version 20","newsagent","BOI","buy things from","buy things from"
"55b0ecccfdf99b2116e4123f",32,"Version 20","newsagent","BOI","sell news","sell news"
"55b0ecccfdf99b2116e4123f",33,"Version 20","alfalfa","BOI","eating","eating"
"55b0ecccfdf99b2116e4123f",33,"Version 20","alfalfa","BOI","growing","growing"
"55b0ecccfdf99b2116e4123f",33,"Version 20","alfalfa","BOI","feeding","feeding"
"55b0ecccfdf99b2116e4123f",34,"Version 20","viola","BOI","playing","playing"
"55b0ecccfdf99b2116e4123f",34,"Version 20","viola","BOI","tuning","tuning"
"55b0ecccfdf99b2116e4123f",34,"Version 20","viola","BOI","entertaining","entertaining"
"55b0ecccfdf99b2116e4123f",35,"Version 20","sarong","BOI","wearing","wearing"
"55b0ecccfdf99b2116e4123f",35,"Version 20","sarong","BOI","covering","covering"
"55b0ecccfdf99b2116e4123f",36,"Version 20","strongbox","BOI","storing","storing"
"55b0ecccfdf99b2116e4123f",36,"Version 20","strongbox","BOI","carrying","carrying"
"55b0ecccfdf99b2116e4123f",37,"Version 20","racket","BOI","playing","playing"
"55b0ecccfdf99b2116e4123f",37,"Version 20","racket","BOI","swinging","swinging"
"55b0ecccfdf99b2116e4123f",37,"Version 20","racket","BOI","holding","holding"
"55b0ecccfdf99b2116e4123f",38,"Version 20","capes","BOI","wearing","wearing"
"55b0ecccfdf99b2116e4123f",38,"Version 20","capes","BOI","keeping warm","keeping warm"
"55b0ecccfdf99b2116e4123f",39,"Version 20","receptionist","BOI","taking phone calls","taking phone calls"
"55b0ecccfdf99b2116e4123f",39,"Version 20","receptionist","BOI","making notes","making notes"
"55b0ecccfdf99b2116e4123f",39,"Version 20","receptionist","BOI","organising","organize"
"55b0ecccfdf99b2116e4123f",40,"Version 20","costumer","BOI","makimg costumes","make costumes"
"55b0ecccfdf99b2116e4123f",40,"Version 20","costumer","BOI","fitting costumes","fitting costumes"
"57c957626736cf0001b31f39",11,"Version 13","quarterback","BOI","watch","watch"
"57c957626736cf0001b31f39",11,"Version 13","quarterback","BOI","get fit","get fit"
"57c957626736cf0001b31f39",12,"Version 13","sackcloth","BOI","wear","wear"
"57c957626736cf0001b31f39",12,"Version 13","sackcloth","BOI","dress","dress"
"57c957626736cf0001b31f39",13,"Version 13","drink","BOI","swallow","swallow"
"57c957626736cf0001b31f39",13,"Version 13","drink","BOI","taste","taste"
"57c957626736cf0001b31f39",14,"Version 13","breastplate","BOI","riding","riding"
"57c957626736cf0001b31f39",14,"Version 13","breastplate","BOI","protection","protection"
"57c957626736cf0001b31f39",15,"Version 13","sister","BOI","chat","chat"
"57c957626736cf0001b31f39",15,"Version 13","sister","BOI","love","love"
"57c957626736cf0001b31f39",15,"Version 13","sister","BOI","entrust","entrust"
"57c957626736cf0001b31f39",16,"Version 13","wheelhouse","BOI","shelter","shelter"
"57c957626736cf0001b31f39",16,"Version 13","wheelhouse","BOI","bridge","bridge"
"57c957626736cf0001b31f39",17,"Version 13","leather","BOI","sofa","sofa"
"57c957626736cf0001b31f39",17,"Version 13","leather","BOI","shoes","shoes"
"57c957626736cf0001b31f39",17,"Version 13","leather","BOI","belts","belts"
"57c957626736cf0001b31f39",17,"Version 13","leather","BOI","bags","bags"
"57c957626736cf0001b31f39",18,"Version 13","barley","BOI","cooking","cooking"
"57c957626736cf0001b31f39",18,"Version 13","barley","BOI","tasting","tasting"
"57c957626736cf0001b31f39",18,"Version 13","barley","BOI","drink","drink"
"57c957626736cf0001b31f39",19,"Version 13","cardigan","BOI","warmth","warmth"
"57c957626736cf0001b31f39",19,"Version 13","cardigan","BOI","comfort","comfort"
"57c957626736cf0001b31f39",20,"Version 13","midget","BOI","tv","an"
"57c957626736cf0001b31f39",20,"Version 13","midget","BOI","showbusiness","show business"
"57c957626736cf0001b31f39",20,"Version 13","midget","BOI","friendship","friendship"
"57c957626736cf0001b31f39",21,"Version 13","lamplighter","BOI","lampposts","lampposts"
"57c957626736cf0001b31f39",21,"Version 13","lamplighter","BOI","lighting","lighting"
"57c957626736cf0001b31f39",22,"Version 13","thimble","BOI","sewing","sewing"
