Username,Condition.Description,Stimuli.Cue,Procedure.Item,affordance_parsed,word,lemma,POS,Group
20302302bw,Version 19,cookie,568,eat,eat,eat,VERB,MSU-TEXAS
20302302bw,Version 19,cookie,568,crumbled,crumbled,crumble,VERB,MSU-TEXAS
20302302bw,Version 19,cookie,568,thrown,thrown,throw,VERB,MSU-TEXAS
20302302bw,Version 19,cookie,568,stepped on,stepped,step,VERB,MSU-TEXAS
20302302bw,Version 19,cookie,568,baked,baked,bake,VERB,MSU-TEXAS
20302302bw,Version 19,cookie,568,frozen,frozen,freeze,VERB,MSU-TEXAS
20302302bw,Version 19,cookie,568,refrigerated,refrigerated,refrigerate,VERB,MSU-TEXAS
20302302bw,Version 19,cage,563,trapped,trapped,trap,VERB,MSU-TEXAS
20302302bw,Version 19,cage,563,punishment,punishment,punish,VERB,MSU-TEXAS
20302302bw,Version 19,couch,545,lay,lay,lay,VERB,MSU-TEXAS
20302302bw,Version 19,couch,545,sleep,sleep,sleep,VERB,MSU-TEXAS
20302302bw,Version 19,couch,545,sit,sit,sit,VERB,MSU-TEXAS
20302302bw,Version 19,toe,566,stubbed,stubbed,stub,VERB,MSU-TEXAS
20302302bw,Version 19,toe,566,walking,walking,walk,VERB,MSU-TEXAS
20302302bw,Version 19,toe,566,running,running,run,VERB,MSU-TEXAS
20302302bw,Version 19,toe,566,squating,skating,skat,VERB,MSU-TEXAS
20302302bw,Version 19,letterbox,560,storage,storage,store,VERB,MSU-TEXAS
20302302bw,Version 19,saltwater,546,weapon,weapon,weapon,VERB,MSU-TEXAS
20302302bw,Version 19,saltwater,546,boiled,boiled,boil,VERB,MSU-TEXAS
20302302bw,Version 19,saltwater,546,cooking pasta(when not from ocean),cooking,cook,VERB,MSU-TEXAS
20302302bw,Version 19,saltwater,546,cooking pasta(when not from ocean),pasta,pasta,NOUN,MSU-TEXAS
20302302bw,Version 19,saltwater,546,cooking pasta(when not from ocean),ocean,ocean,NOUN,MSU-TEXAS
20302302bw,Version 19,raft,565,sail,sail,sail,NOUN,MSU-TEXAS
20302302bw,Version 19,raft,565,paddled,paddled,paddle,VERB,MSU-TEXAS
20302302bw,Version 19,raft,565,building,building,build,VERB,MSU-TEXAS
20302302bw,Version 19,raft,565,storage,storage,store,VERB,MSU-TEXAS
20302302bw,Version 19,raft,565,float,float,float,NOUN,MSU-TEXAS
20302302bw,Version 19,tray,548,thrown,thrown,throw,VERB,MSU-TEXAS
20302302bw,Version 19,tray,548,spun,spun,spin,VERB,MSU-TEXAS
20302302bw,Version 19,tray,548,weapon,weapon,weapon,VERB,MSU-TEXAS
20302302bw,Version 19,tray,548,storage,storage,store,VERB,MSU-TEXAS
20302302bw,Version 19,backpack,556,storage,storage,store,VERB,MSU-TEXAS
20302302bw,Version 19,goggles,544,swimming,swimming,swimm,VERB,MSU-TEXAS
20302302bw,Version 19,goggles,544,snowboarding,snowboarding,snowboard,VERB,MSU-TEXAS
20302302bw,Version 19,goggles,544,driving,driving,drive,VERB,MSU-TEXAS
20302302bw,Version 19,goggles,544,flying,flying,flie,VERB,MSU-TEXAS
20302302bw,Version 19,goggles,544,skydiving,skydiving,skydive,VERB,MSU-TEXAS
20302302bw,Version 19,kerchief,542,cleaning,cleaning,clean,VERB,MSU-TEXAS
20302302bw,Version 19,kitchen,567,cooking,cooking,cook,VERB,MSU-TEXAS
20302302bw,Version 19,kitchen,567,storage,storage,store,VERB,MSU-TEXAS
20302302bw,Version 19,kitchen,567,baking,baking,bake,VERB,MSU-TEXAS
20302302bw,Version 19,vulva,562,pleasure,pleasure,pleasure,VERB,MSU-TEXAS
20302302bw,Version 19,splinter,564,removal,removal,remove,VERB,MSU-TEXAS
20302302bw,Version 19,splinter,564,pain,pain,pain,NOUN,MSU-TEXAS
20302302bw,Version 19,treadmill,569,exercise,exercise,exercise,VERB,MSU-TEXAS
20302302bw,Version 19,treadmill,569,physical therapy ,physical,physical,ADJ,MSU-TEXAS
20302302bw,Version 19,treadmill,569,physical therapy ,therapy,therapy,VERB,MSU-TEXAS
20302302bw,Version 19,goose,554,eating,eating,eat,VERB,MSU-TEXAS
20302302bw,Version 19,goose,554,fertilizer ,fertilizer,fertilizer,NOUN,MSU-TEXAS
20302302bw,Version 19,godparent,552,teaching,teaching,teach,VERB,MSU-TEXAS
20302302bw,Version 19,godparent,552,guardian ,guardian,guardian,NOUN,MSU-TEXAS
20302302bw,Version 19,tear,557,crying,crying,cry,VERB,MSU-TEXAS
20302302bw,Version 19,bagpipes,551,music,music,music,NOUN,MSU-TEXAS
20302302bw,Version 19,bagpipes,551,annoy people,annoy,annoy,VERB,MSU-TEXAS
20302302bw,Version 19,bagpipes,551,annoy people,people,people,NOUN,MSU-TEXAS
20302302bw,Version 19,bagpipes,551,stepped on,stepped,step,VERB,MSU-TEXAS
20302302bw,Version 19,silkworm,571,cocoons,cocoons,cocoon,NOUN,MSU-TEXAS
20302302bw,Version 19,silkworm,571,eating,eating,eat,VERB,MSU-TEXAS
20302302bw,Version 19,silkworm,571,clothing,clothing,clothes,NOUN,MSU-TEXAS
20302302bw,Version 19,yardstick,570,measuring,measuring,measure,VERB,MSU-TEXAS
20302302bw,Version 19,yardstick,570,building,building,build,VERB,MSU-TEXAS
20302302bw,Version 19,yardstick,570,science,science,science,NOUN,MSU-TEXAS
20302302bw,Version 19,barley,547,cooking,cooking,cook,VERB,MSU-TEXAS
20302302bw,Version 19,barley,547,baking,baking,bake,VERB,MSU-TEXAS
20302302bw,Version 19,barley,547,grinding,grinding,grind,VERB,MSU-TEXAS
20302302bw,Version 19,enamel,553,remove,remove,remove,VERB,MSU-TEXAS
20302302bw,Version 19,switchblade,558,stabbing,stabbing,stab,VERB,MSU-TEXAS
20302302bw,Version 19,switchblade,558,cutting,cutting,cut,VERB,MSU-TEXAS
20302302bw,Version 19,switchblade,558,slicing,slicing,slice,VERB,MSU-TEXAS
20302302bw,Version 19,switchblade,558,fighting,fighting,fight,VERB,MSU-TEXAS
20302302bw,Version 19,woodcutter,561,log splitting,log,log,VERB,MSU-TEXAS
20302302bw,Version 19,woodcutter,561,log splitting,splitting,split,VERB,MSU-TEXAS
20302302bw,Version 19,lantern,559,light,light,light,VERB,MSU-TEXAS
20302302bw,Version 19,lantern,559,fire,fire,fire,NOUN,MSU-TEXAS
20302302bw,Version 19,lubrication,550,sex,sex,sex,VERB,MSU-TEXAS
20302302bw,Version 19,lubrication,550,machines,machines,machine,NOUN,MSU-TEXAS
20302302bw,Version 19,steak,555,braising,braising,braise,VERB,MSU-TEXAS
20302302bw,Version 19,steak,555,slicing,slicing,slice,VERB,MSU-TEXAS
20302302bw,Version 19,steak,555,grinding,grinding,grind,VERB,MSU-TEXAS
20302302bw,Version 19,steak,555,baking,baking,bake,VERB,MSU-TEXAS
20302302bw,Version 19,steak,555,pan fry,pan,pan,NOUN,MSU-TEXAS
20302302bw,Version 19,steak,555,pan fry,fry,fry,VERB,MSU-TEXAS
20302302bw,Version 19,steak,555,grilling,grilling,grill,VERB,MSU-TEXAS
20302302bw,Version 19,plaster,543,cast,cast,cast,VERB,MSU-TEXAS
20302302bw,Version 19,plaster,543,building,building,build,VERB,MSU-TEXAS
20304703CW,Version 27,scythe,804,death ,death,death,NOUN,MSU-TEXAS
20304703CW,Version 27,scythe,804,decoration ,decoration,decorate,VERB,MSU-TEXAS
20304703CW,Version 27,marshmallow,798,hot chocolate,hot,hot,ADJ,MSU-TEXAS
20304703CW,Version 27,marshmallow,798,hot chocolate,chocolate,chocolate,NOUN,MSU-TEXAS
20304703CW,Version 27,marshmallow,798,s'more,smores,smore,NOUN,MSU-TEXAS
20304703CW,Version 27,marshmallow,798,eating ,eating,eat,VERB,MSU-TEXAS
20304703CW,Version 27,foxhound,782,pet ,pet,pet,VERB,MSU-TEXAS
20304703CW,Version 27,foxhound,782,protection ,protection,protect,VERB,MSU-TEXAS
20304703CW,Version 27,foxhound,782,guarding ,guarding,guard,VERB,MSU-TEXAS
20304703CW,Version 27,townsfolk,799,communicating ,communicating,communicate,VERB,MSU-TEXAS
20304703CW,Version 27,townsfolk,799,running a town ,running,run,VERB,MSU-TEXAS
20304703CW,Version 27,townsfolk,799,running a town ,town,town,NOUN,MSU-TEXAS
20304703CW,Version 27,townsfolk,799,building local economy ,building,build,VERB,MSU-TEXAS
20304703CW,Version 27,townsfolk,799,building local economy ,local,local,ADJ,MSU-TEXAS
20304703CW,Version 27,townsfolk,799,building local economy ,economy,economy,NOUN,MSU-TEXAS
20304703CW,Version 27,townsfolk,799,local government ,local,local,ADJ,MSU-TEXAS
20304703CW,Version 27,townsfolk,799,local government ,government,govern,VERB,MSU-TEXAS
20304703CW,Version 27,appliance,808,kitchen ,kitchen,kitchen,NOUN,MSU-TEXAS
20304703CW,Version 27,appliance,808,bathroom ,bathroom,bathroom,NOUN,MSU-TEXAS
20304703CW,Version 27,appliance,808,laundry ,laundry,laundry,NOUN,MSU-TEXAS
20304703CW,Version 27,appliance,808,cleaning ,cleaning,clean,VERB,MSU-TEXAS
20304703CW,Version 27,appliance,808,to rules ,rules,rule,NOUN,MSU-TEXAS
