Username,ID,Gender,Age,Education,Race,Fluent,AgeEnglish,Country,consent
M20289110JT,qopg2bwokw,Male,20,"Some College, no degree",Black,Yes,1,United States of America,on
M20134082_JLM,ozgvcc3wzh,Male,26,"Some College, no degree",Other/unknown,Yes,0,United States,on
M20310948_lc,jjzvaapm2q,Female,18,"Some College, no degree",American Indian/Alaskan Native,Yes,5,United States,on
M20318967_qgr,jietd7j7jc,Male,18,"Some College, no degree",White,Yes,0,United States,on
M20317498DB,q24ydkhgrc,Male,18,"Some College, no degree",Black,Yes,0,United States of America,on
M10248901KMM,pvrv7mbylv,Female,38,Bachelors degree,White,Yes,0,United States of America,on
M20304789_hrh,ke4591vx29,Female,18,"Some College, no degree",White,Yes,0,United States,on
M20299675,qc0j5blgkb,Male,20,"Some College, no degree",Black,Yes,0,united states,on
M20307991hnk,glmy03run5,Female,18,"Some College, no degree",White,Yes,0,United States,on
m20278265_vas,w3tft8i3k1,Female,20,"Some College, no degree",White,Yes,0,United States,on
M20294450mmv,0yccq4ctz4,Female,20,"Some College, no degree",White,Yes,0,United States,on
M20318420,bz3n4r6avx,Male,17,Bachelors degree,Other/unknown,Yes,5,Sri Lanka,on
M20306628_KE,uxx5je0hjw,Female,18,"Some College, no degree",Asian/Pacific Islander,Yes,0,united states ,on
M20294324sw,6j4ndv0quz,Female,18,"Some College, no degree",White,Yes,0,us,on
m20924324sw,5k1xnbkp8s,Female,18,"Some College, no degree",White,Yes,0,us,on
M20318337ZI,99mmkgu8i2,Female,20,"Some College, no degree",White,Yes,1,U.S.,on
M20311179,63rsi9ghc2,Female,18,High School Graduate,White,Yes,5 years ,United States,on
M20277249,0hoi2a3ai8,Female,20,Associates degree,White,Yes,3,United States,on
M20278334_eah,heco7wwqup,Female,19,"Some College, no degree",American Indian/Alaskan Native,Yes,0,United States,on
M20286751,1hqpywdfge,Female,20,"Some College, no degree",Black,Yes,0,united states ,on
M20304815LKS,ty8qe1qzwd,Male,18,"Some College, no degree",White,Yes,0,United States,on
M20319381_jab,66mbtodexj,Female,18,Some High School,White,Yes,0,United States,on
M20312246JD,cs5uy7on51,Male,18,Bachelors degree,Other/unknown,Yes,2,United States,on
20304703CW,0rcgnc5yfp,Female,18,High School Graduate,Black,Yes,0,United States,on
KRR,djj9bqh69k,Male,17,Some High School,White,Yes,0,United States,on
KRR,f7q5vgyakt,Male,17,Some High School,White,Yes,0,United States,on
M20242712_ID,895l0opoju,Male,23,"Some College, no degree",White,Yes,0,United States,on
M20307278_RCM,09sbe861m2,Female,19,"Some College, no degree",Other/unknown,Yes,8,United States,on
M20315356JN,hsynaaa407,Female,18,High School Graduate,Black,Yes,0,USA,on
M20307617_RB,l0qbtcr5w4,Female,19,High School Graduate,Asian/Pacific Islander,Yes,8,Nepal,on
M20306958IF,sb9la0esk7,Female,18,"Some College, no degree",Black,Yes,0,USA,on
M20315177_EJM,o7ntsxfzf3,Female,19,"Some College, no degree",White,Yes,0,United States,on
m20308741,534yntl1s3,Male,18,High School Graduate,Black,Yes,0,United States,on
M20308224_mm,fmnsultx26,Female,18,"Some College, no degree",Other/unknown,Yes,0,Unites States,on
M20309961WC,w7myhub806,Male,21,Bachelors degree,Black,Yes,0,United States,on
DBM2031798,pgfygl4kql,Male,18,"Some College, no degree",Black,Yes,0,United States,on
M20311445-DT,knsyjg0ou7,Female,19,Bachelors degree,Black,Yes,0,The Bahamas,on
M20174144_KLO,xaq2gx0eso,Female,27,"Some College, no degree",White,Yes,0,United States,on
M20298640,t8red2ihk8,Female,20,"Some College, no degree",White,Yes,10,United States,on
M20308002_mnm,mf6p1xlcum,Female,18,"Some College, no degree",White,Yes,0,United States,on
dlinares0803,wnl1tlx31g,Male,18,High School Graduate,Other/unknown,Yes,10,United States ,on
20305967AO,hgkx4ba76a,Female,18,"Some College, no degree",Black,Yes,0,Kenya,on
M20290538JPGV,qe05rcbvcq,Male,19,"Some College, no degree",Other/unknown,Yes,4,United States,on
M203,37covj8dw4,Female,14,Some High School,Asian/Pacific Islander,Yes,,,on
m20294324sw,oep1acamrl,Female,19,"Some College, no degree",White,Yes,0,us ,on
M20305892_sdh,iaf05i38ys,Female,18,High School Graduate,Black,Yes,0,United States of America,on
M20303990_EMC,w9gu7gkhol,Female,18,"Some College, no degree",White,Yes,0,United States of America,on
M20309403DR,mpaz2zj83g,Female,18,High School Graduate,Other/unknown,Yes,2,united states,on
20310228LF,rvwcqcdkmc,Female,18,"Some College, no degree",White,Yes,0,United States,on
M20305255S.S,vacdodp0om,Male,19,"Some College, no degree",Black,Yes,0,Barbados,on
M20295825_kgrm,xptdykic04,Female,19,"Some College, no degree",White,Yes,10,United States,on
M20301855PR,rvikkd7ym7,Female,18,"Some College, no degree",White,Yes,0,United States ,on
M20311507_csg,68cj48uiwc,Female,18,High School Graduate,Other/unknown,Yes,4,United States of America,on
M20305311,gf3h3zwvqs,Female,18,"Some College, no degree",White,Yes,0,United States,on
m20290781JF,cfzse26kc7,Male,18,"Some College, no degree",White,Yes,5,United States,on
M20300117,qxag0ctoca,Female,19,"Some College, no degree",White,Yes,0,United States,on
M20259543_kas,nu4f05wbz6,Female,29,"Some College, no degree",American Indian/Alaskan Native,Yes,0,United States,on
m20312131,jj5m5d2ftw,Female,18,"Some College, no degree",White,Yes,0,United States,on
M20296746_agh,y9lat8h4je,Female,19,"Some College, no degree",White,Yes,0,United Sates,on
M20308096,5ui6og2f5l,Female,18,"Some College, no degree",Other/unknown,Yes,0,united states ,on
M20303614andAM,imq051ynh1,Female,20,"Some College, no degree",Black,Yes,0,United States,on
M20264728_agr,yda8q41au5,Female,21,"Some College, no degree",Other/unknown,Yes,0,United States of America,on
M20302050_jcv,u08sx4ibyn,Female,18,"Some College, no degree",Other/unknown,Yes,0,United States,on
20314758RT,4qa1ynoojc,Female,19,"Some College, no degree",White,Yes,0,United States,on
M20318491_IH,x5w7hddn7f,Female,18,Associates degree,White,Yes,4,United States,on
M20303828_BRA,q9f8i8e9mm,Male,19,"Some College, no degree",White,Yes,when i was born,America,on
m20318337,zyznkognzk,Female,20,"Some College, no degree",White,Yes,1,united states,on
M20309487EJ,116arjsxsc,Female,18,High School Graduate,Asian/Pacific Islander,Yes,1,United States,on
m20301553C.G,i5ot5oqiqi,Female,18,High School Graduate,White,Yes,4,United States,on
M20302796AD,ty1oxdjy9q,Female,18,"Some College, no degree",White,Yes,0,USA,on
M20303409AL,pjhybsu0cw,Female,18,High School Graduate,White,Yes,0,United States,on
M20313693TT,dlu2x8goaj,Female,18,"Some College, no degree",Black,Yes,0,United States,on
M20313693TT,dlu2x8goaj,Female,18,"Some College, no degree",Black,Yes,0,United States,on
M20302614_RB,uul650ktd7,Female,18,"Some College, no degree",White,Yes,0,America,on
M20296023maj,wwdwwk5j0i,Male,19,"Some College, no degree",White,Yes,0,United States,on
M20284854_KHM,36ycv444gu,Female,20,"Some College, no degree",Other/unknown,Yes,4,United States,on
M20306721JF,8orfk7sko1,Male,25,"Some College, no degree",White,Yes,0,United States ,on
m20307861,5wf05n6tyz,Female,19,High School Graduate,Other/unknown,Yes,4,United States,on
M20308353_agc,gqlyvath60,Female,17,"Some College, no degree",Black,Yes,0,United States,on
M20308353_agc,gqlyvath60,Female,17,"Some College, no degree",White,Yes,0,United states,on
M20305830,tg2ij539zp,Female,18,"Some College, no degree",American Indian/Alaskan Native,Yes,4,Jack,on
M2029791JC,gaissoc0oz,Female,20,"Some College, no degree",White,Yes,0,USA,on
20311420MP,m11przyh16,Female,18,High School Graduate,White,Yes,0,USA,on
M20302328_MEM,ol7vqpfxur,Female,18,"Some College, no degree",American Indian/Alaskan Native,Yes,0,United States,on
M20305335KP,qpomesxjxb,Female,18,High School Graduate,White,Yes,0,United States,on
M20316883ZS,cuw1is00b8,Female,19,"Some College, no degree",White,Yes,0,United States,on
M20307861,vsmfi7xmel,Female,19,High School Graduate,White,Yes,5,United States,on
M20306458and,y1qe0jkg3z,Female,19,High School Graduate,White,Yes,0,USA,on
20318027,8htpbs0bo2,Male,18,High School Graduate,Black,Yes,5,Cameroon,on
M20304804_BNR,r625e52bvs,Female,19,"Some College, no degree",White,Yes,0,United States,on
m20312639amo,5ntoictyyl,Female,18,High School Graduate,Other/unknown,Yes,0,U.S.A,on
M2034574AM,3exbv39dbi,Female,19,High School Graduate,White,Yes,0,United States of America,on
M20313725_bh,oenfhcsdf1,Female,18,"Some College, no degree",Other/unknown,Yes,4,United States,on
M20315682_GP,ch6ld5mqfc,Female,18,High School Graduate,Other/unknown,Yes,4,United States,on
M20309835AEM,olilpx1ab6,Female,18,"Some College, no degree",White,Yes,0,United States,on
M20305083_MWH,452wgwlz2a,Male,19,"Some College, no degree",White,Yes,0,United States,on
M20312125EHR,827tkso0z9,Female,18,"Some College, no degree",Other/unknown,Yes,11,Mexico,on
20306722SG,qqnjzr3vcd,Female,18,High School Graduate,White,Yes,0,United States,on
M20311596_agg,0w8mopioly,Female,18,High School Graduate,Other/unknown,Yes,around 3-4 years old,United States,on
M20265707,np1ahuwg2m,Male,21,"Some College, no degree",White,Yes,0,United States,on
M20311482,uqkttzn8w2,Female,18,High School Graduate,Black,Yes,5,germany ,on
M20305329_EM,e7p2zkuwzj,Female,18,High School Graduate,White,Yes,0,united states ,on
M20265707_bms,mi8hy5zijd,Male,21,"Some College, no degree",White,Yes,0,United States,on
