"Username","Condition.Description","Stimuli.Cue","Procedure.Trial.Type","affordance_parsed","word","lemma","POS"
"575f387c91f8b40006c332e1","Version 41","salt","BOI","preserving food","preserving","preserve","VERB"
"575f387c91f8b40006c332e1","Version 41","salt","BOI","preserving food","food","food","NOUN"
"575f387c91f8b40006c332e1","Version 41","salt","BOI","making saline solution","making","make","NOUN"
"575f387c91f8b40006c332e1","Version 41","salt","BOI","making saline solution","saline","saline","NOUN"
"575f387c91f8b40006c332e1","Version 41","salt","BOI","making saline solution","solution","solution","NOUN"
"575f387c91f8b40006c332e1","Version 41","salt","BOI","tanning leather","tanning","tanning","VERB"
"575f387c91f8b40006c332e1","Version 41","salt","BOI","tanning leather","leather","leather","NOUN"
"575f387c91f8b40006c332e1","Version 41","salt","BOI","flavouring food","flavoring","flavor","NOUN"
"575f387c91f8b40006c332e1","Version 41","salt","BOI","flavouring food","food","food","NOUN"
"575f387c91f8b40006c332e1","Version 41","salt","BOI","killing slugs","killing","kill","VERB"
"575f387c91f8b40006c332e1","Version 41","salt","BOI","killing slugs","slugs","slug","NOUN"
"575f387c91f8b40006c332e1","Version 41","horseshoe","BOI","playing horseshoes","playing","play","VERB"
"575f387c91f8b40006c332e1","Version 41","horseshoe","BOI","playing horseshoes","horseshoes","horseshoe","NOUN"
"575f387c91f8b40006c332e1","Version 41","horseshoe","BOI","protecting horses hooves ","protecting","protect","VERB"
"575f387c91f8b40006c332e1","Version 41","horseshoe","BOI","protecting horses hooves ","horses","horse","NOUN"
"575f387c91f8b40006c332e1","Version 41","horseshoe","BOI","protecting horses hooves ","hooves","hoof","NOUN"
"575f387c91f8b40006c332e1","Version 41","binoculars","BOI","train spotting","train","train","NOUN"
"575f387c91f8b40006c332e1","Version 41","binoculars","BOI","train spotting","spotting","spot","VERB"
"575f387c91f8b40006c332e1","Version 41","binoculars","BOI","bird watching","bird","bird","NOUN"
"575f387c91f8b40006c332e1","Version 41","binoculars","BOI","bird watching","watching","watch","VERB"
"575f387c91f8b40006c332e1","Version 41","binoculars","BOI","spying","spying","spy","NOUN"
