Username,Stimuli.Cue,Procedure.Trial.Type,affordance_parsed,word,lemma,POS,Source
5598528afdf99b38e56c8c0d,burglar,BOI,rob,rob,rob,NOUN,Prolific
5598528afdf99b38e56c8c0d,burglar,BOI,follow,follow,follow,VERB,Prolific
5598528afdf99b38e56c8c0d,burglar,BOI,bribe,bribe,bribe,NOUN,Prolific
5598528afdf99b38e56c8c0d,classmate,BOI,talk,talk,talk,VERB,Prolific
5598528afdf99b38e56c8c0d,classmate,BOI,friend,friend,friend,NOUN,Prolific
5598528afdf99b38e56c8c0d,classmate,BOI,speak,speak,speak,NOUN,Prolific
5598528afdf99b38e56c8c0d,socket,BOI,plug,plug,plug,X,Prolific
5598528afdf99b38e56c8c0d,socket,BOI,charge,charge,charge,NOUN,Prolific
5598528afdf99b38e56c8c0d,socket,BOI,switch on,switch,switch,NOUN,Prolific
5598528afdf99b38e56c8c0d,doorframe,BOI,walk through,walk,walk,VERB,Prolific
5598528afdf99b38e56c8c0d,doorframe,BOI,hang door,hang,hang,VERB,Prolific
5598528afdf99b38e56c8c0d,doorframe,BOI,hang door,door,door,NOUN,Prolific
5598528afdf99b38e56c8c0d,doorframe,BOI,paint,paint,paint,VERB,Prolific
5598528afdf99b38e56c8c0d,slingshot,BOI,throw,throw,throw,INTJ,Prolific
5598528afdf99b38e56c8c0d,slingshot,BOI,hold,hold,hold,INTJ,Prolific
5598528afdf99b38e56c8c0d,slingshot,BOI,shoot,shoot,shoot,NOUN,Prolific
5598528afdf99b38e56c8c0d,candlestick,BOI,light,light,light,NOUN,Prolific
5598528afdf99b38e56c8c0d,candlestick,BOI,hold,hold,hold,INTJ,Prolific
5598528afdf99b38e56c8c0d,candlestick,BOI,carry,carry,carry,VERB,Prolific
5598528afdf99b38e56c8c0d,blender,BOI,blend,blend,blend,NOUN,Prolific
5598528afdf99b38e56c8c0d,blender,BOI,switch on,switch,switch,NOUN,Prolific
5598528afdf99b38e56c8c0d,blender,BOI,grind,grind,grind,INTJ,Prolific
5598528afdf99b38e56c8c0d,blender,BOI,chop,chop,chop,NOUN,Prolific
5598528afdf99b38e56c8c0d,blender,BOI,cut,cut,cut,VERB,Prolific
5598528afdf99b38e56c8c0d,Crab,BOI,eat,eat,eat,VERB,Prolific
5598528afdf99b38e56c8c0d,Crab,BOI,catch,catch,catch,VERB,Prolific
5598528afdf99b38e56c8c0d,Crab,BOI,salad,salad,salad,NOUN,Prolific
5598528afdf99b38e56c8c0d,saxophone,BOI,play,play,play,VERB,Prolific
5598528afdf99b38e56c8c0d,saxophone,BOI,listen,listen,listen,VERB,Prolific
5598528afdf99b38e56c8c0d,saxophone,BOI,blow,blow,blow,VERB,Prolific
5598528afdf99b38e56c8c0d,buck,BOI,pay,pay,pay,VERB,Prolific
5598528afdf99b38e56c8c0d,buck,BOI,toss,toss,toss,NOUN,Prolific
5598528afdf99b38e56c8c0d,shrine,BOI,worship,worship,worship,NOUN,Prolific
5598528afdf99b38e56c8c0d,shrine,BOI,polish,polish,polish,NOUN,Prolific
5598528afdf99b38e56c8c0d,shrine,BOI,clean,clean,clean,ADJ,Prolific
5598528afdf99b38e56c8c0d,shrine,BOI,pray,pray,pray,VERB,Prolific
5598528afdf99b38e56c8c0d,shrine,BOI,visit,visit,visit,VERB,Prolific
5598528afdf99b38e56c8c0d,oven,BOI,cook,cook,cake,VERB,Prolific
5598528afdf99b38e56c8c0d,oven,BOI,heat,heat,heat,NOUN,Prolific
5598528afdf99b38e56c8c0d,oven,BOI,bake,bake,bake,VERB,Prolific
5598528afdf99b38e56c8c0d,oven,BOI,roast,roast,roast,ADJ,Prolific
5598528afdf99b38e56c8c0d,oven,BOI,toast,toast,toast,NOUN,Prolific
5598528afdf99b38e56c8c0d,dumpling,BOI,eat,eat,eat,VERB,Prolific
5598528afdf99b38e56c8c0d,dumpling,BOI,cut,cut,cut,VERB,Prolific
5598528afdf99b38e56c8c0d,dumpling,BOI,chew,chew,chew,NOUN,Prolific
5598528afdf99b38e56c8c0d,corduroy,BOI,wear,wear,wear,VERB,Prolific
5598528afdf99b38e56c8c0d,corduroy,BOI,sew,sew,sew,NOUN,Prolific
5598528afdf99b38e56c8c0d,corduroy,BOI,trousers,trousers,trousers,NOUN,Prolific
5598528afdf99b38e56c8c0d,cartridge,BOI,ink,ink,ink,NOUN,Prolific
5598528afdf99b38e56c8c0d,cartridge,BOI,print,print,print,VERB,Prolific
5598528afdf99b38e56c8c0d,cartridge,BOI,install,install,install,ADV,Prolific
5598528afdf99b38e56c8c0d,cartridge,BOI,change,change,change,NOUN,Prolific
5598528afdf99b38e56c8c0d,peppermint,BOI,smell,smell,smell,INTJ,Prolific
5598528afdf99b38e56c8c0d,peppermint,BOI,cook,cook,cake,VERB,Prolific
5598528afdf99b38e56c8c0d,peppermint,BOI,bake,bake,bake,VERB,Prolific
5598528afdf99b38e56c8c0d,peppermint,BOI,drink,drink,drink,NOUN,Prolific
5598528afdf99b38e56c8c0d,peppermint,BOI,tea,tea,tea,NOUN,Prolific
5598528afdf99b38e56c8c0d,peppermint,BOI,perfume,perfume,perfume,NOUN,Prolific
5598528afdf99b38e56c8c0d,peppermint,BOI,grow,grow,grow,VERB,Prolific
5598528afdf99b38e56c8c0d,tablet,BOI,take,take,take,VERB,Prolific
5598528afdf99b38e56c8c0d,tablet,BOI,swallow,swallow,swallow,NOUN,Prolific
5598528afdf99b38e56c8c0d,tablet,BOI,charge,charge,charge,NOUN,Prolific
5598528afdf99b38e56c8c0d,tablet,BOI,internet,internet,internet,NOUN,Prolific
5598528afdf99b38e56c8c0d,eclair,BOI,eat,eat,eat,VERB,Prolific
5598528afdf99b38e56c8c0d,eclair,BOI,gift,gift,gift,NOUN,Prolific
5598528afdf99b38e56c8c0d,eclair,BOI,devour,devour,devour,NOUN,Prolific
5598528afdf99b38e56c8c0d,backboard,BOI,hit,hit,hit,VERB,Prolific
5598528afdf99b38e56c8c0d,backboard,BOI,throw,throw,throw,INTJ,Prolific
5598528afdf99b38e56c8c0d,backboard,BOI,bounce,bounce,bounce,NOUN,Prolific
5598528afdf99b38e56c8c0d,mattress,BOI,sleep,sleep,sleep,NOUN,Prolific
5598528afdf99b38e56c8c0d,mattress,BOI,sit,sit,sit,VERB,Prolific
5598528afdf99b38e56c8c0d,mattress,BOI,rest,rest,rest,VERB,Prolific
5598528afdf99b38e56c8c0d,mattress,BOI,bed,bed,bed,NOUN,Prolific
5598528afdf99b38e56c8c0d,mattress,BOI,bounce,bounce,bounce,NOUN,Prolific
5598528afdf99b38e56c8c0d,soda,BOI,drink,drink,drink,NOUN,Prolific
5598528afdf99b38e56c8c0d,arrowhead,BOI,spear,spear,spare,NOUN,Prolific
5598528afdf99b38e56c8c0d,arrowhead,BOI,arrow,arrow,arrow,NOUN,Prolific
5598528afdf99b38e56c8c0d,arrowhead,BOI,throw,throw,throw,INTJ,Prolific
5598528afdf99b38e56c8c0d,arrowhead,BOI,shoot,shoot,shoot,NOUN,Prolific
5598528afdf99b38e56c8c0d,arrowhead,BOI,sports,sports,sport,NOUN,Prolific
5598528afdf99b38e56c8c0d,arrowhead,BOI,hunting,hunting,hunt,VERB,Prolific
5598528afdf99b38e56c8c0d,buffet,BOI,eat,eat,eat,VERB,Prolific
