spelling.sugg,spelling.errors
flavor,flavour
utilize,utilise
fertilize,fertiliser
makeshift,makeshify
blow dart,blowdart
someone,someoen
an,i've
furniture,furnature
stablize,stablise
an,delorian
achievement,acheivement
barrels,barrells
socialize,socialise
color,colourise
an,bolden
familiarize,familiarise
symbolism,symbolise
defense,defence
