"Username","Trial","Condition.Description","Stimuli.Cue","Procedure.Item","affordance_parsed","affordance_corrected"
"20296454PJ",11,"Version 8","excavator",225,"construction ","construction "
"20296454PJ",13,"Version 8","eggplant",226,"cooking","cooking"
"20296454PJ",14,"Version 8","shelter",237,"sleeping","sleeping"
"20296454PJ",14,"Version 8","shelter",237,"reading","reading"
"20296454PJ",14,"Version 8","shelter",237,"class","class"
"20296454PJ",14,"Version 8","shelter",237,"showering","showering"
"20296454PJ",15,"Version 8","stick",229,"crafts","crafts"
"20296454PJ",15,"Version 8","stick",229,"fetch with dog","fetch with dog"
"20296454PJ",15,"Version 8","stick",229,"digging","digging"
"20296454PJ",17,"Version 8","drug",212,"substance abuse","substance abuse"
"20296454PJ",19,"Version 8","case",233,"used by police","used by police"
"20296454PJ",19,"Version 8","case",233,"used as briefcase ","used as briefcase "
"20296454PJ",23,"Version 8","torchlight",220,"used as a light","used as a light"
"20296454PJ",24,"Version 8","motel",222,"sleep","sleep"
"20296454PJ",25,"Version 8","pantry",217,"to keep food","to keep food"
"20296454PJ",27,"Version 8","plum",239,"to eat","to eat"
"20296454PJ",27,"Version 8","plum",239,"make jelly","make jelly"
"20296454PJ",28,"Version 8","roll",213,"eat","eat"
"20296454PJ",29,"Version 8","phalanges",227,"everything ","everything "
"20296454PJ",30,"Version 8","accordion",228,"make music","make music"
"20296454PJ",31,"Version 8","beef",218,"eat","eat"
"20296454PJ",33,"Version 8","body",235,"everything ","everything "
"20296454PJ",34,"Version 8","arrow",214,"to do archery ","to do archery "
"20296454PJ",35,"Version 8","illustrator",230,"books","books"
"20296454PJ",35,"Version 8","illustrator",230,"drawings in general ","drawings in general "
"20296454PJ",38,"Version 8","fruit",231,"eat","eat"
"20296454PJ",39,"Version 8","avocado",221,"eat","eat"
"20296454PJ",40,"Version 8","hoe",234,"garden","garden"
"20305849",11,"Version 48","eggshell",1431,"throw them away","throw them away"
"20305849",12,"Version 48","morsel",1415,"eat","eat"
"20305849",13,"Version 48","condom",1440,"protection","protection"
"20305849",14,"Version 48","detergent",1429,"wash clothes","wash clothes"
"20305849",14,"Version 48","detergent",1429,"buy","buy"
"20305849",14,"Version 48","detergent",1429,"sell","sell"
"20305849",15,"Version 48","land",1421,"sell","sell"
"20305849",15,"Version 48","land",1421,"buy","buy"
"20305849",15,"Version 48","land",1421,"farm","farm"
"20305849",16,"Version 48","bloodhound",1416,"pet","pet"
"20305849",17,"Version 48","pencil",1437,"write","write"
"20305849",17,"Version 48","pencil",1437,"sell","sell"
"20305849",17,"Version 48","pencil",1437,"buy","buy"
"20305849",18,"Version 48","yoga",1439,"flexibility","flexibility"
"20305849",18,"Version 48","yoga",1439,"stretch","stretch"
"20305849",18,"Version 48","yoga",1439,"mobility","mobility"
"20305849",18,"Version 48","yoga",1439,"balance","balance"
"20305849",19,"Version 48","peppercorn",1413,"spice","spice"
"20305849",20,"Version 48","hut",1423,"shade","shade"
"20305849",21,"Version 48","oat",1428,"eat","eat"
"20305849",22,"Version 48","graveyard",1433,"bury the dead","bury the dead"
"20305849",23,"Version 48","talisman",1414,"to make jewerly","to make jewelry"
"20305849",24,"Version 48","cuisine",1441,"eat","eat"
"20305849",25,"Version 48","childbirth",1434,"celebration","celebration"
"20305849",25,"Version 48","childbirth",1434,"party after party","party after party"
"20305849",26,"Version 48","primrose",1430,"medicine","medicine"
"20305849",26,"Version 48","primrose",1430,"flowers","flowers"
"20305849",27,"Version 48","chick",1436,"pet","pet"
"20305849",28,"Version 48","peelings",1418,"dispose","dispose"
"20305849",29,"Version 48","latex",1432,"clothes","clothes"
