"spelling.sugg","spelling.errors"
"farces","faeces"
"color","colour"
"key chain","keychain"
"occasion","occassion"
"defense","defence"
"Savannah","savannah"
"Africa","africa"
"goalposts","goalpoasts"
"Kashmir","kashmir"
"Pakistan","pakistan"
"Arab","arab"
"lawyer","lawter"
