Cue,n,n affordance,total affordance,,,n ==  number of participants respnding to cue
chronograph,23,22,39,,,n affordance = number of participants who provided at least one affordance response
gumbo,24,24,53,,,total affordance = number of affordances generated for each cue (includes duplicate affordances generated by different participants)
gunnysack,24,22,44,,,
chiropractor,24,24,43,,,
shawl,24,22,57,,,
punter,24,21,37,,,
shelving,24,22,46,,,
you,24,22,95,,,
shinbone,24,22,44,,,
waxwork,24,22,45,,,
snorkel,24,23,44,,,
weed,24,23,53,,,
fist,24,23,62,,,
holding,24,23,46,,,
pocket,24,23,53,,,
lager,24,21,50,,,
vaccine,24,22,44,,,
soda,24,23,47,,,
oven,24,24,63,,,
card,24,23,69,,,
towel,24,24,69,,,
mother,24,23,76,,,
cola,24,23,57,,,
bag,24,23,54,,,
tire,24,22,60,,,
bedclothes,24,23,75,,,
breakfast,24,23,71,,,
teammate,24,22,70,,,
sawhorse,24,21,41,,,
brace,24,24,46,,,
sponge,24,23,73,,,
glasses,24,24,66,,,
script,24,23,74,,,
chalet,24,20,70,,,
crabgrass,24,22,59,,,
vocalist,24,22,70,,,
window,24,22,82,,,
weatherman,24,22,49,,,
watchband,24,22,61,,,
voter,24,23,38,,,
tinderbox,24,23,39,,,
thermostat,24,22,43,,,
scallop,24,22,52,,,
salamander,24,22,64,,,
ruler,24,23,61,,,
mallard,24,23,71,,,
handclap,24,24,49,,,
hand,24,23,103,,,
hammer,24,24,62,,,
gym,24,23,61,,,
forest,24,24,62,,,
eyeglass,24,24,63,,,
den,24,24,63,,,
tutor,24,23,56,,,
rabbit,24,22,75,,,
needlepoint,24,24,67,,,
peephole,24,23,53,,,
rosebush,24,22,55,,,
pilaf,24,22,49,,,
sapling,25,20,35,,,
bloke,25,20,45,,,
negligee,25,21,40,,,
wheelhouse,25,21,41,,,
houseboy,25,21,40,,,
vermicelli,25,22,59,,,
shallot,25,20,55,,,
seaplane,25,24,62,,,
reefer,25,20,54,,,
latrine,25,19,47,,,
pin,25,24,58,,,
kerchief,25,24,55,,,
colander,25,25,55,,,
tool,25,20,52,,,
yachtsman,25,19,31,,,
skullcap,25,22,41,,,
periscope,25,25,39,,,
gravestone,25,23,47,,,
assassin,25,24,42,,,
plaything,25,22,51,,,
glitter,25,24,46,,,
soldier,25,23,49,,,
snowman,25,23,49,,,
chip,25,23,50,,,
searchlight,25,24,40,,,
football,25,24,78,,,
wax,25,22,41,,,
pug,25,22,59,,,
wrench,25,23,46,,,
stoneware,25,19,51,,,
conch,25,21,56,,,
moss,25,21,54,,,
crossbow,25,25,69,,,
basket,25,23,67,,,
fingernail,25,24,78,,,
beefsteak,25,23,71,,,
coat,25,23,64,,,
mommy,25,23,69,,,
environmentalist,25,24,53,,,
tradesman,25,22,50,,,
woodcarver,25,20,41,,,
ore,25,20,43,,,
barkeep,25,24,49,,,
garb,25,19,51,,,
picnicker,25,20,42,,,
bacon,25,24,76,,,
carrot,25,22,71,,,
rosemary,25,22,58,,,
therapist,25,22,64,,,
table,25,25,84,,,
speakers,25,21,54,,,
napkin,25,24,69,,,
slipper,25,21,58,,,
planner,25,22,61,,,
hookah,25,23,49,,,
yolk,25,20,53,,,
oar,25,23,64,,,
peony,25,23,88,,,
flypaper,25,24,45,,,
mousetrap,25,24,50,,,
fudge,25,24,68,,,
quiche,25,24,64,,,
lavatory,25,22,50,,,
laundry,25,24,64,,,
metalworker,25,20,39,,,
housefly,25,22,45,,,
anchor,25,22,53,,,
cookhouse,25,22,51,,,
moth,25,20,42,,,
veterinarian,25,20,46,,,
cheddar,25,21,64,,,
kindle,25,24,57,,,
doornail,25,23,39,,,
retriever,25,24,44,,,
oyster,25,21,54,,,
bassinet,25,20,37,,,
girl,25,19,44,,,
lighthouse,25,22,49,,,
hanky,25,20,47,,,
sackcloth,25,20,36,,,
pants,25,22,72,,,
mouth,25,25,103,,,
beachwear,25,24,62,,,
hallway,25,24,51,,,
dividers,25,22,47,,,
blanket,25,22,68,,,
soybean,25,20,42,,,
meat,25,23,78,,,
desk,25,24,71,,,
pear,25,23,72,,,
toaster,25,23,60,,,
lollipop,25,23,76,,,
hall,25,22,58,,,
kidney,25,21,36,,,
scribbling,25,24,59,,,
wood,25,24,79,,,
brooch,25,21,55,,,
robe,25,22,62,,,
needlework,25,22,54,,,
windowpane,25,22,52,,,
barrette,25,23,50,,,
vegetation,25,21,56,,,
landlady,25,22,55,,,
printout,25,22,77,,,
tripod,25,23,52,,,
salve,25,23,51,,,
handwork,25,23,51,,,
human,25,21,83,,,
cello,25,23,61,,,
bookmark,25,24,55,,,
blueprint,25,23,43,,,
earthworm,25,21,57,,,
drum,25,22,57,,,
board,25,22,69,,,
toothpick,25,21,46,,,
lamp,25,23,51,,,
drapery,25,21,43,,,
flycatcher,25,22,34,,,
whirlpool,25,21,42,,,
lamplighter,25,20,32,,,
lever,25,24,60,,,
file,25,20,48,,,
storehouse,25,23,43,,,
strudel,25,22,57,,,
chain,25,22,49,,,
statuette,25,20,47,,,
crab,25,22,50,,,
buffet,25,24,50,,,
dumpling,25,24,64,,,
buck,25,22,49,,,
peppermint,25,23,57,,,
announcer,25,21,35,,,
socket,25,22,37,,,
classmate,25,23,60,,,
net,25,25,50,,,
blender,25,22,57,,,
shrine,25,23,51,,,
mattress,25,22,65,,,
corduroy,25,18,40,,,
silverware,25,23,62,,,
urn,25,21,44,,,
dresser,25,20,57,,,
turkey,25,20,67,,,
limeade,25,22,54,,,
drawstring,25,21,47,,,
pretzel,25,22,70,,,
windsock,25,21,42,,,
colleague,25,22,65,,,
spokesman,25,22,45,,,
newsprint,25,22,71,,,
technician,25,24,46,,,
teahouse,25,25,49,,,
tissue,25,24,59,,,
screen,25,24,63,,,
cannonball,25,24,58,,,
smoothie,25,24,59,,,
bill,25,24,53,,,
basil,25,25,66,,,
sweatshirt,25,25,68,,,
chestnut,25,25,71,,,
wife,25,24,72,,,
mule,25,23,58,,,
fruitcake,25,25,68,,,
sangria,25,25,51,,,
vacuum,25,25,55,,,
rice,25,23,78,,,
bullfighter,25,20,36,,,
cucumber,25,22,65,,,
outfielder,25,19,34,,,
pulp,25,19,41,,,
hill,25,24,57,,,
deer,25,21,53,,,
spider,25,20,47,,,
priest,25,21,50,,,
peel,25,20,36,,,
sunglasses,25,21,48,,,
mud,25,20,51,,,
nose,25,23,73,,,
wristwatch,25,24,60,,,
scalp,25,20,43,,,
turtle,25,22,47,,,
drink,25,20,57,,,
bicycle,25,22,74,,,
applicator,25,22,41,,,
testicle,25,20,38,,,
tea,25,24,56,,,
orthodontist,25,19,40,,,
pinewood,25,22,49,,,
student,25,22,58,,,
quilt,25,24,65,,,
carton,25,22,55,,,
bodice,25,21,41,,,
furniture,25,22,103,,,
spectacles,25,21,49,,,
donkey,25,22,70,,,
ukulele,25,24,82,,,
attendant,25,22,57,,,
garment,25,23,68,,,
treat,25,22,74,,,
skirt,25,23,72,,,
grandfather,25,22,79,,,
cornmeal,25,22,61,,,
uniform,25,21,60,,,
committeewoman,25,24,62,,,
spout,25,23,48,,,
kumquat,25,23,60,,,
record,25,24,64,,,
car,25,24,97,,,
grandnephew,25,23,64,,,
pouch,25,20,44,,,
scab,25,22,62,,,
shuffleboard,25,23,42,,,
frankfurter,25,22,74,,,
breeches,25,21,80,,,
dishwater,25,21,60,,,
pearl,25,20,59,,,
fawn,25,22,67,,,
soy,25,21,56,,,
colt,25,21,72,,,
steel,25,21,58,,,
entertainer,25,22,61,,,
vibrator,25,23,44,,,
nightie,25,20,47,,,
cuff,25,20,40,,,
cheekbone,25,22,51,,,
farmhouse,25,22,72,,,
armoire,25,21,61,,,
foot,25,23,92,,,
medallion,25,22,63,,,
snack,25,25,68,,,
kite,25,25,61,,,
bunk,25,22,62,,,
serviceman,25,19,33,,,
fig,25,24,64,,,
tubing,25,20,33,,,
cash,25,23,65,,,
sauerkraut,25,22,53,,,
earmuff,25,23,59,,,
potboiler,25,24,52,,,
prostitute,25,22,51,,,
moccasin,25,23,53,,,
strap,25,21,64,,,
banana,25,23,76,,,
mask,25,24,67,,,
camisole,25,22,53,,,
nettle,25,20,55,,,
cement,25,22,65,,,
igloo,25,21,61,,,
tearoom,25,24,70,,,
fingertip,25,22,73,,,
item,25,19,66,,,
detonator,25,22,44,,,
iceboat,25,24,73,,,
chairperson,25,19,51,,,
bricklayer,25,23,59,,,
dipper,25,20,52,,,
trout,25,24,91,,,
bib,25,22,55,,,
hostess,25,19,60,,,
soup,25,22,85,,,
bed,25,25,100,,,
automotive,25,22,65,,,
helicopter,25,25,76,,,
limousine,25,22,74,,,
workshop,25,20,58,,,
handhold,25,19,48,,,
publisher,25,22,44,,,
nightgown,25,22,68,,,
mountain,25,25,83,,,
grill,25,24,66,,,
thermos,25,22,55,,,
submarine,25,20,68,,,
prune,25,22,68,,,
homework,25,22,63,,,
sandwich,25,22,65,,,
tourist,25,25,64,,,
dachshund,25,24,87,,,
brisket,25,23,63,,,
bamboo,25,22,76,,,
nail,25,23,71,,,
scallion,25,22,65,,,
undercoat,25,23,35,,,
