Username,Condition.Description,Stimuli.Cue,affordance_parsed,word,lemma,POS,Group,
cas2024CS,Version 33,reindeer,flying,flying,fly,VERB,USA,
cas2024CS,Version 33,reindeer,delivering,delivering,deliver,VERB,USA,
cas2024CS,Version 33,reindeer,riding,riding,ride,VERB,USA,
cas2024CS,Version 33,reindeer,carrying,carrying,carry,VERB,USA,
cas2024CS,Version 33,reindeer,transporting,transporting,transport,VERB,USA,
cas2024CS,Version 33,appraiser,inspecting,inspecting,inspect,VERB,USA,
cas2024CS,Version 33,appraiser,appraising,appraising,appraise,VERB,USA,
cas2024CS,Version 33,appraiser,determining ,determining,determine,VERB,USA,
cas2024CS,Version 33,bedroom,laying,laying,lay,VERB,USA,
cas2024CS,Version 33,bedroom,playing,playing,play,VERB,USA,
cas2024CS,Version 33,bedroom,relaxing,relaxing,relax,VERB,USA,
cas2024CS,Version 33,bedroom,working,working,work,VERB,USA,
cas2024CS,Version 33,bedroom,cleaning,cleaning,clean,VERB,USA,
cas2024CS,Version 33,bedroom,escaping,escaping,escape,VERB,USA,
cas2024CS,Version 33,bedroom,sleeping,sleeping,sleep,VERB,USA,
cas2024CS,Version 33,bedroom,reading,reading,read,VERB,USA,
cas2024CS,Version 33,bedroom,watching tv,watching,watch,VERB,USA,
cas2024CS,Version 33,bedroom,watching tv,tv,tv,X,USA,
cas2024CS,Version 33,film,watching,watching,watch,VERB,USA,
cas2024CS,Version 33,film,observing,observing,obserive,VERB,USA,
cas2024CS,Version 33,film,appreciating,appreciating,appreciate,VERB,USA,
cas2024CS,Version 33,film,studying,studying,study,VERB,USA,
cas2024CS,Version 33,film,examining,examining,examine,VERB,USA,
cas2024CS,Version 33,buoy,floating,floating,float,VERB,USA,
cas2024CS,Version 33,buoy,boating,boating,boate,VERB,USA,
cas2024CS,Version 33,buoy,marking,marking,mark,VERB,USA,
cas2024CS,Version 33,buoy,swimming,swimming,swimm,VERB,USA,
cas2024CS,Version 33,washcloth,washing,washing,wash,VERB,USA,
cas2024CS,Version 33,washcloth,cleaning,cleaning,clean,VERB,USA,
cas2024CS,Version 33,washcloth,drying,drying,dry,VERB,USA,
cas2024CS,Version 33,washcloth,dusting,dusting,dust,VERB,USA,
cas2024CS,Version 33,washcloth,rinsing,rinsing,rinse,VERB,USA,
