"Username","Condition.Description","Stimuli.Cue","Procedure.Item","affordance_parsed","word","lemma","POS"
"20317098SB","Version 37","elephant",1109,"to ride","ride","ride","NOUN"
"20317098SB","Version 37","elephant",1109,"circus","circus","circus","NOUN"
"20317098SB","Version 37","elephant",1109,"rescue","rescue","rescue","NOUN"
"20317098SB","Version 37","elephant",1109,"jewelry","jewelry","jewelry","NOUN"
"20317098SB","Version 37","kneecap",1093,"squat","squat","squat","NOUN"
"20317098SB","Version 37","kneecap",1093,"stand","stand","stand","VERB"
"20317098SB","Version 37","kneecap",1093,"balance","balance","balance","NOUN"
"20317098SB","Version 37","kneecap",1093,"walk","walk","walk","VERB"
"20317098SB","Version 37","kneecap",1093,"run","run","run","NOUN"
"20317098SB","Version 37","shirttail",1094,"shirt","shirt","shirt","NOUN"
"20317098SB","Version 37","shirttail",1094,"append","append","append","NOUN"
"20317098SB","Version 37","shirttail",1094,"add","add","add","VERB"
"20317098SB","Version 37","rosary",1083,"pray","pray","pray","VERB"
"20317098SB","Version 37","rosary",1083,"take it to church","take","take","VERB"
"20317098SB","Version 37","rosary",1083,"take it to church","church","church","NOUN"
"20317098SB","Version 37","stereo",1103,"listen to music","listen","listen","VERB"
"20317098SB","Version 37","stereo",1103,"listen to music","music","music","NOUN"
"20317098SB","Version 37","stereo",1103,"set stuff on","set","set","VERB"
"20317098SB","Version 37","stereo",1103,"set stuff on","stuff","stuff","NOUN"
"20317098SB","Version 37","stereo",1103,"decoration","decoration","decoration","NOUN"
"20317098SB","Version 37","jeweler",1101,"make a necklace","make","make","VERB"
"20317098SB","Version 37","jeweler",1101,"make a necklace","necklace","necklace","NOUN"
"20317098SB","Version 37","jeweler",1101,"rings","rings","ring","NOUN"
"20317098SB","Version 37","jeweler",1101,"bracelets","bracelets","bracelet","NOUN"
"20317098SB","Version 37","jeweler",1101,"earrings","earrings","earring","NOUN"
"20317098SB","Version 37","toffee",1092,"coffee","coffee","coffee","NOUN"
"20317098SB","Version 37","toffee",1092,"toffee syrup","toffee","toffee","NOUN"
"20317098SB","Version 37","toffee",1092,"toffee syrup","syrup","syrup","NOUN"
"20317098SB","Version 37","toffee",1092,"toffee nuts","toffee","toffee","NOUN"
"20317098SB","Version 37","toffee",1092,"toffee nuts","nuts","nut","NOUN"
"20317098SB","Version 37","greenery",1104,"plants","plants","plant","NOUN"
"20317098SB","Version 37","greenery",1104,"vegetation","vegetation","vegetation","NOUN"
"20317098SB","Version 37","greenery",1104,"leaves ","leaves","leave","VERB"
"20317098SB","Version 37","mustard",1105,"on a burger","burger","burger","NOUN"
"20317098SB","Version 37","mustard",1105,"on a corn dog","corn","corn","NOUN"
"20317098SB","Version 37","mustard",1105,"on a corn dog","dog","dog","NOUN"
"20317098SB","Version 37","mustard",1105,"in tuna salad","tuna","tuna","NOUN"
"20317098SB","Version 37","mustard",1105,"in tuna salad","salad","salad","NOUN"
"20317098SB","Version 37","scorecard",1091,"bingo","bingo","bingo","INTJ"
"20317098SB","Version 37","scorecard",1091,"golf","golf","golf","NOUN"
"20317098SB","Version 37","scorecard",1091,"bowling","bowling","bowling","NOUN"
"20317098SB","Version 37","dressing",1099,"salad","salad","salad","NOUN"
"20317098SB","Version 37","dressing",1099,"dressing room","dressing","dress","NOUN"
"20317098SB","Version 37","dressing",1099,"dressing room","room","room","NOUN"
"20317098SB","Version 37","dressing",1099,"on a wound","wound","wound","NOUN"
"20317098SB","Version 37","dressing",1099,"on cupcake","cupcake","cupcake","NOUN"
"20317098SB","Version 37","auto",1097,"automotive","automotive","automotive","ADJ"
"20317098SB","Version 37","auto",1097,"auto pilot","auto","auto","NOUN"
"20317098SB","Version 37","auto",1097,"auto pilot","pilot","pilot","NOUN"
"20317098SB","Version 37","auto",1097,"auto care","auto","auto","NOUN"
"20317098SB","Version 37","auto",1097,"auto care","care","care","NOUN"
"20317098SB","Version 37","auto",1097,"auto insurance ","auto","auto","NOUN"
"20317098SB","Version 37","auto",1097,"auto insurance ","insurance","insurance","NOUN"
"20317098SB","Version 37","twig",1110,"start a fire","start","start","VERB"
"20317098SB","Version 37","twig",1110,"start a fire","fire","fire","NOUN"
"20317098SB","Version 37","twig",1110,"make a fishing pole","make","make","VERB"
"20317098SB","Version 37","twig",1110,"make a fishing pole","fishing","fishing","NOUN"
"20317098SB","Version 37","twig",1110,"make a fishing pole","pole","pole","NOUN"
"20317098SB","Version 37","twig",1110,"use it as a snake poker","use","use","VERB"
