"Username","Trial","Condition.Description","Stimuli.Cue","Procedure.Trial.Type","affordance_parsed","affordance_corrected","corrected"
"10098485SP",11,"Version 40","pie","BOI","USM","eat","eat"
"10098485SP",11,"Version 40","pie","BOI","USM","cut","cut"
"10098485SP",12,"Version 40","baklava","BOI","USM","eat","eat"
"10098485SP",13,"Version 40","stopwatch","BOI","USM","time","time"
"10098485SP",14,"Version 40","acorn","BOI","USM","throw","throw"
"10098485SP",14,"Version 40","acorn","BOI","USM","step on","step on"
"10098485SP",15,"Version 40","bat","BOI","USM","hit","hit"
"10098485SP",15,"Version 40","bat","BOI","USM","swing","swing"
"10098485SP",16,"Version 40","porridge","BOI","USM","eat","eat"
"10098485SP",17,"Version 40","canteen","BOI","USM","hold","hold"
"10098485SP",17,"Version 40","canteen","BOI","USM","light","light"
"10098485SP",19,"Version 40","straitjacket","BOI","USM","hold together","hold together"
"10098485SP",20,"Version 40","monk","BOI","USM","pray","pray"
"10098485SP",21,"Version 40","epidermis","BOI","USM","protect","protect"
"10098485SP",21,"Version 40","epidermis","BOI","USM","scratch","scratch"
"10098485SP",21,"Version 40","epidermis","BOI","USM","cut","cut"
"10098485SP",22,"Version 40","signpost","BOI","USM","lead","lead"
"10098485SP",22,"Version 40","signpost","BOI","USM","direct","direct"
"10098485SP",23,"Version 40","denims","BOI","USM","warmth","warmth"
"10098485SP",23,"Version 40","denims","BOI","USM","weat","west"
"10098485SP",24,"Version 40","dance","BOI","USM","expression","expression"
"10098485SP",24,"Version 40","dance","BOI","USM","workout","workout"
"10098485SP",26,"Version 40","makeup","BOI","USM","dress up","dress up"
"10098485SP",26,"Version 40","makeup","BOI","USM","confidence","confidence"
"10098485SP",29,"Version 40","buckle","BOI","USM","hold pant","hold pant"
"10098485SP",30,"Version 40","piercing","BOI","USM","jewlery","jewelry"
"10098485SP",32,"Version 40","walker","BOI","USM","help walking","help walking"
"10098485SP",34,"Version 40","trombone","BOI","USM","music","music"
"10098485SP",34,"Version 40","trombone","BOI","USM","expression","expression"
"10098485SP",35,"Version 40","bedspread","BOI","USM","warmth","warmth"
"10098485SP",35,"Version 40","bedspread","BOI","USM","sleep","sleep"
"10098485SP",36,"Version 40","bleacher","BOI","USM","sit","sit"
"10098485SP",36,"Version 40","bleacher","BOI","USM","watch games","watch games"
"10098485SP",37,"Version 40","sushi","BOI","USM","eat","eat"
"10098485SP",37,"Version 40","sushi","BOI","USM","enjoy","enjoy"
"10098485SP",38,"Version 40","salad","BOI","USM","eat ","eat "
"10098485SP",39,"Version 40","twine","BOI","USM","hold together","hold together"
"10098485SP",40,"Version 40","tank","BOI","USM","gas","gas"
"10098485SP",40,"Version 40","tank","BOI","USM","water","water"
"10107665CB",11,"Version 32","stretcher","BOI","USM","patient","patient"
"10107665CB",11,"Version 32","stretcher","BOI","USM","hospital","hospital"
"10107665CB",12,"Version 32","seed","BOI","USM","plant","plant"
"10107665CB",12,"Version 32","seed","BOI","USM","grow","grow"
"10107665CB",12,"Version 32","seed","BOI","USM","eat","eat"
"10107665CB",13,"Version 32","costume","BOI","USM","wear","wear"
"10107665CB",13,"Version 32","costume","BOI","USM","create","create"
"10107665CB",13,"Version 32","costume","BOI","USM","laugh","laugh"
"10107665CB",14,"Version 32","stairwell","BOI","USM","up","up"
"10107665CB",14,"Version 32","stairwell","BOI","USM","down","down"
"10107665CB",14,"Version 32","stairwell","BOI","USM","house","house"
"10107665CB",15,"Version 32","cloverleaf","BOI","USM","luck","luck"
"10107665CB",15,"Version 32","cloverleaf","BOI","USM","spring","spring"
"10107665CB",15,"Version 32","cloverleaf","BOI","USM","rainbow","rainbow"
"10107665CB",16,"Version 32","songbook","BOI","USM","write","write"
"10107665CB",16,"Version 32","songbook","BOI","USM","sing","sing"
"10107665CB",16,"Version 32","songbook","BOI","USM","perform","perform"
"10107665CB",17,"Version 32","lodging","BOI","USM","sleep","sleep"
"10107665CB",17,"Version 32","lodging","BOI","USM","eat","eat"
"10107665CB",17,"Version 32","lodging","BOI","USM","warmth","warmth"
"10107665CB",18,"Version 32","ash","BOI","USM","fire","fire"
"10107665CB",18,"Version 32","ash","BOI","USM","religion","religion"
"10107665CB",18,"Version 32","ash","BOI","USM","dust","dust"
"10107665CB",19,"Version 32","fan","BOI","USM","cooling","cooling"
"10107665CB",19,"Version 32","fan","BOI","USM","heat","heat"
"10107665CB",19,"Version 32","fan","BOI","USM","air","air"
"10107665CB",20,"Version 32","tinplate","BOI","USM","eat","eat"
"10107665CB",20,"Version 32","tinplate","BOI","USM","serve","serve"
"10107665CB",20,"Version 32","tinplate","BOI","USM","heat","heat"
"10107665CB",21,"Version 32","glassblower","BOI","USM","art","art"
"10107665CB",21,"Version 32","glassblower","BOI","USM","words","words"
"10107665CB",21,"Version 32","glassblower","BOI","USM","person","person"
"10107665CB",22,"Version 32","dollar","BOI","USM","money","money"
"10107665CB",22,"Version 32","dollar","BOI","USM","things","things"
"10107665CB",23,"Version 32","bible","BOI","USM","religion","religion"
"10107665CB",23,"Version 32","bible","BOI","USM","catholic","catholic"
"10107665CB",23,"Version 32","bible","BOI","USM","god","god"
"10107665CB",24,"Version 32","sidewalk","BOI","USM","walk","walk"
"10107665CB",24,"Version 32","sidewalk","BOI","USM","run","run"
"10107665CB",24,"Version 32","sidewalk","BOI","USM","jog","jog"
"10107665CB",24,"Version 32","sidewalk","BOI","USM","dog","dog"
"10107665CB",25,"Version 32","artifact","BOI","USM","art","art"
"10107665CB",25,"Version 32","artifact","BOI","USM","history","history"
"10107665CB",26,"Version 32","trousers","BOI","USM","wear","wear"
"10107665CB",26,"Version 32","trousers","BOI","USM","children","children"
"10107665CB",26,"Version 32","trousers","BOI","USM","old","old"
"10107665CB",27,"Version 32","bead","BOI","USM","mardi gras","an an"
"10107665CB",28,"Version 32","pimple","BOI","USM","pop","pop"
"10107665CB",28,"Version 32","pimple","BOI","USM","acne","acne"
"10107665CB",28,"Version 32","pimple","BOI","USM","puberty","puberty"
"10107665CB",29,"Version 32","dessert","BOI","USM","eat","eat"
"10107665CB",29,"Version 32","dessert","BOI","USM","chocolate","chocolate"
"10107665CB",29,"Version 32","dessert","BOI","USM","cook","cook"
"10107665CB",29,"Version 32","dessert","BOI","USM","bake","bake"
"10107665CB",30,"Version 32","skillet","BOI","USM","steak","steak"
"10107665CB",30,"Version 32","skillet","BOI","USM","hot","hot"
"10107665CB",30,"Version 32","skillet","BOI","USM","cook","cook"
"10107665CB",30,"Version 32","skillet","BOI","USM","kitchen","kitchen"
"10107665CB",31,"Version 32","machinery","BOI","USM","work","work"
"10107665CB",31,"Version 32","machinery","BOI","USM","engineering","engineering"
"10107665CB",32,"Version 32","hairnet","BOI","USM","school","school"
"10107665CB",32,"Version 32","hairnet","BOI","USM","cook","cook"
"10107665CB",32,"Version 32","hairnet","BOI","USM","chef","chef"
"10107665CB",32,"Version 32","hairnet","BOI","USM","clean","clean"
"10107665CB",33,"Version 32","summerhouse","BOI","USM","beach","beach"
"10107665CB",33,"Version 32","summerhouse","BOI","USM","vacation","vacation"
"10107665CB",34,"Version 32","sprinter","BOI","USM","race","race"
"10107665CB",34,"Version 32","sprinter","BOI","USM","run","run"
"10107665CB",34,"Version 32","sprinter","BOI","USM","jog","jog"
"10107665CB",35,"Version 32","pocketknife","BOI","USM","cut","cut"
"10107665CB",35,"Version 32","pocketknife","BOI","USM","glide","glide"
"10107665CB",35,"Version 32","pocketknife","BOI","USM","work","work"
"10107665CB",36,"Version 32","pumice","BOI","USM","clean","clean"
"10107665CB",37,"Version 32","powerboat","BOI","USM","vacation","vacation"
"10107665CB",37,"Version 32","powerboat","BOI","USM","tubing","tubing"
"10107665CB",37,"Version 32","powerboat","BOI","USM","beach","beach"
"10107665CB",38,"Version 32","balm","BOI","USM","lip","lip"
"10107665CB",38,"Version 32","balm","BOI","USM","fresh","fresh"
"10107665CB",39,"Version 32","tin","BOI","USM","cup","cup"
"10107665CB",39,"Version 32","tin","BOI","USM","man","man"
"10107665CB",40,"Version 32","rotisserie","BOI","USM","chicken","chicken"
"10107665CB",40,"Version 32","rotisserie","BOI","USM","cook","cook"
"10107665CB",40,"Version 32","rotisserie","BOI","USM","make","make"
"MJW",11,"Version 35","broom","BOI","USM","sweeping","sweeping"
"MJW",11,"Version 35","broom","BOI","USM","riding","riding"
"MJW",11,"Version 35","broom","BOI","USM","dancing","dancing"
"MJW",12,"Version 35","fence","BOI","USM","privacy","privacy"
"MJW",12,"Version 35","fence","BOI","USM","keeping animals contained","keeping animals contained"
"MJW",13,"Version 35","patrolman","BOI","USM","safety","safety"
"MJW",13,"Version 35","patrolman","BOI","USM","security","security"
"MJW",14,"Version 35","tobacco","BOI","USM","smoking","smoking"
"MJW",15,"Version 35","creamer","BOI","USM","coffee","coffee"
"MJW",15,"Version 35","creamer","BOI","USM","pasta dishes","pasta dishes"
"MJW",15,"Version 35","creamer","BOI","USM","desserts","desserts"
"MJW",16,"Version 35","corvette","BOI","USM","driving","driving"
"MJW",17,"Version 35","nurse","BOI","USM","medical advise ","medical advise "
"MJW",18,"Version 35","shortcake","BOI","USM","strawberries","strawberries"
"MJW",18,"Version 35","shortcake","BOI","USM","cookies","cookies"
"MJW",19,"Version 35","watch","BOI","USM","eyes","eyes"
"MJW",19,"Version 35","watch","BOI","USM","time","time"
