"Username","Trial","Condition.Number","Condition.Notes","Stimuli.Cue","Procedure.Item","Procedure.Max.Time","Procedure.Min.Time","Response.RT","Response.RTfirst","Response.RTlast","affordance","affordance_corrected","affordance_lemma","POS"
"10012878_CL",11,2,"List 2","undergarment",59,"-","-",46282,2552,29816,"wearing","wearing","wear","VERB"
"10012878_CL",11,2,"List 2","undergarment",59,"-","-",46282,2552,29816,"throwing","throwing","throw","VERB"
"10012878_CL",11,2,"List 2","undergarment",59,"-","-",46282,2552,29816,"fashion","fashion","fashion","NOUN"
"10012878_CL",11,2,"List 2","undergarment",59,"-","-",46282,2552,29816,"coverage","coverage","coverage","NOUN"
"10012878_CL",11,2,"List 2","undergarment",59,"-","-",46282,2552,29816,"attention","attention","attention","NOUN"
"10012878_CL",12,2,"List 2","assemblyman",60,"-","-",36999,3300,22327,"construction","construction","construction","NOUN"
"10012878_CL",12,2,"List 2","assemblyman",60,"-","-",36999,3300,22327,"assistance","assistance","assistance","NOUN"
"10012878_CL",12,2,"List 2","assemblyman",60,"-","-",36999,3300,22327,"work","work","work","NOUN"
"10012878_CL",13,2,"List 2","trap",58,"-","-",26276,5017,10520,"opening","opening","open","NOUN"
"10012878_CL",13,2,"List 2","trap",58,"-","-",26276,5017,10520,"closing","closing","closing","NOUN"
"10012878_CL",13,2,"List 2","trap",58,"-","-",26276,5017,10520,"tricking","tricking","tricke","VERB"
"10012878_CL",14,2,"List 2","lettuce",34,"-","-",24155,2118,22202,"salad","salad","salad","NOUN"
"10012878_CL",14,2,"List 2","lettuce",34,"-","-",24155,2118,22202,"food","food","food","NOUN"
"10012878_CL",14,2,"List 2","lettuce",34,"-","-",24155,2118,22202,"cooking","cooking","cook","NOUN"
"10012878_CL",14,2,"List 2","lettuce",34,"-","-",24155,2118,22202,"feed","feed","feed","NOUN"
"10012878_CL",14,2,"List 2","lettuce",34,"-","-",24155,2118,22202,"tossing","tossing","toss","NOUN"
"10012878_CL",15,2,"List 2","courtyard",32,"-","-",45778,2611,11453,"viewing","viewing","viewe","VERB"
"10012878_CL",15,2,"List 2","courtyard",32,"-","-",45778,2611,11453,"relaxing","relaxing","relax","VERB"
"10012878_CL",16,2,"List 2","godmother",47,"-","-",15972,1974,14738,"talking","talking","talk","VERB"
"10012878_CL",16,2,"List 2","godmother",47,"-","-",15972,1974,14738,"asking","asking","ask","VERB"
"10012878_CL",16,2,"List 2","godmother",47,"-","-",15972,1974,14738,"cooking","cooking","cook","NOUN"
"10012878_CL",16,2,"List 2","godmother",47,"-","-",15972,1974,14738,"parenting","parenting","parent","NOUN"
"10012878_CL",17,2,"List 2","skittles",39,"-","-",20662,2281,19370,"eating","eating","eat","VERB"
"10012878_CL",17,2,"List 2","skittles",39,"-","-",20662,2281,19370,"art","art","art","NOUN"
"10012878_CL",17,2,"List 2","skittles",39,"-","-",20662,2281,19370,"satisfaction","satisfaction","satisfaction","NOUN"
"10012878_CL",18,2,"List 2","mice",48,"-","-",27840,1581,26627,"experiments","experiments","experiment","NOUN"
"10012878_CL",18,2,"List 2","mice",48,"-","-",27840,1581,26627,"feed","feed","feed","NOUN"
"10012878_CL",18,2,"List 2","mice",48,"-","-",27840,1581,26627,"entertainment","entertainment","entertainment","NOUN"
