CUE,RESPONSE,RESPONSE.TOKEN,RESPONSE.LEMMA,POS,Source
abacus,accounting,accounting,accounting,VERB,USM
abacus,business,business,business,NOUN,USM
abacus,calculus,calculus,calculus,NOUN,USM
abacus,change,change,change,NOUN,USM
abacus,chemistry,chemistry,chemistry,NOUN,USM
abacus,count,count,count,VERB,USM
abacus,counting,counting,count,VERB,USM
abacus,homework,homework,homework,NOUN,USM
abacus,math,math,math,NOUN,USM
abacus,move,move,move,VERB,USM
abacus,physics,physics,physics,NOUN,USM
abacus,thrown,thrown,throw,VERB,USM
abacus,to help to understand math,help,help,VERB,USM
abacus,to help to understand math,understand,understand,VERB,USM
abacus,to help to understand math,math,math,NOUN,USM
abacus,play,play,play,VERB,UCONN
abacus,clean,clean,clean,VERB,UCONN
abacus,count,count,count,NOUN,UCONN
abacus,clean,clean,clean,VERB,USA
abdomen,breath,breath,breathe,VERB,USM
abdomen,cut,cut,cut,VERB,USM
abdomen,exercise,exercise,exercise,VERB,USM
abdomen,flex,flex,flex,VERB,USM
abdomen,housing organs,housing,house,VERB,USM
abdomen,housing organs,organs,organ,NOUN,USM
abdomen,housing organs,housing,housing,NOUN,USM
abdomen,keeps us living,keeps,keep,VERB,USM
abdomen,keeps us living,living,live,VERB,USM
abdomen,part of body,part,part,NOUN,USM
abdomen,part of body,body,body,NOUN,USM
abdomen,stomach,stomach,stomach,NOUN,USM
abdomen,surgery,surgery,surgery,NOUN,USM
abdomen,work out,work,work,NOUN,ILL_STATE
abdomen,pierce,pierce,pierce,NOUN,ILL_STATE
abdomen,surgery,surgery,surgery,NOUN,ILL_STATE
abdomen,plank,plank,plank,NOUN,Hope
abdomen,situps,situp,situp,NOUN,Hope
abdomen,touch,touch,touch,VERB,Hope
abdomen,punch,punch,punch,VERB,Hope
abdomen,workout,workout,workout,VERB,Hope
abdomen,contains organs,contains,contain,VERB,Hope
abdomen,contains organs,organs,organ,NOUN,Hope
abdomen,holds body organs,holds,hold,VERB,USA
abdomen,holds body organs,body,body,NOUN,USA
abdomen,holds body organs,organs,organ,NOUN,USA
abdomen,help humas,help,help,VERB,USA
abdomen,help humas,human,human,NOUN,USA
abdomen,help digest,help,help,VERB,USA
abdomen,help digest,digest,digest,VERB,USA
abdomen,create protection for organs,create,create,VERB,USA
abdomen,create protection for organs,protection,protect,VERB,USA
abdomen,create protection for organs,organs,organ,NOUN,USA
absinthe,drank,drank,drink,VERB,USM
absinthe,drink,drink,drink,VERB,USM
absinthe,look,look,look,VERB,USM
absinthe,looked at,looked,look,VERB,USM
absinthe,picked up,picked,pick,VERB,USM
absinthe,smelled,smelled,smell,VERB,USM
absinthe,taste,taste,taste,VERB,USM
absinthe,touched,touched,touch,VERB,USM
absinthe,use,use,use,VERB,USM
absinthe,drink,drink,drink,VERB,ILL_STATE
absinthe,die,die,die,VERB,ILL_STATE
absinthe,drunk,drunk,drink,VERB,ILL_STATE
absinthe,killing,killing,kill,VERB,Hope
absinthe,drinking ,drinking,drink,VERB,Hope
absinthe,treat conditions,treat,treat,VERB,USA
absinthe,treat conditions,conditions,condition,NOUN,USA
absinthe,medicine,medicine,medicate,VERB,USA
accessory,activity,activity,activity,NOUN,USM
accessory,and for show,show,show,NOUN,USM
accessory,as decoration,decoration,decorate,VERB,USM
accessory,as jewelry,jewelry,jewelry,NOUN,USM
accessory,assist,assist,assist,VERB,USM
accessory,bracelet,bracelet,bracelet,NOUN,USM
accessory,buy,buy,buy,VERB,USM
accessory,charge,charge,charge,NOUN,USM
accessory,decor,decor,decorate,VERB,USM
accessory,draw,draw,draw,VERB,USM
accessory,earring,earring,ear,NOUN,USM
accessory,fashion,fashion,fashion,NOUN,USM
accessory,give,give,give,VERB,USM
accessory,help,help,help,VERB,USM
accessory,look nice,look,look,VERB,USM
accessory,look nice,nice,nice,ADJ,USM
accessory,make.,make,make,VERB,USM
accessory,necklace,necklace,necklace,NOUN,USM
accessory,sell,sell,sell,VERB,USM
accessory,to decorate,decorate,decorate,VERB,USM
accessory,to modity,modity,modify,VERB,USM
accessory,to wear,wear,wear,VERB,USM
accessory,wear,wear,wear,VERB,USM
accessory,useful,useful,useful,ADJ,USM
accessory,wear it,wear,wear,VERB,MSU-TEXAS
accessory,burn it,burn,burn,VERB,MSU-TEXAS
accessory,fashion,fashion,fashion,NOUN,USA
accessory,emergencies,emergencies,emergency,NOUN,USA
accessory,wear,wear,wear,VERB,USA
accessory,buy,buy,buy,VERB,USA
accessory,sell,sell,sell,VERB,USA
accessory,could wear,wear,wear,VERB,Clemson
accessory,could give as a gift,give,give,VERB,Clemson
accessory,could give as a gift,gift,gift,VERB,Clemson
accessory,could find on the ground,find,find,VERB,Clemson
accessory,could find on the ground,ground,ground,NOUN,Clemson
accessory,could return,return,return,VERB,Clemson
accessory,could lose,lose,lose,VERB,Clemson
accessory,could share,share,share,VERB,Clemson
accessory,wear,wear,wear,VERB,Clemson
accessory,use,use,use,VERB,Clemson
accessory,gift,gift,gift,VERB,Clemson
accordion,learn how to play,learn,learn,VERB,USM
accordion,learn how to play,play,play,VERB,USM
accordion,play,play,play,VERB,USM
accordion,play music,play,play,NOUN,USM
accordion,play music,music,music,NOUN,USM
accordion,played,played,play,VERB,USM
accordion,playing music,playing,play,VERB,USM
accordion,playing music,music,music,NOUN,USM
accordion,practice,practice,practice,VERB,USM
accordion,teach how to play,teach,teach,VERB,USM
accordion,teach how to play,play,play,VERB,USM
accordion,tune,tune,tune,VERB,USM
accordion,musical tone,musical,musical,ADJ,USM
accordion,musical tone,tone,tone,NOUN,USM
accordion,move,move,move,VERB,MSU-TEXAS
accordion,squeeze,squeeze,squeeze,VERB,MSU-TEXAS
accordion,close,close,close,ADJ,MSU-TEXAS
accordion,open,open,open,ADJ,MSU-TEXAS
accordion,listen,listen,listen,VERB,MSU-TEXAS
accordion,practice on,practice,practice,VERB,MSU-TEXAS
accordion,enjoy,enjoy,enjoy,VERB,MSU-TEXAS
accordion,break,break,break,VERB,MSU-TEXAS
accordion,step on,step,step,VERB,MSU-TEXAS
accordion,cut,cut,cut,VERB,MSU-TEXAS
accordion,draw on,draw,draw,VERB,MSU-TEXAS
accordion,put away,put,put,VERB,MSU-TEXAS
accordion,put away,away,away,ADV,MSU-TEXAS
accordion,play,play,play,VERB,MSU-TEXAS
accordion,perform music,perform,perform,VERB,ILL_STATE
accordion,perform music,music,music,NOUN,ILL_STATE
accordion,entertainment,entertainment,entertainment,NOUN,ILL_STATE
accordion,make money,make,make,VERB,ILL_STATE
accordion,make money,money,money,NOUN,ILL_STATE
accordion,hobby,hobby,hobby,NOUN,ILL_STATE
accordion,instruement,instrument,instrument,NOUN,ILL_STATE
accordion,band,band,band,NOUN,ILL_STATE
accordion,music,music,music,NOUN,ILL_STATE
accordion,play it,play,play,VERB,USA
accordion,break it,break,break,VERB,USA
accordion,buy it,buy,buy,VERB,USA
accordion,sell it,sell,sell,VERB,USA
accordion,steal it,steal,steal,VERB,USA
accordion,make it,make,make,VERB,USA
accordion,play a song,play,play,VERB,Clemson
accordion,play a song,song,song,VERB,Clemson
accordion,instrument,instrument,instrument,NOUN,Clemson
accordion,playing,playing,play,VERB,Clemson
accountant,call,call,call,VERB,USM
accountant,consult with,consult,consult,VERB,USM
accountant,go see,go,go,VERB,USM
accountant,go see,see,see,VERB,USM
accountant,manage,manage,manage,VERB,USM
accountant,money,money,money,NOUN,USM
accountant,money bank finances taxs debts,money,money,NOUN,USM
accountant,money bank finances taxs debts,bank,bank,NOUN,USM
accountant,money bank finances taxs debts,finances,finances,NOUN,USM
accountant,money bank finances taxs debts,taxs,tax,VERB,USM
accountant,money bank finances taxs debts,debts,debt,NOUN,USM
accountant,organize,organize,organize,VERB,USM
accountant,see,see,see,VERB,USM
accountant,speak to,speak,speak,VERB,USM
accountant,study with,study,study,VERB,USM
accountant,work,work,work,NOUN,USM
accountant,advisor,advisor,advisor,NOUN,USM
accountant,banker,banker,banker,NOUN,USM
accountant,counting,counting,count,VERB,CCSU
accountant,calculating,calculating,calculate,VERB,CCSU
accountant,adding,adding,add,VERB,CCSU
accountant,subtracting,subtracting,subtract,VERB,CCSU
accountant,multiplying,multiplying,multiply,VERB,CCSU
accountant,dividing,dividing,divide,VERB,CCSU
accountant,tabulating ,tabulating,tabulat,VERB,CCSU
accountant,file,file,file,VERB,UCONN
accountant,add,add,add,VERB,UCONN
accountant,combine,combine,combine,VERB,UCONN
