"cue","response","AFS","AFSS"
"abacus","count",0.35,12
"abacus","math",0.1,12
"abacus","clean",0.1,12
"abacus","accounting",0.05,12
"abacus","business",0.05,12
"abacus","calculus",0.05,12
"abacus","change",0.05,12
"abacus","move",0.05,12
"abacus","throw",0.05,12
"abacus","understand",0.05,12
"abacus","shake",0.05,12
"abacus","deconstruct",0.05,12
"abdomen","hold",0.0819672131147541,41
"abdomen","digest",0.0655737704918033,41
"abdomen","breathe",0.0491803278688525,41
"abdomen","exercise",0.0491803278688525,41
"abdomen","house",0.0491803278688525,41
"abdomen","workout",0.0491803278688525,41
"abdomen","flex",0.0327868852459016,41
"abdomen","surgery",0.0327868852459016,41
"abdomen","touch",0.0327868852459016,41
"abdomen","punch",0.0327868852459016,41
"abdomen","eat",0.0327868852459016,41
"abdomen","cut",0.0163934426229508,41
"abdomen","live",0.0163934426229508,41
"abdomen","pierce",0.0163934426229508,41
"abdomen","plank",0.0163934426229508,41
"abdomen","situp",0.0163934426229508,41
"abdomen","contain",0.0163934426229508,41
"abdomen","create",0.0163934426229508,41
"abdomen","protect",0.0163934426229508,41
"abdomen","bend",0.0163934426229508,41
"abdomen","straighten",0.0163934426229508,41
"abdomen","research",0.0163934426229508,41
"abdomen","look",0.0163934426229508,41
"abdomen","hurt",0.0163934426229508,41
"abdomen","heal",0.0163934426229508,41
"abdomen","store",0.0163934426229508,41
"abdomen","paint",0.0163934426229508,41
"abdomen","push",0.0163934426229508,41
"abdomen","rest",0.0163934426229508,41
"abdomen","tense",0.0163934426229508,41
"abdomen","lean",0.0163934426229508,41
"abdomen","press",0.0163934426229508,41
"abdomen","crunch",0.0163934426229508,41
"abdomen","squat",0.0163934426229508,41
"abdomen","process",0.0163934426229508,41
"abdomen","compliment",0.0163934426229508,41
"abdomen","define",0.0163934426229508,41
"abdomen","focus",0.0163934426229508,41
"abdomen","inflect",0.0163934426229508,41
"abdomen","strengthen",0.0163934426229508,41
"abdomen","balance",0.0163934426229508,41
"absinthe","drink",0.36,28
"absinthe","smell",0.06,28
"absinthe","look",0.04,28
"absinthe","pour",0.04,28
"absinthe","dilute",0.04,28
"absinthe","pick up",0.02,28
"absinthe","taste",0.02,28
"absinthe","touch",0.02,28
"absinthe","die",0.02,28
"absinthe","kill",0.02,28
"absinthe","treat",0.02,28
"absinthe","medicate",0.02,28
"absinthe","eat",0.02,28
"absinthe","bathe",0.02,28
"absinthe","clean",0.02,28
"absinthe","shower",0.02,28
"absinthe","spill",0.02,28
"absinthe","consume",0.02,28
"absinthe","stir",0.02,28
"absinthe","breathe",0.02,28
"absinthe","serve",0.02,28
"absinthe","distill",0.02,28
"absinthe","advertise",0.02,28
"absinthe","promote",0.02,28
"absinthe","concoct",0.02,28
"absinthe","create",0.02,28
"absinthe","purchase",0.02,28
"absinthe","throw away",0.02,28
"accessory","wear",0.253968253968254,33
"accessory","buy",0.0952380952380952,33
"accessory","sell",0.0793650793650794,33
"accessory","decorate",0.0476190476190476,33
"accessory","give",0.0317460317460317,33
"accessory","share",0.0317460317460317,33
"accessory","throw",0.0317460317460317,33
"accessory","add",0.0317460317460317,33
"accessory","show",0.0158730158730159,33
"accessory","assist",0.0158730158730159,33
"accessory","draw",0.0158730158730159,33
"accessory","help",0.0158730158730159,33
"accessory","look",0.0158730158730159,33
"accessory","modify",0.0158730158730159,33
"accessory","burn",0.0158730158730159,33
"accessory","find",0.0158730158730159,33
"accessory","return",0.0158730158730159,33
"accessory","lose",0.0158730158730159,33
"accessory","store",0.0158730158730159,33
"accessory","personalize",0.0158730158730159,33
"accessory","arrange",0.0158730158730159,33
"accessory","lend",0.0158730158730159,33
"accessory","create",0.0158730158730159,33
"accessory","hear",0.0158730158730159,33
"accessory","hold",0.0158730158730159,33
"accessory","improve",0.0158730158730159,33
"accessory","change",0.0158730158730159,33
"accessory","remodel",0.0158730158730159,33
"accessory","compare",0.0158730158730159,33
"accessory","show off",0.0158730158730159,33
"accessory","recreation",0.0158730158730159,33
"accessory","enhance",0.0158730158730159,33
"accessory","fun",0.0158730158730159,33
"accordion","play",0.298245614035088,28
"accordion","music",0.157894736842105,28
"accordion","learn",0.0350877192982456,28
"accordion","practice",0.0350877192982456,28
"accordion","squeeze",0.0350877192982456,28
"accordion","break",0.0350877192982456,28
"accordion","buy",0.0350877192982456,28
"accordion","teach",0.0175438596491228,28
"accordion","tune",0.0175438596491228,28
"accordion","move",0.0175438596491228,28
"accordion","listen",0.0175438596491228,28
"accordion","enjoy",0.0175438596491228,28
"accordion","step on",0.0175438596491228,28
"accordion","cut",0.0175438596491228,28
"accordion","draw",0.0175438596491228,28
"accordion","perform",0.0175438596491228,28
"accordion","instrument",0.0175438596491228,28
"accordion","sell",0.0175438596491228,28
"accordion","steal",0.0175438596491228,28
"accordion","press",0.0175438596491228,28
"accordion","produce",0.0175438596491228,28
"accordion","joy",0.0175438596491228,28
"accordion","create",0.0175438596491228,28
"accordion","sound",0.0175438596491228,28
"accordion","dance",0.0175438596491228,28
"accordion","carry",0.0175438596491228,28
"accordion","store",0.0175438596491228,28
"accordion","make",0.0175438596491228,28
"accountant","tax",0.0909090909090909,37
"accountant","work",0.0727272727272727,37
"accountant","manage",0.0545454545454545,37
"accountant","call",0.0363636363636364,37
"accountant","see",0.0363636363636364,37
"accountant","organize",0.0363636363636364,37
"accountant","speak",0.0363636363636364,37
"accountant","count",0.0363636363636364,37
"accountant","calculate",0.0363636363636364,37
"accountant","add",0.0363636363636364,37
"accountant","talk",0.0363636363636364,37
"accountant","pay",0.0363636363636364,37
"accountant","consult",0.0181818181818182,37
"accountant","study",0.0181818181818182,37
"accountant","subtract",0.0181818181818182,37
"accountant","multiply",0.0181818181818182,37
"accountant","divide",0.0181818181818182,37
"accountant","tabulate",0.0181818181818182,37
"accountant","file",0.0181818181818182,37
"accountant","combine",0.0181818181818182,37
"accountant","track",0.0181818181818182,37
"accountant","spend",0.0181818181818182,37
"accountant","bank",0.0181818181818182,37
"accountant","return",0.0181818181818182,37
"accountant","note",0.0181818181818182,37
"accountant","paperwork",0.0181818181818182,37
"accountant","help",0.0181818181818182,37
"accountant","ask",0.0181818181818182,37
"accountant","record",0.0181818181818182,37
"accountant","take",0.0181818181818182,37
"accountant","use",0.0181818181818182,37
"accountant","advise",0.0181818181818182,37
"accountant","train",0.0181818181818182,37
"accountant","make",0.0181818181818182,37
"accountant","hit",0.0181818181818182,37
"accountant","grab",0.0181818181818182,37
"accountant","gesture",0.0181818181818182,37
"acne","pop",0.121951219512195,25
"acne","care",0.0975609756097561,25
"acne","treat",0.0975609756097561,25
"acne","cover",0.0731707317073171,25
"acne","pick",0.0731707317073171,25
"acne","bump",0.0487804878048781,25
"acne","clear",0.0487804878048781,25
"acne","irritate",0.024390243902439,25
"acne","scar",0.024390243902439,25
"acne","hide",0.024390243902439,25
"acne","scare",0.024390243902439,25
"acne","identify",0.024390243902439,25
"acne","experiment",0.024390243902439,25
"acne","spread",0.024390243902439,25
"acne","iritate",0.024390243902439,25
"acne","wash",0.024390243902439,25
"acne","bully",0.024390243902439,25
"acne","medicate",0.024390243902439,25
"acne","study",0.024390243902439,25
"acne","annoy",0.024390243902439,25
"acne","clean",0.024390243902439,25
"acne","squeeze",0.024390243902439,25
"acne","pain",0.024390243902439,25
"acne","scratch",0.024390243902439,25
"acne","take",0.024390243902439,25
"acorn","eat",0.150442477876106,39
"acorn","feed",0.0973451327433628,39
"acorn","throw",0.0884955752212389,39
"acorn","plant",0.0619469026548673,39
"acorn","decorate",0.0530973451327434,39
"acorn","collect",0.0442477876106195,39
"acorn","grow",0.0442477876106195,39
"acorn","pick",0.0353982300884956,39
"acorn","step on",0.0353982300884956,39
"acorn","cook",0.0265486725663717,39
"acorn","crack",0.0265486725663717,39
"acorn","crush",0.0265486725663717,39
"acorn","plan",0.0176991150442478,39
"acorn","bury",0.0176991150442478,39
"acorn","food",0.0176991150442478,39
"acorn","see",0.0176991150442478,39
"acorn","play",0.0176991150442478,39
