Username,Trial,Condition.Notes,Stimuli.Cue,Procedure.Item,Response.RT,Response.RTfirst,Response.RTlast,affordance,affordance_corrected,Lemma_1,POS,feats
10012878_CL,11,List 2,undergarment,59,46282,2552,29816,wearing,wearing,wear,VERB,VerbForm=Ger
10012878_CL,11,List 2,undergarment,59,46282,2552,29816,throwing,throwing,throw,VERB,VerbForm=Ger
10012878_CL,11,List 2,undergarment,59,46282,2552,29816,fashion,fashion,fashion,NOUN,Number=Sing
10012878_CL,11,List 2,undergarment,59,46282,2552,29816,coverage,coverage,coverage,NOUN,Number=Sing
10012878_CL,11,List 2,undergarment,59,46282,2552,29816,attention,attention,attention,NOUN,Number=Sing
10012878_CL,12,List 2,assemblyman,60,36999,3300,22327,construction,construction,construction,NOUN,Number=Sing
10012878_CL,12,List 2,assemblyman,60,36999,3300,22327,assistance,assistance,assistance,NOUN,Number=Sing
10012878_CL,12,List 2,assemblyman,60,36999,3300,22327,work,work,work,NOUN,Number=Sing
10012878_CL,13,List 2,trap,58,26276,5017,10520,opening,opening,open,NOUN,Number=Sing
10012878_CL,13,List 2,trap,58,26276,5017,10520,closing,closing,close,NOUN,Number=Sing
10012878_CL,13,List 2,trap,58,26276,5017,10520,tricking,tricking,trick,VERB,VerbForm=Ger
10012878_CL,14,List 2,lettuce,34,24155,2118,22202,salad,salad,salad,NOUN,Number=Sing
10012878_CL,14,List 2,lettuce,34,24155,2118,22202,food,food,food,NOUN,Number=Sing
10012878_CL,14,List 2,lettuce,34,24155,2118,22202,cooking,cooking,cook,NOUN,Number=Sing
10012878_CL,14,List 2,lettuce,34,24155,2118,22202,feed,feed,fee,NOUN,Number=Sing
10012878_CL,14,List 2,lettuce,34,24155,2118,22202,tossing,tossing,toss,NOUN,Number=Sing
10012878_CL,15,List 2,courtyard,32,45778,2611,11453,viewing,viewing,view,VERB,VerbForm=Ger
10012878_CL,15,List 2,courtyard,32,45778,2611,11453,relaxing,relaxing,relax,VERB,VerbForm=Ger
10012878_CL,16,List 2,godmother,47,15972,1974,14738,talking,talking,talk,VERB,VerbForm=Ger
10012878_CL,16,List 2,godmother,47,15972,1974,14738,asking,asking,ask,VERB,VerbForm=Ger
10012878_CL,16,List 2,godmother,47,15972,1974,14738,cooking,cooking,cook,NOUN,Number=Sing
10012878_CL,16,List 2,godmother,47,15972,1974,14738,parenting,parenting,parenting,NOUN,Number=Sing
10012878_CL,17,List 2,skittles,39,20662,2281,19370,eating,eating,eat,VERB,VerbForm=Ger
10012878_CL,17,List 2,skittles,39,20662,2281,19370,art,art,art,NOUN,Number=Sing
10012878_CL,17,List 2,skittles,39,20662,2281,19370,satisfaction,satisfaction,satisfaction,NOUN,Number=Sing
10012878_CL,18,List 2,mice,48,27840,1581,26627,experiments,experiments,experiment,NOUN,Number=Plur
